"Label (Grouping)","Total:","Total:!!Under 18 years","Total:!!18 to 24 years","Total:!!25 to 34 years","Total:!!35 to 44 years","Total:!!45 to 54 years","Total:!!55 to 64 years","Total:!!65 years and over"
"Clarksburg CDP, Maryland","","","","","","","",""
"    Estimate","21,417","6,642","863","2,300","4,145","3,408","1,957","2,102"
"Clinton CDP, Maryland","","","","","","","",""
"    Estimate","38,340","7,793","1,939","5,222","4,913","4,484","6,721","7,268"
"Cockeysville CDP, Maryland","","","","","","","",""
"    Estimate","20,563","4,891","1,411","4,639","2,024","2,506","2,626","2,466"
"College Park city, Maryland","","","","","","","",""
"    Estimate","32,152","4,069","16,525","3,099","1,873","1,797","1,991","2,798"
"Columbia CDP, Maryland","","","","","","","",""
"    Estimate","104,726","23,399","8,944","14,868","14,393","13,951","13,748","15,423"
"Crofton CDP, Maryland","","","","","","","",""
"    Estimate","29,681","6,720","3,276","4,436","4,270","3,816","3,998","3,165"
"Cumberland city, Maryland","","","","","","","",""
"    Estimate","19,009","3,591","2,237","2,135","1,730","2,679","1,858","4,779"
"Dundalk CDP, Maryland","","","","","","","",""
"    Estimate","61,474","13,956","4,906","10,313","7,866","6,909","8,326","9,198"
"Edgewood CDP, Maryland","","","","","","","",""
"    Estimate","26,946","7,327","3,178","2,676","4,905","3,047","3,011","2,802"
"Eldersburg CDP, Maryland","","","","","","","",""
"    Estimate","31,217","7,166","2,153","3,615","4,589","5,090","4,135","4,469"
"Elkridge CDP, Maryland","","","","","","","",""
"    Estimate","21,429","5,216","1,801","3,984","3,944","2,349","2,077","2,058"
"Ellicott City CDP, Maryland","","","","","","","",""
"    Estimate","72,605","16,875","4,997","5,608","11,747","9,824","9,816","13,738"
"Essex CDP, Maryland","","","","","","","",""
"    Estimate","38,359","7,290","3,833","5,771","3,721","5,359","6,271","6,114"
"Fairland CDP, Maryland","","","","","","","",""
"    Estimate","29,142","9,380","1,564","5,414","2,910","4,741","2,662","2,471"
"Fort Washington CDP, Maryland","","","","","","","",""
"    Estimate","28,098","7,040","1,430","2,651","4,503","4,174","3,699","4,601"
"Frederick city, Maryland","","","","","","","",""
"    Estimate","72,237","12,869","7,406","12,812","11,026","8,382","9,338","10,404"
"Gaithersburg city, Maryland","","","","","","","",""
"    Estimate","67,982","14,954","5,586","9,099","10,576","10,863","7,416","9,488"
"Germantown CDP, Maryland","","","","","","","",""
"    Estimate","83,707","20,760","5,695","14,360","11,724","11,818","11,113","8,237"
"Glen Burnie CDP, Maryland","","","","","","","",""
"    Estimate","74,956","14,946","7,322","11,237","9,441","10,343","9,579","12,088"
"Greenbelt city, Maryland","","","","","","","",""
"    Estimate","24,899","5,253","2,571","3,424","2,451","3,940","4,099","3,161"
"Hagerstown city, Maryland","","","","","","","",""
"    Estimate","40,096","9,444","3,126","6,059","4,898","4,613","5,028","6,928"
"Ilchester CDP, Maryland","","","","","","","",""
"    Estimate","27,012","6,528","1,913","4,955","3,355","4,137","3,283","2,841"
"Landover CDP, Maryland","","","","","","","",""
"    Estimate","24,468","6,058","1,828","4,275","4,009","2,341","2,986","2,971"
"Langley Park CDP, Maryland","","","","","","","",""
"    Estimate","25,169","9,218","1,552","4,697","3,320","3,661","1,219","1,502"
"Laurel city, Maryland","","","","","","","",""
"    Estimate","25,630","4,941","2,384","3,375","3,609","4,414","3,137","3,770"
"Lochearn CDP, Maryland","","","","","","","",""
"    Estimate","29,339","6,710","2,120","3,033","4,920","3,729","3,461","5,366"
"Maryland City CDP, Maryland","","","","","","","",""
"    Estimate","20,158","5,524","1,639","2,872","3,010","2,678","3,365","1,070"
"Middle River CDP, Maryland","","","","","","","",""
"    Estimate","24,171","7,537","2,071","3,258","2,143","2,221","3,510","3,431"
"Milford Mill CDP, Maryland","","","","","","","",""
"    Estimate","29,745","7,147","2,453","4,846","5,359","3,701","2,614","3,625"
"Montgomery Village CDP, Maryland","","","","","","","",""
"    Estimate","30,813","6,421","3,338","3,608","4,796","4,516","4,165","3,969"
"North Bethesda CDP, Maryland","","","","","","","",""
"    Estimate","44,583","7,230","3,176","6,365","7,103","5,985","5,998","8,726"
"North Laurel CDP, Maryland","","","","","","","",""
"    Estimate","24,466","7,259","2,272","2,838","4,511","2,702","1,817","3,067"
"North Potomac CDP, Maryland","","","","","","","",""
"    Estimate","23,093","6,088","1,481","2,042","3,352","3,142","3,951","3,037"
"Odenton CDP, Maryland","","","","","","","",""
"    Estimate","44,289","10,568","2,588","7,895","6,289","6,368","4,641","5,940"
"Olney CDP, Maryland","","","","","","","",""
"    Estimate","35,292","8,194","2,657","3,682","4,466","6,113","4,909","5,271"
"Owings Mills CDP, Maryland","","","","","","","",""
"    Estimate","29,988","7,699","3,072","6,526","3,701","2,970","2,658","3,362"
"Parkville CDP, Maryland","","","","","","","",""
"    Estimate","32,172","7,188","2,560","5,936","4,300","3,994","4,150","4,044"
"Pasadena CDP, Maryland","","","","","","","",""
"    Estimate","34,238","8,644","2,672","6,183","4,017","3,294","5,199","4,229"
"Perry Hall CDP, Maryland","","","","","","","",""
"    Estimate","25,031","4,366","1,725","4,108","2,356","4,030","3,674","4,772"
"Pikesville CDP, Maryland","","","","","","","",""
"    Estimate","32,765","7,590","1,761","3,933","3,716","3,337","3,663","8,765"
"Potomac CDP, Maryland","","","","","","","",""
"    Estimate","50,358","12,541","3,773","4,243","4,445","8,206","7,636","9,514"
"Randallstown CDP, Maryland","","","","","","","",""
"    Estimate","35,271","7,456","1,719","3,462","4,082","5,642","5,825","7,085"
"Reisterstown CDP, Maryland","","","","","","","",""
"    Estimate","29,239","5,883","2,703","3,621","2,904","4,355","4,765","5,008"
"Rockville city, Maryland","","","","","","","",""
"    Estimate","68,085","11,761","7,606","9,823","9,488","8,017","8,577","12,813"
"Rosedale CDP, Maryland","","","","","","","",""
"    Estimate","22,942","5,470","2,151","2,800","2,588","3,118","2,726","4,089"
"Salisbury city, Maryland","","","","","","","",""
"    Estimate","32,945","8,104","8,089","3,545","3,650","2,589","3,556","3,412"
"Severn CDP, Maryland","","","","","","","",""
"    Estimate","46,548","7,707","5,087","7,967","8,238","5,738","6,056","5,755"
"Severna Park CDP, Maryland","","","","","","","",""
"    Estimate","38,194","8,427","3,486","3,044","3,997","5,877","7,101","6,262"
"Silver Spring CDP, Maryland","","","","","","","",""
"    Estimate","83,247","17,593","8,008","16,037","11,898","10,432","8,859","10,420"
"South Laurel CDP, Maryland","","","","","","","",""
"    Estimate","24,242","4,330","2,870","5,090","2,185","4,436","2,525","2,806"
"Suitland CDP, Maryland","","","","","","","",""
"    Estimate","25,692","6,276","1,959","4,459","2,903","3,454","3,562","3,079"
"Takoma Park city, Maryland","","","","","","","",""
"    Estimate","20,301","5,207","2,154","1,342","3,517","3,050","2,919","2,112"
"Towson CDP, Maryland","","","","","","","",""
"    Estimate","57,614","11,062","12,489","7,547","5,990","5,515","5,375","9,636"
"Waldorf CDP, Maryland","","","","","","","",""
"    Estimate","80,971","19,130","7,792","12,231","12,494","10,763","10,153","8,408"
"Wheaton CDP, Maryland","","","","","","","",""
"    Estimate","61,328","16,838","4,651","10,522","10,509","7,077","5,606","6,125"
"White Oak CDP, Maryland","","","","","","","",""
"    Estimate","21,266","7,248","1,403","3,388","3,105","2,262","1,577","2,283"
"Woodlawn CDP (Baltimore County), Maryland","","","","","","","",""
"    Estimate","42,069","9,971","2,209","6,399","6,506","5,095","5,359","6,530"
"Agawam Town city, Massachusetts","","","","","","","",""
"    Estimate","28,604","7,100","2,364","3,821","3,850","4,022","3,018","4,429"
"Amherst Center CDP, Massachusetts","","","","","","","",""
"    Estimate","21,914","1,140","17,445","361","338","873","299","1,458"
"Arlington CDP, Massachusetts","","","","","","","",""
"    Estimate","45,539","10,193","2,454","5,170","7,026","6,459","7,622","6,615"
"Attleboro city, Massachusetts","","","","","","","",""
"    Estimate","45,242","9,947","2,264","5,849","6,503","5,904","6,492","8,283"
"Barnstable Town city, Massachusetts","","","","","","","",""
"    Estimate","44,469","6,058","3,530","4,385","5,292","7,031","7,768","10,405"
"Belmont CDP, Massachusetts","","","","","","","",""
"    Estimate","26,104","6,114","1,300","3,448","4,105","4,090","3,082","3,965"
"Beverly city, Massachusetts","","","","","","","",""
"    Estimate","42,189","10,304","5,736","5,171","5,973","5,600","4,083","5,322"
"Boston city, Massachusetts","","","","","","","",""
"    Estimate","694,295","107,097","101,848","169,201","88,935","73,481","70,077","83,656"
"Braintree Town city, Massachusetts","","","","","","","",""
"    Estimate","37,190","7,009","2,907","3,824","3,347","6,754","4,877","8,472"
"Bridgewater Town city, Massachusetts","","","","","","","",""
"    Estimate","27,619","4,057","5,281","3,618","3,403","3,247","3,827","4,186"
"Brockton city, Massachusetts","","","","","","","",""
"    Estimate","95,705","24,086","9,616","12,544","11,218","13,639","11,878","12,724"
"Brookline CDP, Massachusetts","","","","","","","",""
"    Estimate","59,115","10,600","9,115","11,685","7,103","6,176","6,295","8,141"
"Burlington CDP, Massachusetts","","","","","","","",""
"    Estimate","28,633","5,767","2,049","2,368","5,015","4,009","3,933","5,492"
"Cambridge city, Massachusetts","","","","","","","",""
"    Estimate","118,925","15,872","24,192","31,530","15,471","10,374","9,023","12,463"
"Chelsea city, Massachusetts","","","","","","","",""
"    Estimate","39,707","11,489","3,311","6,331","5,232","4,804","4,173","4,367"
"Chicopee city, Massachusetts","","","","","","","",""
"    Estimate","55,127","11,484","6,359","7,491","6,332","5,688","6,911","10,862"
"Danvers CDP, Massachusetts","","","","","","","",""
"    Estimate","27,546","4,028","2,187","3,277","3,793","2,975","4,429","6,857"
"Dedham CDP, Massachusetts","","","","","","","",""
"    Estimate","25,220","4,893","1,311","5,044","3,020","3,118","4,075","3,759"
"Everett city, Massachusetts","","","","","","","",""
"    Estimate","46,452","7,874","3,734","7,231","8,107","7,238","4,990","7,278"
"Fall River city, Massachusetts","","","","","","","",""
"    Estimate","89,534","20,131","7,424","12,833","10,601","13,613","10,113","14,819"
"Fitchburg city, Massachusetts","","","","","","","",""
"    Estimate","40,640","9,937","5,853","4,479","4,868","5,266","4,996","5,241"
"Framingham city, Massachusetts","","","","","","","",""
"    Estimate","74,429","17,921","6,854","12,285","10,663","7,852","7,593","11,261"
"Franklin Town city, Massachusetts","","","","","","","",""
"    Estimate","34,077","7,229","4,352","3,056","4,027","5,405","4,909","5,099"
"Gardner city, Massachusetts","","","","","","","",""
"    Estimate","19,881","3,415","1,545","3,103","2,254","2,260","3,586","3,718"
"Gloucester city, Massachusetts","","","","","","","",""
"    Estimate","30,431","5,188","2,225","3,076","3,269","3,451","7,059","6,163"
"Haverhill city, Massachusetts","","","","","","","",""
"    Estimate","64,009","14,799","5,365","9,882","8,043","7,288","9,421","9,211"
"Holyoke city, Massachusetts","","","","","","","",""
"    Estimate","40,118","6,555","3,002","7,841","4,479","5,999","5,141","7,101"
"Lawrence city, Massachusetts","","","","","","","",""
"    Estimate","80,038","18,972","8,713","13,918","9,596","11,027","9,498","8,314"
"Leominster city, Massachusetts","","","","","","","",""
"    Estimate","41,713","7,338","2,834","5,917","5,328","6,993","5,425","7,878"
"Lexington CDP, Massachusetts","","","","","","","",""
"    Estimate","33,140","9,074","1,463","1,175","4,094","6,175","4,540","6,619"
"Lowell city, Massachusetts","","","","","","","",""
"    Estimate","110,990","17,370","17,490","19,080","15,129","14,820","13,871","13,230"
"Lynn city, Massachusetts","","","","","","","",""
"    Estimate","94,300","24,845","9,152","12,340","12,971","11,502","10,413","13,077"
"Malden city, Massachusetts","","","","","","","",""
"    Estimate","60,472","10,501","5,804","14,975","6,983","6,168","7,063","8,978"
"Marblehead CDP, Massachusetts","","","","","","","",""
"    Estimate","25,441","6,055","2,082","1,341","2,628","4,788","3,609","4,938"
"Marlborough city, Massachusetts","","","","","","","",""
"    Estimate","39,600","8,384","2,328","7,661","5,454","5,416","3,841","6,516"
"Medford city, Massachusetts","","","","","","","",""
"    Estimate","57,340","9,357","8,598","12,747","5,514","5,658","6,989","8,477"
"Melrose city, Massachusetts","","","","","","","",""
"    Estimate","28,020","5,406","2,217","2,943","4,055","4,619","3,611","5,169"
"Methuen Town city, Massachusetts","","","","","","","",""
"    Estimate","50,706","9,917","4,133","6,081","7,037","6,815","7,330","9,393"
"Milford CDP, Massachusetts","","","","","","","",""
"    Estimate","27,620","6,386","2,564","4,919","3,556","4,050","2,444","3,701"
"Milton CDP, Massachusetts","","","","","","","",""
"    Estimate","27,588","5,739","2,456","2,006","2,655","2,716","5,590","6,426"
"Needham CDP, Massachusetts","","","","","","","",""
"    Estimate","31,381","9,725","1,287","1,739","4,273","5,495","3,447","5,415"
"New Bedford city, Massachusetts","","","","","","","",""
"    Estimate","95,348","22,935","7,600","16,121","13,795","9,399","10,523","14,975"
"Newburyport city, Massachusetts","","","","","","","",""
"    Estimate","21,145","5,726","913","1,795","3,500","2,408","3,131","3,672"
"Newton city, Massachusetts","","","","","","","",""
"    Estimate","88,411","18,577","11,018","9,665","8,842","11,361","12,337","16,611"
"Northampton city, Massachusetts","","","","","","","",""
"    Estimate","28,458","3,342","5,034","3,371","2,988","3,636","4,118","5,969"
"Norwood CDP, Massachusetts","","","","","","","",""
"    Estimate","29,732","6,382","2,370","3,582","3,752","4,288","3,128","6,230"
"Peabody city, Massachusetts","","","","","","","",""
"    Estimate","53,071","6,725","4,543","8,019","3,483","8,776","7,981","13,544"
"Pittsfield city, Massachusetts","","","","","","","",""
"    Estimate","42,145","5,902","3,758","4,740","3,829","5,902","6,280","11,734"
"Quincy city, Massachusetts","","","","","","","",""
"    Estimate","94,468","14,528","5,796","18,046","13,784","11,671","12,350","18,293"
"Randolph Town city, Massachusetts","","","","","","","",""
"    Estimate","34,371","7,702","3,213","5,624","5,447","3,779","3,591","5,015"
"Reading CDP, Massachusetts","","","","","","","",""
"    Estimate","25,402","6,393","1,060","2,564","3,219","3,099","2,835","6,232"
"Revere city, Massachusetts","","","","","","","",""
"    Estimate","53,064","10,123","2,665","9,994","9,477","5,978","7,116","7,711"
"Salem city, Massachusetts","","","","","","","",""
"    Estimate","43,226","6,566","6,175","7,549","5,574","4,304","5,767","7,291"
"Saugus CDP, Massachusetts","","","","","","","",""
"    Estimate","28,357","4,433","1,938","2,691","3,927","4,384","4,616","6,368"
"Somerville city, Massachusetts","","","","","","","",""
"    Estimate","81,358","10,793","10,109","26,372","12,650","6,183","7,518","7,733"
"Springfield city, Massachusetts","","","","","","","",""
"    Estimate","153,599","39,610","19,971","22,823","19,030","17,123","16,402","18,640"
"Stoneham CDP, Massachusetts","","","","","","","",""
"    Estimate","24,128","3,386","1,531","4,109","2,807","3,260","3,409","5,626"
"Taunton city, Massachusetts","","","","","","","",""
"    Estimate","57,464","9,745","4,717","8,097","5,899","9,391","9,684","9,931"
"Wakefield CDP, Massachusetts","","","","","","","",""
"    Estimate","27,040","4,819","1,753","2,817","3,284","3,232","4,576","6,559"
"Waltham city, Massachusetts","","","","","","","",""
"    Estimate","62,495","7,588","12,591","13,101","8,355","5,440","7,224","8,196"
"Watertown Town city, Massachusetts","","","","","","","",""
"    Estimate","35,937","5,867","1,991","8,375","6,553","3,334","3,965","5,852"
"Wellesley CDP, Massachusetts","","","","","","","",""
"    Estimate","28,663","6,161","6,866","1,120","2,561","3,686","3,789","4,480"
"Westfield city, Massachusetts","","","","","","","",""
"    Estimate","41,212","8,669","4,666","4,958","3,883","4,719","6,402","7,915"
"West Springfield Town city, Massachusetts","","","","","","","",""
"    Estimate","28,503","5,058","1,797","4,004","5,234","3,237","3,707","5,466"
"Weymouth Town city, Massachusetts","","","","","","","",""
"    Estimate","57,751","9,661","5,566","7,923","7,165","6,777","9,662","10,997"
"Wilmington CDP, Massachusetts","","","","","","","",""
"    Estimate","19,824","4,065","1,329","1,786","2,905","3,201","3,267","3,271"
"Winchester CDP, Massachusetts","","","","","","","",""
"    Estimate","23,406","7,253","1,073","1,243","3,058","3,837","2,865","4,077"
"Woburn city, Massachusetts","","","","","","","",""
"    Estimate","40,221","6,989","4,094","6,931","4,129","5,319","6,131","6,628"
"Worcester city, Massachusetts","","","","","","","",""
"    Estimate","185,421","35,688","28,435","29,706","23,128","21,973","21,979","24,512"
"Adrian city, Michigan","","","","","","","",""
"    Estimate","20,693","4,920","2,965","2,400","2,349","2,202","1,716","4,141"
"Allendale CDP, Michigan","","","","","","","",""
"    Estimate","22,940","3,701","10,131","2,538","1,574","1,664","1,418","1,914"
"Allen Park city, Michigan","","","","","","","",""
"    Estimate","26,948","5,961","1,122","3,712","3,975","3,495","4,321","4,362"
"Ann Arbor city, Michigan","","","","","","","",""
"    Estimate","119,976","15,997","37,548","20,852","11,589","10,097","9,463","14,430"
"Auburn Hills city, Michigan","","","","","","","",""
"    Estimate","24,742","3,450","4,241","4,289","3,459","2,253","2,851","4,199"
"Battle Creek city, Michigan","","","","","","","",""
"    Estimate","51,092","12,249","4,259","7,149","7,301","4,829","6,617","8,688"
"Bay City city, Michigan","","","","","","","",""
"    Estimate","32,717","8,130","3,263","4,856","4,490","4,151","3,604","4,223"
"Birmingham city, Michigan","","","","","","","",""
"    Estimate","21,945","6,051","831","2,094","2,903","3,233","2,497","4,336"
"Burton city, Michigan","","","","","","","",""
"    Estimate","28,571","6,850","2,297","3,904","3,642","2,516","4,124","5,238"
"Dearborn city, Michigan","","","","","","","",""
"    Estimate","93,927","28,434","10,454","14,481","10,649","9,552","8,498","11,859"
"Dearborn Heights city, Michigan","","","","","","","",""
"    Estimate","55,357","14,135","4,391","8,137","5,145","8,098","7,376","8,075"
"Detroit city, Michigan","","","","","","","",""
"    Estimate","670,052","166,118","62,287","106,806","79,936","77,796","80,011","97,098"
"East Lansing city, Michigan","","","","","","","",""
"    Estimate","49,837","4,156","30,987","4,428","2,421","2,206","1,806","3,833"
"Eastpointe city, Michigan","","","","","","","",""
"    Estimate","32,079","6,312","1,959","5,898","4,921","4,244","4,588","4,157"
"Farmington Hills city, Michigan","","","","","","","",""
"    Estimate","80,597","16,584","5,678","12,433","11,063","9,914","9,726","15,199"
"Ferndale city, Michigan","","","","","","","",""
"    Estimate","19,447","2,829","901","6,059","3,213","2,343","1,381","2,721"
"Flint city, Michigan","","","","","","","",""
"    Estimate","95,541","23,669","9,130","13,526","10,912","11,642","13,405","13,257"
"Forest Hills CDP, Michigan","","","","","","","",""
"    Estimate","28,669","9,107","1,216","1,970","4,826","3,650","3,449","4,451"
"Garden City city, Michigan","","","","","","","",""
"    Estimate","26,394","6,286","1,889","4,555","3,150","3,209","4,124","3,181"
"Grand Rapids city, Michigan","","","","","","","",""
"    Estimate","201,004","43,764","26,161","42,896","22,114","19,729","20,467","25,873"
"Hamtramck city, Michigan","","","","","","","",""
"    Estimate","24,982","7,397","3,789","4,137","3,910","2,233","1,728","1,788"
"Holland city, Michigan","","","","","","","",""
"    Estimate","33,468","7,566","4,459","5,689","3,423","2,567","4,598","5,166"
"Holt CDP, Michigan","","","","","","","",""
"    Estimate","26,969","6,836","2,969","3,673","2,999","3,467","4,207","2,818"
"Inkster city, Michigan","","","","","","","",""
"    Estimate","24,291","6,373","2,318","4,483","2,355","3,825","2,058","2,879"
"Jackson city, Michigan","","","","","","","",""
"    Estimate","32,442","7,771","3,183","4,696","3,604","4,673","4,585","3,930"
"Kalamazoo city, Michigan","","","","","","","",""
"    Estimate","76,201","13,308","20,421","11,709","8,434","6,880","6,658","8,791"
"Kentwood city, Michigan","","","","","","","",""
"    Estimate","51,899","14,004","3,753","9,617","5,668","5,996","6,138","6,723"
"Lansing city, Michigan","","","","","","","",""
"    Estimate","116,677","24,066","14,523","22,553","14,562","13,154","12,923","14,896"
"Lincoln Park city, Michigan","","","","","","","",""
"    Estimate","36,316","8,441","3,053","5,584","3,933","4,971","4,667","5,667"
"Livonia city, Michigan","","","","","","","",""
"    Estimate","93,664","17,725","7,084","10,526","9,461","13,671","14,005","21,192"
"Madison Heights city, Michigan","","","","","","","",""
"    Estimate","29,877","4,041","3,847","4,648","3,256","5,585","3,441","5,059"
"Marquette city, Michigan","","","","","","","",""
"    Estimate","20,878","2,357","6,123","3,001","1,579","2,398","2,140","3,280"
"Midland city, Michigan","","","","","","","",""
"    Estimate","41,557","9,217","3,611","5,937","5,520","4,676","5,456","7,140"
"Monroe city, Michigan","","","","","","","",""
"    Estimate","19,478","4,410","1,583","2,951","1,971","2,232","2,670","3,661"
"Mount Pleasant city, Michigan","","","","","","","",""
"    Estimate","24,792","3,202","10,118","3,426","2,058","1,158","2,084","2,746"
"Muskegon city, Michigan","","","","","","","",""
"    Estimate","36,565","7,974","4,366","6,239","4,469","3,870","4,411","5,236"
"Norton Shores city, Michigan","","","","","","","",""
"    Estimate","24,660","5,795","2,044","2,678","3,161","2,861","3,935","4,186"
"Novi city, Michigan","","","","","","","",""
"    Estimate","60,890","16,307","3,929","7,114","9,706","8,969","6,882","7,983"
"Oak Park city, Michigan","","","","","","","",""
"    Estimate","29,432","6,501","3,280","5,029","3,125","2,983","4,353","4,161"
"Okemos CDP, Michigan","","","","","","","",""
"    Estimate","24,169","5,778","2,539","2,385","3,121","2,598","2,725","5,023"
"Pontiac city, Michigan","","","","","","","",""
"    Estimate","59,452","16,343","7,024","9,284","6,996","7,067","6,892","5,846"
"Portage city, Michigan","","","","","","","",""
"    Estimate","49,447","11,575","7,154","6,292","6,106","5,813","5,030","7,477"
"Port Huron city, Michigan","","","","","","","",""
"    Estimate","28,756","7,182","2,910","4,171","3,033","2,868","3,862","4,730"
"Rochester Hills city, Michigan","","","","","","","",""
"    Estimate","74,509","15,068","6,989","7,314","10,639","9,506","11,159","13,834"
"Romulus city, Michigan","","","","","","","",""
"    Estimate","26,440","7,010","2,782","4,412","3,016","3,181","2,485","3,554"
"Roseville city, Michigan","","","","","","","",""
"    Estimate","47,028","9,518","3,369","8,968","5,084","6,184","6,660","7,245"
"Royal Oak city, Michigan","","","","","","","",""
"    Estimate","59,286","8,779","4,461","14,308","8,270","5,676","7,473","10,319"
"Saginaw city, Michigan","","","","","","","",""
"    Estimate","48,120","11,983","4,430","7,013","5,847","6,027","5,404","7,416"
"St. Clair Shores city, Michigan","","","","","","","",""
"    Estimate","58,979","9,169","3,544","9,783","7,377","7,143","9,718","12,245"
"Southfield city, Michigan","","","","","","","",""
"    Estimate","72,700","12,795","5,059","11,237","7,819","8,882","11,380","15,528"
"Southgate city, Michigan","","","","","","","",""
"    Estimate","28,966","4,889","2,138","3,375","3,007","4,108","4,860","6,589"
"Sterling Heights city, Michigan","","","","","","","",""
"    Estimate","132,429","23,383","9,676","21,475","14,918","17,866","20,094","25,017"
"Taylor city, Michigan","","","","","","","",""
"    Estimate","60,927","12,320","6,147","10,235","6,951","8,151","8,851","8,272"
"Troy city, Michigan","","","","","","","",""
"    Estimate","84,087","17,321","6,554","9,605","11,034","13,030","11,126","15,417"
"Walker city, Michigan","","","","","","","",""
"    Estimate","24,876","6,106","1,942","4,223","2,993","2,145","3,185","4,282"
"Warren city, Michigan","","","","","","","",""
"    Estimate","133,944","28,501","11,671","19,571","17,153","17,956","18,409","20,683"
"Waverly CDP, Michigan","","","","","","","",""
"    Estimate","25,276","2,864","1,906","5,268","3,154","2,356","3,817","5,911"
"Westland city, Michigan","","","","","","","",""
"    Estimate","81,524","15,829","6,868","13,737","7,980","11,381","11,470","14,259"
"Wyandotte city, Michigan","","","","","","","",""
"    Estimate","24,860","5,153","1,204","4,005","2,614","3,292","3,647","4,945"
"Wyoming city, Michigan","","","","","","","",""
"    Estimate","75,660","17,067","8,992","13,105","11,316","7,906","8,550","8,724"
"Ypsilanti city, Michigan","","","","","","","",""
"    Estimate","23,713","5,297","7,359","3,493","2,736","1,746","1,308","1,774"
"Andover city, Minnesota","","","","","","","",""
"    Estimate","33,142","8,105","1,750","4,266","4,450","5,072","4,885","4,614"
"Apple Valley city, Minnesota","","","","","","","",""
"    Estimate","55,126","13,206","4,631","7,202","7,671","6,747","6,896","8,773"
"Austin city, Minnesota","","","","","","","",""
"    Estimate","25,516","6,681","2,504","2,933","3,574","2,526","2,529","4,769"
"Blaine city, Minnesota","","","","","","","",""
"    Estimate","65,612","18,133","5,059","8,918","10,992","6,466","9,014","7,030"
"Bloomington city, Minnesota","","","","","","","",""
"    Estimate","84,935","15,659","6,455","13,743","12,774","7,411","12,499","16,394"
"Brooklyn Center city, Minnesota","","","","","","","",""
"    Estimate","30,672","7,198","1,896","6,020","3,162","4,013","3,678","4,705"
"Brooklyn Park city, Minnesota","","","","","","","",""
"    Estimate","80,401","20,560","9,703","10,051","10,856","10,830","9,640","8,761"
"Burnsville city, Minnesota","","","","","","","",""
"    Estimate","61,335","13,234","6,057","9,389","6,948","6,988","8,221","10,498"
"Champlin city, Minnesota","","","","","","","",""
"    Estimate","25,266","5,184","1,792","3,399","2,381","4,755","4,007","3,748"
"Chanhassen city, Minnesota","","","","","","","",""
"    Estimate","26,387","7,353","2,279","1,963","3,608","3,929","4,408","2,847"
"Chaska city, Minnesota","","","","","","","",""
"    Estimate","26,984","7,008","1,908","3,793","4,632","3,733","3,335","2,575"
"Columbia Heights city, Minnesota","","","","","","","",""
"    Estimate","21,742","4,963","698","3,774","2,433","2,034","3,101","4,739"
"Coon Rapids city, Minnesota","","","","","","","",""
"    Estimate","63,003","12,952","4,974","8,754","9,945","8,170","7,328","10,880"
"Cottage Grove city, Minnesota","","","","","","","",""
"    Estimate","37,599","10,357","2,309","5,063","6,402","5,082","3,778","4,608"
"Crystal city, Minnesota","","","","","","","",""
"    Estimate","23,844","3,907","2,623","3,920","3,180","3,493","2,662","4,059"
"Duluth city, Minnesota","","","","","","","",""
"    Estimate","85,617","14,697","16,559","12,321","9,645","9,017","10,033","13,345"
"Eagan city, Minnesota","","","","","","","",""
"    Estimate","66,376","17,799","5,415","8,421","9,222","8,137","9,104","8,278"
"Eden Prairie city, Minnesota","","","","","","","",""
"    Estimate","64,900","18,832","2,714","7,037","10,747","8,199","8,054","9,317"
"Edina city, Minnesota","","","","","","","",""
"    Estimate","52,845","12,762","3,729","5,164","7,729","6,175","6,814","10,472"
"Elk River city, Minnesota","","","","","","","",""
"    Estimate","25,203","6,229","2,229","2,732","5,021","3,523","2,418","3,051"
"Faribault city, Minnesota","","","","","","","",""
"    Estimate","21,722","5,815","1,392","2,835","3,554","2,819","2,383","2,924"
"Farmington city, Minnesota","","","","","","","",""
"    Estimate","19,722","6,972","663","2,007","3,296","2,271","2,179","2,334"
"Forest Lake city, Minnesota","","","","","","","",""
"    Estimate","21,572","5,439","1,662","3,328","2,621","2,335","2,901","3,286"
"Fridley city, Minnesota","","","","","","","",""
"    Estimate","27,836","5,968","1,808","5,319","3,294","2,578","3,778","5,091"
"Golden Valley city, Minnesota","","","","","","","",""
"    Estimate","20,868","4,352","739","2,236","3,319","2,868","3,025","4,329"
"Hastings city, Minnesota","","","","","","","",""
"    Estimate","24,127","4,410","2,398","2,781","3,465","3,586","2,957","4,530"
"Inver Grove Heights city, Minnesota","","","","","","","",""
"    Estimate","35,667","6,717","2,675","4,802","5,222","4,932","5,510","5,809"
"Lakeville city, Minnesota","","","","","","","",""
"    Estimate","67,326","19,054","5,252","7,604","9,326","10,225","10,124","5,741"
"Lino Lakes city, Minnesota","","","","","","","",""
"    Estimate","20,885","4,813","1,557","2,159","2,195","3,835","4,003","2,323"
"Mankato city, Minnesota","","","","","","","",""
"    Estimate","42,930","7,748","13,046","5,856","4,045","2,822","3,475","5,938"
"Maple Grove city, Minnesota","","","","","","","",""
"    Estimate","72,616","18,253","3,653","7,617","10,998","10,764","11,904","9,427"
"Maplewood city, Minnesota","","","","","","","",""
"    Estimate","40,887","8,004","2,583","6,185","5,351","3,655","7,416","7,693"
"Minneapolis city, Minnesota","","","","","","","",""
