"Label (Grouping)","Median earnings in the past 12 months (in 2019 Inflation-adjusted dollars) --!!Total (dollars):"
"Radcliff city, Kentucky",""
"    Estimate","30,885"
"Richmond city, Kentucky",""
"    Estimate","17,154"
"Alexandria city, Louisiana",""
"    Estimate","25,916"
"Baton Rouge city, Louisiana",""
"    Estimate","25,503"
"Bossier City city, Louisiana",""
"    Estimate","30,752"
"Central city, Louisiana",""
"    Estimate","50,036"
"Chalmette CDP, Louisiana",""
"    Estimate","29,923"
"Hammond city, Louisiana",""
"    Estimate","17,997"
"Harvey CDP, Louisiana",""
"    Estimate","31,791"
"Houma city, Louisiana",""
"    Estimate","36,095"
"Kenner city, Louisiana",""
"    Estimate","32,413"
"Lafayette city, Louisiana",""
"    Estimate","31,815"
"Lake Charles city, Louisiana",""
"    Estimate","28,506"
"Laplace CDP, Louisiana",""
"    Estimate","45,442"
"Marrero CDP, Louisiana",""
"    Estimate","26,333"
"Metairie CDP, Louisiana",""
"    Estimate","37,023"
"Monroe city, Louisiana",""
"    Estimate","23,733"
"New Iberia city, Louisiana",""
"    Estimate","35,863"
"New Orleans city, Louisiana",""
"    Estimate","32,032"
"Prairieville CDP, Louisiana",""
"    Estimate","55,354"
"Ruston city, Louisiana",""
"    Estimate","15,150"
"Shenandoah CDP, Louisiana",""
"    Estimate","47,620"
"Shreveport city, Louisiana",""
"    Estimate","30,207"
"Slidell city, Louisiana",""
"    Estimate","31,540"
"Terrytown CDP, Louisiana",""
"    Estimate","31,372"
"Zachary city, Louisiana",""
"    Estimate","47,993"
"Auburn city, Maine",""
"    Estimate","37,594"
"Bangor city, Maine",""
"    Estimate","33,831"
"Biddeford city, Maine",""
"    Estimate","30,190"
"Lewiston city, Maine",""
"    Estimate","31,460"
"Portland city, Maine",""
"    Estimate","38,484"
"Saco city, Maine",""
"    Estimate","37,940"
"Sanford city, Maine",""
"    Estimate","31,621"
"South Portland city, Maine",""
"    Estimate","41,887"
"Westbrook city, Maine",""
"    Estimate","38,235"
"Annapolis city, Maryland",""
"    Estimate","50,426"
"Arnold CDP, Maryland",""
"    Estimate","61,534"
"Aspen Hill CDP, Maryland",""
"    Estimate","36,833"
"Ballenger Creek CDP, Maryland",""
"    Estimate","51,510"
"Baltimore city, Maryland",""
"    Estimate","37,654"
"Bel Air North CDP, Maryland",""
"    Estimate","59,807"
"Bel Air South CDP, Maryland",""
"    Estimate","50,114"
"Bethesda CDP, Maryland",""
"    Estimate","90,508"
"Bowie city, Maryland",""
"    Estimate","55,528"
"Carney CDP, Maryland",""
"    Estimate","41,901"
"Catonsville CDP, Maryland",""
"    Estimate","46,219"
"Chillum CDP, Maryland",""
"    Estimate","36,596"
"Clarksburg CDP, Maryland",""
"    Estimate","78,225"
"Clinton CDP, Maryland",""
"    Estimate","52,105"
"Cockeysville CDP, Maryland",""
"    Estimate","47,137"
"College Park city, Maryland",""
"    Estimate","6,371"
"Columbia CDP, Maryland",""
"    Estimate","55,174"
"Crofton CDP, Maryland",""
"    Estimate","52,216"
"Cumberland city, Maryland",""
"    Estimate","31,094"
"Dundalk CDP, Maryland",""
"    Estimate","39,550"
"Edgewood CDP, Maryland",""
"    Estimate","40,373"
"Eldersburg CDP, Maryland",""
"    Estimate","67,203"
"Elkridge CDP, Maryland",""
"    Estimate","55,374"
"Ellicott City CDP, Maryland",""
"    Estimate","72,970"
"Essex CDP, Maryland",""
"    Estimate","37,979"
"Fairland CDP, Maryland",""
"    Estimate","39,970"
"Fort Washington CDP, Maryland",""
"    Estimate","56,118"
"Frederick city, Maryland",""
"    Estimate","40,934"
"Gaithersburg city, Maryland",""
"    Estimate","43,650"
"Germantown CDP, Maryland",""
"    Estimate","51,848"
"Glen Burnie CDP, Maryland",""
"    Estimate","48,170"
"Greenbelt city, Maryland",""
"    Estimate","40,060"
"Hagerstown city, Maryland",""
"    Estimate","26,420"
"Ilchester CDP, Maryland",""
"    Estimate","68,024"
"Landover CDP, Maryland",""
"    Estimate","34,084"
"Langley Park CDP, Maryland",""
"    Estimate","38,393"
"Laurel city, Maryland",""
"    Estimate","45,031"
"Lochearn CDP, Maryland",""
"    Estimate","40,106"
"Maryland City CDP, Maryland",""
"    Estimate","51,542"
"Middle River CDP, Maryland",""
"    Estimate","32,345"
"Milford Mill CDP, Maryland",""
"    Estimate","37,092"
"Montgomery Village CDP, Maryland",""
"    Estimate","37,199"
"North Bethesda CDP, Maryland",""
"    Estimate","74,639"
"North Laurel CDP, Maryland",""
"    Estimate","52,307"
"North Potomac CDP, Maryland",""
"    Estimate","100,128"
"Odenton CDP, Maryland",""
"    Estimate","51,624"
"Olney CDP, Maryland",""
"    Estimate","52,173"
"Owings Mills CDP, Maryland",""
"    Estimate","50,952"
"Parkville CDP, Maryland",""
"    Estimate","45,386"
"Pasadena CDP, Maryland",""
"    Estimate","47,468"
"Perry Hall CDP, Maryland",""
"    Estimate","49,320"
"Pikesville CDP, Maryland",""
"    Estimate","51,871"
"Potomac CDP, Maryland",""
"    Estimate","76,832"
"Randallstown CDP, Maryland",""
"    Estimate","42,847"
"Reisterstown CDP, Maryland",""
"    Estimate","37,582"
"Rockville city, Maryland",""
"    Estimate","50,503"
"Rosedale CDP, Maryland",""
"    Estimate","40,977"
"Salisbury city, Maryland",""
"    Estimate","25,374"
"Severn CDP, Maryland",""
"    Estimate","56,899"
"Severna Park CDP, Maryland",""
"    Estimate","76,605"
"Silver Spring CDP, Maryland",""
"    Estimate","42,514"
"South Laurel CDP, Maryland",""
"    Estimate","41,396"
"Suitland CDP, Maryland",""
"    Estimate","36,931"
"Takoma Park city, Maryland",""
"    Estimate","37,262"
"Towson CDP, Maryland",""
"    Estimate","47,746"
"Waldorf CDP, Maryland",""
"    Estimate","57,722"
"Wheaton CDP, Maryland",""
"    Estimate","32,185"
"White Oak CDP, Maryland",""
"    Estimate","35,359"
"Woodlawn CDP (Baltimore County), Maryland",""
"    Estimate","42,089"
"Agawam Town city, Massachusetts",""
"    Estimate","49,666"
"Amherst Center CDP, Massachusetts",""
"    Estimate","4,749"
"Arlington CDP, Massachusetts",""
"    Estimate","71,567"
"Attleboro city, Massachusetts",""
"    Estimate","45,533"
"Barnstable Town city, Massachusetts",""
"    Estimate","41,115"
"Belmont CDP, Massachusetts",""
"    Estimate","75,025"
"Beverly city, Massachusetts",""
"    Estimate","46,183"
"Boston city, Massachusetts",""
"    Estimate","45,046"
"Braintree Town city, Massachusetts",""
"    Estimate","47,211"
"Bridgewater Town city, Massachusetts",""
"    Estimate","41,929"
"Brockton city, Massachusetts",""
"    Estimate","35,171"
"Brookline CDP, Massachusetts",""
"    Estimate","60,763"
"Burlington CDP, Massachusetts",""
"    Estimate","61,527"
"Cambridge city, Massachusetts",""
"    Estimate","54,381"
"Chelsea city, Massachusetts",""
"    Estimate","35,494"
"Chicopee city, Massachusetts",""
"    Estimate","35,858"
"Danvers CDP, Massachusetts",""
"    Estimate","44,522"
"Dedham CDP, Massachusetts",""
"    Estimate","65,386"
"Everett city, Massachusetts",""
"    Estimate","35,103"
"Fall River city, Massachusetts",""
"    Estimate","32,022"
"Fitchburg city, Massachusetts",""
"    Estimate","30,791"
"Framingham city, Massachusetts",""
"    Estimate","45,565"
"Franklin Town city, Massachusetts",""
"    Estimate","51,969"
"Gardner city, Massachusetts",""
"    Estimate","30,994"
"Gloucester city, Massachusetts",""
"    Estimate","40,807"
"Haverhill city, Massachusetts",""
"    Estimate","36,285"
"Holyoke city, Massachusetts",""
"    Estimate","35,901"
"Lawrence city, Massachusetts",""
"    Estimate","30,895"
"Leominster city, Massachusetts",""
"    Estimate","42,830"
"Lexington CDP, Massachusetts",""
"    Estimate","117,118"
"Lowell city, Massachusetts",""
"    Estimate","36,464"
"Lynn city, Massachusetts",""
"    Estimate","32,329"
"Malden city, Massachusetts",""
"    Estimate","48,448"
"Marblehead CDP, Massachusetts",""
"    Estimate","50,108"
"Marlborough city, Massachusetts",""
"    Estimate","43,864"
"Medford city, Massachusetts",""
"    Estimate","49,788"
"Melrose city, Massachusetts",""
"    Estimate","70,037"
"Methuen Town city, Massachusetts",""
"    Estimate","42,406"
"Milford CDP, Massachusetts",""
"    Estimate","41,474"
"Milton CDP, Massachusetts",""
"    Estimate","59,803"
"Needham CDP, Massachusetts",""
"    Estimate","80,841"
"New Bedford city, Massachusetts",""
"    Estimate","35,979"
"Newburyport city, Massachusetts",""
"    Estimate","76,513"
"Newton city, Massachusetts",""
"    Estimate","61,274"
"Northampton city, Massachusetts",""
"    Estimate","30,242"
"Norwood CDP, Massachusetts",""
"    Estimate","47,867"
"Peabody city, Massachusetts",""
"    Estimate","46,512"
"Pittsfield city, Massachusetts",""
"    Estimate","31,326"
"Quincy city, Massachusetts",""
"    Estimate","49,124"
"Randolph Town city, Massachusetts",""
"    Estimate","40,753"
"Reading CDP, Massachusetts",""
"    Estimate","71,247"
"Revere city, Massachusetts",""
"    Estimate","36,734"
"Salem city, Massachusetts",""
"    Estimate","41,963"
"Saugus CDP, Massachusetts",""
"    Estimate","48,573"
"Somerville city, Massachusetts",""
"    Estimate","51,959"
"Springfield city, Massachusetts",""
"    Estimate","31,680"
"Stoneham CDP, Massachusetts",""
"    Estimate","60,018"
"Taunton city, Massachusetts",""
"    Estimate","40,920"
"Wakefield CDP, Massachusetts",""
"    Estimate","62,441"
"Waltham city, Massachusetts",""
"    Estimate","43,947"
"Watertown Town city, Massachusetts",""
"    Estimate","61,311"
"Wellesley CDP, Massachusetts",""
"    Estimate","44,870"
"Westfield city, Massachusetts",""
"    Estimate","35,368"
"West Springfield Town city, Massachusetts",""
"    Estimate","41,333"
"Weymouth Town city, Massachusetts",""
"    Estimate","50,082"
"Wilmington CDP, Massachusetts",""
"    Estimate","53,936"
"Winchester CDP, Massachusetts",""
"    Estimate","94,856"
"Woburn city, Massachusetts",""
"    Estimate","51,764"
"Worcester city, Massachusetts",""
"    Estimate","32,251"
"Adrian city, Michigan",""
"    Estimate","17,291"
"Allendale CDP, Michigan",""
"    Estimate","12,456"
"Allen Park city, Michigan",""
"    Estimate","50,329"
"Ann Arbor city, Michigan",""
"    Estimate","27,667"
"Auburn Hills city, Michigan",""
"    Estimate","32,646"
"Battle Creek city, Michigan",""
"    Estimate","26,561"
"Bay City city, Michigan",""
"    Estimate","30,656"
"Birmingham city, Michigan",""
"    Estimate","87,315"
"Burton city, Michigan",""
"    Estimate","30,057"
"Dearborn city, Michigan",""
"    Estimate","31,870"
"Dearborn Heights city, Michigan",""
"    Estimate","31,748"
"Detroit city, Michigan",""
"    Estimate","27,046"
"East Lansing city, Michigan",""
"    Estimate","7,289"
"Eastpointe city, Michigan",""
"    Estimate","30,576"
"Farmington Hills city, Michigan",""
"    Estimate","52,162"
"Ferndale city, Michigan",""
"    Estimate","42,440"
"Flint city, Michigan",""
"    Estimate","23,508"
"Forest Hills CDP, Michigan",""
"    Estimate","52,401"
"Garden City city, Michigan",""
"    Estimate","32,247"
"Grand Rapids city, Michigan",""
"    Estimate","29,996"
"Hamtramck city, Michigan",""
"    Estimate","21,688"
"Holland city, Michigan",""
"    Estimate","29,556"
"Holt CDP, Michigan",""
"    Estimate","36,081"
"Inkster city, Michigan",""
"    Estimate","22,398"
"Jackson city, Michigan",""
"    Estimate","21,528"
"Kalamazoo city, Michigan",""
"    Estimate","20,883"
"Kentwood city, Michigan",""
"    Estimate","33,802"
"Lansing city, Michigan",""
"    Estimate","27,415"
"Lincoln Park city, Michigan",""
"    Estimate","31,130"
"Livonia city, Michigan",""
"    Estimate","44,535"
"Madison Heights city, Michigan",""
"    Estimate","40,668"
"Marquette city, Michigan",""
"    Estimate","21,022"
"Midland city, Michigan",""
"    Estimate","40,412"
"Monroe city, Michigan",""
"    Estimate","31,026"
"Mount Pleasant city, Michigan",""
"    Estimate","10,625"
"Muskegon city, Michigan",""
"    Estimate","21,743"
"Norton Shores city, Michigan",""
"    Estimate","40,128"
"Novi city, Michigan",""
"    Estimate","60,551"
"Oak Park city, Michigan",""
"    Estimate","27,349"
"Okemos CDP, Michigan",""
"    Estimate","38,537"
"Pontiac city, Michigan",""
"    Estimate","23,124"
"Portage city, Michigan",""
"    Estimate","33,565"
"Port Huron city, Michigan",""
"    Estimate","30,122"
"Rochester Hills city, Michigan",""
"    Estimate","50,859"
"Romulus city, Michigan",""
"    Estimate","32,017"
"Roseville city, Michigan",""
"    Estimate","33,237"
"Royal Oak city, Michigan",""
"    Estimate","48,236"
"Saginaw city, Michigan",""
"    Estimate","20,946"
"St. Clair Shores city, Michigan",""
"    Estimate","41,750"
"Southfield city, Michigan",""
"    Estimate","37,346"
"Southgate city, Michigan",""
"    Estimate","36,912"
"Sterling Heights city, Michigan",""
"    Estimate","32,378"
"Taylor city, Michigan",""
"    Estimate","31,970"
"Troy city, Michigan",""
"    Estimate","53,336"
"Walker city, Michigan",""
"    Estimate","36,195"
"Warren city, Michigan",""
"    Estimate","29,977"
"Waverly CDP, Michigan",""
"    Estimate","39,297"
"Westland city, Michigan",""
"    Estimate","35,497"
"Wyandotte city, Michigan",""
"    Estimate","38,702"
"Wyoming city, Michigan",""
"    Estimate","32,158"
"Ypsilanti city, Michigan",""
"    Estimate","19,356"
"Andover city, Minnesota",""
"    Estimate","55,642"
"Apple Valley city, Minnesota",""
"    Estimate","51,076"
"Austin city, Minnesota",""
"    Estimate","31,177"
"Blaine city, Minnesota",""
"    Estimate","43,740"
"Bloomington city, Minnesota",""
"    Estimate","41,115"
"Brooklyn Center city, Minnesota",""
"    Estimate","35,559"
"Brooklyn Park city, Minnesota",""
"    Estimate","40,607"
"Burnsville city, Minnesota",""
"    Estimate","38,506"
"Champlin city, Minnesota",""
"    Estimate","47,024"
"Chanhassen city, Minnesota",""
"    Estimate","63,168"
"Chaska city, Minnesota",""
"    Estimate","51,438"
"Columbia Heights city, Minnesota",""
"    Estimate","40,399"
"Coon Rapids city, Minnesota",""
"    Estimate","37,055"
"Cottage Grove city, Minnesota",""
"    Estimate","51,424"
"Crystal city, Minnesota",""
"    Estimate","38,279"
"Duluth city, Minnesota",""
"    Estimate","27,133"
"Eagan city, Minnesota",""
"    Estimate","42,403"
"Eden Prairie city, Minnesota",""
"    Estimate","63,440"
"Edina city, Minnesota",""
"    Estimate","62,423"
"Elk River city, Minnesota",""
"    Estimate","47,622"
"Faribault city, Minnesota",""
"    Estimate","36,221"
"Farmington city, Minnesota",""
"    Estimate","46,400"
"Forest Lake city, Minnesota",""
"    Estimate","45,920"
"Fridley city, Minnesota",""
"    Estimate","44,647"
"Golden Valley city, Minnesota",""
"    Estimate","62,394"
"Hastings city, Minnesota",""
"    Estimate","42,435"
"Inver Grove Heights city, Minnesota",""
"    Estimate","43,759"
"Lakeville city, Minnesota",""
"    Estimate","50,574"
"Lino Lakes city, Minnesota",""
"    Estimate","53,563"
"Mankato city, Minnesota",""
"    Estimate","22,290"
"Maple Grove city, Minnesota",""
"    Estimate","60,968"
"Maplewood city, Minnesota",""
"    Estimate","41,107"
"Minneapolis city, Minnesota",""
"    Estimate","40,141"
"Minnetonka city, Minnesota",""
"    Estimate","61,166"
"Moorhead city, Minnesota",""
"    Estimate","36,443"
"New Brighton city, Minnesota",""
"    Estimate","41,617"
"New Hope city, Minnesota",""
"    Estimate","37,055"
"Northfield city, Minnesota",""
"    Estimate","11,291"
"Oakdale city, Minnesota",""
"    Estimate","41,262"
"Owatonna city, Minnesota",""
"    Estimate","40,136"
"Plymouth city, Minnesota",""
"    Estimate","66,139"
"Prior Lake city, Minnesota",""
"    Estimate","56,864"
"Ramsey city, Minnesota",""
"    Estimate","42,466"
"Richfield city, Minnesota",""
"    Estimate","41,713"
"Rochester city, Minnesota",""
"    Estimate","42,166"
"Rosemount city, Minnesota",""
"    Estimate","52,166"
"Roseville city, Minnesota",""
"    Estimate","42,998"
"St. Cloud city, Minnesota",""
"    Estimate","31,257"
"St. Louis Park city, Minnesota",""
"    Estimate","55,816"
"St. Michael city, Minnesota",""
"    Estimate","53,681"
"St. Paul city, Minnesota",""
"    Estimate","35,478"
"Savage city, Minnesota",""
"    Estimate","55,689"
"Shakopee city, Minnesota",""
"    Estimate","42,281"
"Shoreview city, Minnesota",""
"    Estimate","60,301"
"South St. Paul city, Minnesota",""
"    Estimate","37,675"
"Stillwater city, Minnesota",""
"    Estimate","51,750"
"West St. Paul city, Minnesota",""
"    Estimate","46,203"
"White Bear Lake city, Minnesota",""
"    Estimate","40,798"
"Willmar city, Minnesota",""
"    Estimate","30,956"
"Winona city, Minnesota",""
"    Estimate","21,934"
"Woodbury city, Minnesota",""
"    Estimate","50,960"
"Biloxi city, Mississippi",""
"    Estimate","29,677"
"Brandon city, Mississippi",""
"    Estimate","44,074"
"Clinton city, Mississippi",""
"    Estimate","35,778"
"Columbus city, Mississippi",""
"    Estimate","35,926"
"Greenville city, Mississippi",""
"    Estimate","22,041"
"Gulfport city, Mississippi",""
"    Estimate","27,143"
"Hattiesburg city, Mississippi",""
"    Estimate","21,764"
"Horn Lake city, Mississippi",""
"    Estimate","31,137"
"Jackson city, Mississippi",""
"    Estimate","25,641"
"Madison city, Mississippi",""
"    Estimate","58,819"
"Meridian city, Mississippi",""
"    Estimate","19,618"
"Olive Branch city, Mississippi",""
"    Estimate","41,178"
"Oxford city, Mississippi",""
"    Estimate","20,497"
"Pascagoula city, Mississippi",""
"    Estimate","30,736"
"Pearl city, Mississippi",""
"    Estimate","26,768"
"Ridgeland city, Mississippi",""
"    Estimate","37,253"
"Southaven city, Mississippi",""
"    Estimate","40,564"
"Starkville city, Mississippi",""
"    Estimate","21,917"
"Tupelo city, Mississippi",""
"    Estimate","28,184"
"Vicksburg city, Mississippi",""
"    Estimate","20,740"
"Affton CDP, Missouri",""
"    Estimate","35,793"
"Arnold city, Missouri",""
"    Estimate","37,317"
"Ballwin city, Missouri",""
"    Estimate","47,755"
"Belton city, Missouri",""
"    Estimate","35,173"
"Blue Springs city, Missouri",""
"    Estimate","40,749"
"Cape Girardeau city, Missouri",""
"    Estimate","25,987"
"Chesterfield city, Missouri",""
"    Estimate","58,946"
"Columbia city, Missouri",""
"    Estimate","29,338"
"Florissant city, Missouri",""
"    Estimate","35,625"
"Gladstone city, Missouri",""
"    Estimate","27,498"
"Grandview city, Missouri",""
"    Estimate","30,516"
"Hazelwood city, Missouri",""
"    Estimate","32,726"
"Independence city, Missouri",""
"    Estimate","33,771"
"Jefferson City city, Missouri",""
"    Estimate","31,082"
"Joplin city, Missouri",""
"    Estimate","24,736"
"Kansas City city, Missouri",""
"    Estimate","36,445"
"Kirkwood city, Missouri",""
"    Estimate","61,344"
"Lee's Summit city, Missouri",""
"    Estimate","54,169"
"Liberty city, Missouri",""
"    Estimate","35,965"
"Maryland Heights city, Missouri",""
"    Estimate","50,858"
"Mehlville CDP, Missouri",""
"    Estimate","40,511"
"Nixa city, Missouri",""
"    Estimate","34,548"
"Oakville CDP, Missouri",""
"    Estimate","46,312"
"O'Fallon city, Missouri",""
"    Estimate","42,000"
"Old Jamestown CDP, Missouri",""
"    Estimate","39,630"
"Ozark city, Missouri",""
"    Estimate","35,377"
"Raytown city, Missouri",""
"    Estimate","33,500"
"St. Charles city, Missouri",""
"    Estimate","40,581"
"St. Joseph city, Missouri",""
"    Estimate","29,240"
"St. Louis city, Missouri",""
"    Estimate","36,833"
"St. Peters city, Missouri",""
"    Estimate","38,680"
"Sedalia city, Missouri",""
"    Estimate","30,361"
"Springfield city, Missouri",""
"    Estimate","26,619"
"University City city, Missouri",""
"    Estimate","48,578"
"Warrensburg city, Missouri",""
"    Estimate","23,639"
"Webster Groves city, Missouri",""
"    Estimate","60,607"
"Wentzville city, Missouri",""
"    Estimate","52,626"
"Wildwood city, Missouri",""
"    Estimate","70,625"
"Billings city, Montana",""
"    Estimate","35,238"
"Bozeman city, Montana",""
"    Estimate","22,713"
"Butte-Silver Bow (balance), Montana",""
"    Estimate","31,526"
"Great Falls city, Montana",""
"    Estimate","27,266"
"Helena city, Montana",""
"    Estimate","35,218"
"Kalispell city, Montana",""
"    Estimate","29,300"
"Missoula city, Montana",""
"    Estimate","25,199"
"Bellevue city, Nebraska",""
"    Estimate","38,991"
"Columbus city, Nebraska",""
"    Estimate","32,456"
"Fremont city, Nebraska",""
"    Estimate","30,921"
"Grand Island city, Nebraska",""
"    Estimate","33,586"
"Hastings city, Nebraska",""
"    Estimate","31,673"
"Kearney city, Nebraska",""
"    Estimate","31,450"
"Lincoln city, Nebraska",""
"    Estimate","32,054"
"Norfolk city, Nebraska",""
"    Estimate","33,287"
"North Platte city, Nebraska",""
"    Estimate","26,210"
"Omaha city, Nebraska",""
"    Estimate","36,920"
"Papillion city, Nebraska",""
"    Estimate","34,663"
"Carson City, Nevada",""
"    Estimate","32,183"
"Elko city, Nevada",""
"    Estimate","47,228"
"Enterprise CDP, Nevada",""
"    Estimate","41,773"
"Fernley city, Nevada",""
"    Estimate","39,734"
"Henderson city, Nevada",""
"    Estimate","42,798"
"Las Vegas city, Nevada",""
"    Estimate","35,126"
"Mesquite city, Nevada",""
"    Estimate","29,025"
"North Las Vegas city, Nevada",""
"    Estimate","31,678"
"Pahrump CDP, Nevada",""
"    Estimate","26,949"
"Paradise CDP, Nevada",""
"    Estimate","31,736"
"Reno city, Nevada",""
"    Estimate","35,866"
"Sparks city, Nevada",""
"    Estimate","36,713"
"Spring Valley CDP, Nevada",""
"    Estimate","32,189"
"Summerlin South CDP, Nevada",""
"    Estimate","60,922"
"Sunrise Manor CDP, Nevada",""
"    Estimate","28,188"
"Sun Valley CDP, Nevada",""
"    Estimate","31,313"
"Whitney CDP, Nevada",""
"    Estimate","31,290"
"Winchester CDP, Nevada",""
"    Estimate","27,327"
"Concord city, New Hampshire",""
"    Estimate","42,204"
"Derry CDP, New Hampshire",""
"    Estimate","42,234"
"Dover city, New Hampshire",""
"    Estimate","49,054"
"Keene city, New Hampshire",""
"    Estimate","30,741"
"Manchester city, New Hampshire",""
"    Estimate","37,043"
"Nashua city, New Hampshire",""
"    Estimate","41,236"
"Portsmouth city, New Hampshire",""
"    Estimate","54,145"
"Rochester city, New Hampshire",""
"    Estimate","29,468"
"Atlantic City city, New Jersey",""
"    Estimate","24,881"
"Bayonne city, New Jersey",""
"    Estimate","46,061"
"Bergenfield borough, New Jersey",""
"    Estimate","47,108"
"Bridgeton city, New Jersey",""
"    Estimate","19,383"
"Camden city, New Jersey",""
"    Estimate","23,331"
"Carteret borough, New Jersey",""
"    Estimate","31,475"
"Cliffside Park borough, New Jersey",""
"    Estimate","44,052"
"Clifton city, New Jersey",""
"    Estimate","40,844"
"East Orange city, New Jersey",""
"    Estimate","37,336"
"Elizabeth city, New Jersey",""
"    Estimate","31,651"
"Elmwood Park borough, New Jersey",""
"    Estimate","46,003"
"Englewood city, New Jersey",""
"    Estimate","56,378"
"Fair Lawn borough, New Jersey",""
"    Estimate","80,405"
"Fort Lee borough, New Jersey",""
"    Estimate","56,736"
"Garfield city, New Jersey",""
"    Estimate","34,851"
"Glassboro borough, New Jersey",""
"    Estimate","21,973"
"Hackensack city, New Jersey",""
"    Estimate","47,266"
"Hawthorne borough, New Jersey",""
"    Estimate","51,309"
"Hoboken city, New Jersey",""
"    Estimate","90,897"
"Jersey City city, New Jersey",""
"    Estimate","53,124"
"Kearny town, New Jersey",""
"    Estimate","44,099"
"Lakewood CDP, New Jersey",""
"    Estimate","27,400"
"Linden city, New Jersey",""
"    Estimate","38,381"
"Lodi borough, New Jersey",""
"    Estimate","42,232"
"Long Branch city, New Jersey",""
"    Estimate","35,106"
"Millville city, New Jersey",""
"    Estimate","33,653"
"Morristown town, New Jersey",""
"    Estimate","46,181"
"Newark city, New Jersey",""
"    Estimate","27,433"
"New Brunswick city, New Jersey",""
"    Estimate","21,801"
"North Plainfield borough, New Jersey",""
"    Estimate","36,572"
"Old Bridge CDP, New Jersey",""
"    Estimate","50,647"
"Palisades Park borough, New Jersey",""
"    Estimate","40,802"
"Paramus borough, New Jersey",""
"    Estimate","61,158"
"Passaic city, New Jersey",""
"    Estimate","27,500"
"Paterson city, New Jersey",""
"    Estimate","29,269"
"Perth Amboy city, New Jersey",""
"    Estimate","31,646"
"Plainfield city, New Jersey",""
"    Estimate","27,927"
"Point Pleasant borough, New Jersey",""
"    Estimate","50,265"
"Princeton, New Jersey",""
"    Estimate","37,380"
"Rahway city, New Jersey",""
"    Estimate","49,722"
"Ridgewood village, New Jersey",""
"    Estimate","102,003"
"Roselle borough, New Jersey",""
"    Estimate","37,980"
"Rutherford borough, New Jersey",""
"    Estimate","61,443"
"Sayreville borough, New Jersey",""
"    Estimate","51,139"
"Secaucus town, New Jersey",""
"    Estimate","66,153"
"Somerset CDP, New Jersey",""
"    Estimate","62,440"
"South Plainfield borough, New Jersey",""
"    Estimate","46,465"
"Summit city, New Jersey",""
"    Estimate","65,671"
"Toms River CDP, New Jersey",""
"    Estimate","40,497"
"Trenton city, New Jersey",""
"    Estimate","29,165"
"Union City city, New Jersey",""
"    Estimate","30,632"
"Vineland city, New Jersey",""
"    Estimate","31,111"
"Westfield town, New Jersey",""
"    Estimate","82,365"
"West New York town, New Jersey",""
"    Estimate","31,164"
"Woodbridge CDP, New Jersey",""
"    Estimate","42,280"
"Alamogordo city, New Mexico",""
"    Estimate","26,364"
"Albuquerque city, New Mexico",""
"    Estimate","32,389"
"Carlsbad city, New Mexico",""
"    Estimate","35,922"
"Clovis city, New Mexico",""
"    Estimate","25,732"
"Farmington city, New Mexico",""
"    Estimate","30,427"
"Gallup city, New Mexico",""
"    Estimate","31,734"
"Hobbs city, New Mexico",""
"    Estimate","41,987"
"Las Cruces city, New Mexico",""
"    Estimate","23,638"
"Rio Rancho city, New Mexico",""
"    Estimate","35,096"
"Roswell city, New Mexico",""
"    Estimate","26,215"
"Santa Fe city, New Mexico",""
"    Estimate","30,063"
"South Valley CDP, New Mexico",""
"    Estimate","24,433"
"Albany city, New York",""
"    Estimate","26,937"
"Auburn city, New York",""
"    Estimate","34,014"
"Baldwin CDP, New York",""
"    Estimate","50,619"
"Bay Shore CDP, New York",""
"    Estimate","44,389"
"Binghamton city, New York",""
"    Estimate","26,217"
"Brentwood CDP, New York",""
"    Estimate","35,946"
"Brighton CDP, New York",""
"    Estimate","46,133"
"Buffalo city, New York",""
"    Estimate","29,954"
"Centereach CDP, New York",""
"    Estimate","46,968"
"Central Islip CDP, New York",""
"    Estimate","36,554"
"Cheektowaga CDP, New York",""
"    Estimate","36,708"
"Cohoes city, New York",""
"    Estimate","42,986"
"Commack CDP, New York",""
"    Estimate","60,345"
"Copiague CDP, New York",""
"    Estimate","33,820"
"Coram CDP, New York",""
"    Estimate","50,291"
"Cortland city, New York",""
"    Estimate","21,172"
"Deer Park CDP, New York",""
"    Estimate","50,749"
"Dix Hills CDP, New York",""
"    Estimate","80,991"
"Eastchester CDP, New York",""
"    Estimate","70,730"
"East Meadow CDP, New York",""
"    Estimate","50,456"
"East Northport CDP, New York",""
"    Estimate","46,121"
"Elmira city, New York",""
"    Estimate","25,248"
"Elmont CDP, New York",""
"    Estimate","42,499"
"Franklin Square CDP, New York",""
"    Estimate","50,003"
"Freeport village, New York",""
"    Estimate","40,545"
"Garden City village, New York",""
"    Estimate","62,259"
"Glen Cove city, New York",""
"    Estimate","46,015"
"Harrison village, New York",""
"    Estimate","67,292"
"Hauppauge CDP, New York",""
"    Estimate","61,846"
"Hempstead village, New York",""
"    Estimate","31,491"
"Hicksville CDP, New York",""
"    Estimate","51,761"
"Holbrook CDP, New York",""
"    Estimate","51,209"
"Holtsville CDP, New York",""
"    Estimate","46,963"
"Huntington Station CDP, New York",""
"    Estimate","37,997"
"Irondequoit CDP, New York",""
"    Estimate","41,236"
"Ithaca city, New York",""
"    Estimate","18,045"
