"Label (Grouping)","HOUSEHOLDS BY TYPE!!Total households!!Average household size","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old","FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old","EDUCATIONAL ATTAINMENT!!Population 25 years and over","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","COMPUTERS AND INTERNET USE!!Total households!!With a computer","COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription"
"    Percent","(X)","1,231","(X)","(X)","(X)","(X)","58,462","2.1%","1.9%","12.9%","20.4%","5.9%","31.8%","25.0%","97.5%","95.3%"
"Huntsville city, Alabama","","","","","","","","","","","","","","","",""
"    Estimate","2.17","2,303","32","12","71","23","137,274","3,319","8,541","22,840","29,023","12,206","36,462","24,883","83,729","79,143"
"    Percent","(X)","2,303","(X)","(X)","(X)","(X)","137,274","2.4%","6.2%","16.6%","21.1%","8.9%","26.6%","18.1%","94.2%","89.0%"
"Mobile city, Alabama","","","","","","","","","","","","","","","",""
"    Estimate","2.37","2,303","47","8","86","17","127,563","3,182","8,607","39,850","25,270","10,355","25,019","15,280","69,550","59,615"
"    Percent","(X)","2,303","(X)","(X)","(X)","(X)","127,563","2.5%","6.7%","31.2%","19.8%","8.1%","19.6%","12.0%","89.6%","76.8%"
"Montgomery city, Alabama","","","","","","","","","","","","","","","",""
"    Estimate","2.45","2,094","39","52","74","7","130,848","4,593","9,721","31,847","28,328","11,053","26,054","19,252","70,877","65,755"
"    Percent","(X)","2,094","(X)","(X)","(X)","(X)","130,848","3.5%","7.4%","24.3%","21.6%","8.4%","19.9%","14.7%","90.6%","84.1%"
"Tuscaloosa city, Alabama","","","","","","","","","","","","","","","",""
"    Estimate","2.50","N","N","N","N","N","60,968","1,636","5,147","17,068","12,000","2,998","12,677","9,442","32,602","30,758"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","60,968","2.7%","8.4%","28.0%","19.7%","4.9%","20.8%","15.5%","88.6%","83.6%"
"Anchorage municipality, Alaska","","","","","","","","","","","","","","","",""
"    Estimate","2.67","4,356","26","0","82","56","190,461","3,239","6,158","48,046","46,104","17,702","42,352","26,860","102,657","97,601"
"    Percent","(X)","4,356","(X)","(X)","(X)","(X)","190,461","1.7%","3.2%","25.2%","24.2%","9.3%","22.2%","14.1%","97.6%","92.8%"
"Avondale city, Arizona","","","","","","","","","","","","","","","",""
"    Estimate","3.46","1,145","24","0","81","33","52,292","3,545","5,113","15,131","13,034","4,723","7,948","2,798","24,317","22,672"
"    Percent","(X)","1,145","(X)","(X)","(X)","(X)","52,292","6.8%","9.8%","28.9%","24.9%","9.0%","15.2%","5.4%","96.0%","89.5%"
"Buckeye city, Arizona","","","","","","","","","","","","","","","",""
"    Estimate","3.40","1,724","38","31","167","47","51,939","1,358","2,555","16,861","13,773","5,273","8,492","3,627","21,205","20,624"
"    Percent","(X)","1,724","(X)","(X)","(X)","(X)","51,939","2.6%","4.9%","32.5%","26.5%","10.2%","16.3%","7.0%","97.8%","95.1%"
"Casas Adobes CDP, Arizona","","","","","","","","","","","","","","","",""
"    Estimate","2.38","N","N","N","N","N","50,074","522","1,823","11,981","13,090","5,212","10,529","6,917","27,951","27,218"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","50,074","1.0%","3.6%","23.9%","26.1%","10.4%","21.0%","13.8%","95.3%","92.8%"
"Chandler city, Arizona","","","","","","","","","","","","","","","",""
"    Estimate","2.77","3,010","28","0","90","20","176,377","6,051","7,400","30,972","35,770","16,118","51,654","28,412","92,449","90,270"
"    Percent","(X)","3,010","(X)","(X)","(X)","(X)","176,377","3.4%","4.2%","17.6%","20.3%","9.1%","29.3%","16.1%","98.3%","96.0%"
"Flagstaff city, Arizona","","","","","","","","","","","","","","","",""
"    Estimate","2.38","1,117","8","0","65","70","38,488","197","975","5,893","8,525","3,158","10,258","9,482","24,733","22,323"
"    Percent","(X)","1,117","(X)","(X)","(X)","(X)","38,488","0.5%","2.5%","15.3%","22.1%","8.2%","26.7%","24.6%","96.6%","87.2%"
"Gilbert town, Arizona","","","","","","","","","","","","","","","",""
"    Estimate","3.12","3,081","13","0","102","28","156,439","1,915","2,915","25,202","36,743","16,386","48,158","25,120","80,222","78,891"
"    Percent","(X)","3,081","(X)","(X)","(X)","(X)","156,439","1.2%","1.9%","16.1%","23.5%","10.5%","30.8%","16.1%","98.8%","97.1%"
"Glendale city, Arizona","","","","","","","","","","","","","","","",""
"    Estimate","3.06","3,617","51","0","87","57","164,206","14,233","15,700","47,206","39,309","14,097","22,027","11,634","75,840","65,987"
"    Percent","(X)","3,617","(X)","(X)","(X)","(X)","164,206","8.7%","9.6%","28.7%","23.9%","8.6%","13.4%","7.1%","93.6%","81.4%"
"Goodyear city, Arizona","","","","","","","","","","","","","","","",""
"    Estimate","3.14","1,803","77","0","141","65","56,708","2,913","3,688","11,815","13,794","7,839","9,055","7,604","25,688","25,048"
"    Percent","(X)","1,803","(X)","(X)","(X)","(X)","56,708","5.1%","6.5%","20.8%","24.3%","13.8%","16.0%","13.4%","98.2%","95.8%"
"Mesa city, Arizona","","","","","","","","","","","","","","","",""
"    Estimate","2.75","7,486","33","16","104","27","344,567","12,644","20,255","80,510","94,865","35,778","67,760","32,755","177,870","169,499"
"    Percent","(X)","7,486","(X)","(X)","(X)","(X)","344,567","3.7%","5.9%","23.4%","27.5%","10.4%","19.7%","9.5%","95.1%","90.6%"
"Peoria city, Arizona","","","","","","","","","","","","","","","",""
"    Estimate","2.64","1,860","13","0","78","30","127,276","2,918","6,043","26,973","33,484","14,560","27,488","15,810","63,946","61,048"
"    Percent","(X)","1,860","(X)","(X)","(X)","(X)","127,276","2.3%","4.7%","21.2%","26.3%","11.4%","21.6%","12.4%","96.4%","92.1%"
"Phoenix city, Arizona","","","","","","","","","","","","","","","",""
"    Estimate","2.83","25,048","43","40","97","23","1,099,238","93,476","102,302","265,129","241,858","82,574","199,100","114,799","563,522","498,255"
"    Percent","(X)","25,048","(X)","(X)","(X)","(X)","1,099,238","8.5%","9.3%","24.1%","22.0%","7.5%","18.1%","10.4%","96.0%","84.9%"
"San Tan Valley CDP, Arizona","","","","","","","","","","","","","","","",""
"    Estimate","3.31","1,072","14","0","115","0","62,362","1,895","2,671","19,670","17,754","5,748","11,034","3,590","29,989","29,132"
"    Percent","(X)","1,072","(X)","(X)","(X)","(X)","62,362","3.0%","4.3%","31.5%","28.5%","9.2%","17.7%","5.8%","98.7%","95.9%"
"Scottsdale city, Arizona","","","","","","","","","","","","","","","",""
"    Estimate","2.07","1,970","24","48","55","19","204,968","2,002","4,054","25,120","34,227","15,368","72,190","52,007","119,114","115,670"
"    Percent","(X)","1,970","(X)","(X)","(X)","(X)","204,968","1.0%","2.0%","12.3%","16.7%","7.5%","35.2%","25.4%","96.2%","93.4%"
"Surprise city, Arizona","","","","","","","","","","","","","","","",""
"    Estimate","2.88","903","6","0","62","17","93,866","1,081","4,170","24,046","24,908","9,369","19,801","10,491","47,833","46,933"
"    Percent","(X)","903","(X)","(X)","(X)","(X)","93,866","1.2%","4.4%","25.6%","26.5%","10.0%","21.1%","11.2%","97.4%","95.5%"
"Tempe city, Arizona","","","","","","","","","","","","","","","",""
"    Estimate","2.40","1,611","8","0","36","20","125,911","1,931","3,564","14,015","33,116","10,001","37,809","25,475","75,713","71,966"
"    Percent","(X)","1,611","(X)","(X)","(X)","(X)","125,911","1.5%","2.8%","11.1%","26.3%","7.9%","30.0%","20.2%","98.8%","93.9%"
"Tucson city, Arizona","","","","","","","","","","","","","","","",""
"    Estimate","2.39","6,697","30","17","72","28","355,457","20,458","34,823","82,862","93,379","26,811","59,204","37,920","204,988","190,503"
"    Percent","(X)","6,697","(X)","(X)","(X)","(X)","355,457","5.8%","9.8%","23.3%","26.3%","7.5%","16.7%","10.7%","94.0%","87.4%"
"Yuma city, Arizona","","","","","","","","","","","","","","","",""
"    Estimate","2.71","1,215","34","0","104","9","58,860","5,934","4,639","15,377","16,092","7,074","6,301","3,443","32,913","29,509"
"    Percent","(X)","1,215","(X)","(X)","(X)","(X)","58,860","10.1%","7.9%","26.1%","27.3%","12.0%","10.7%","5.8%","94.1%","84.4%"
"Conway city, Arkansas","","","","","","","","","","","","","","","",""
"    Estimate","2.38","1,091","30","0","87","30","37,460","685","1,332","9,283","7,913","3,345","10,782","4,120","25,377","24,980"
"    Percent","(X)","1,091","(X)","(X)","(X)","(X)","37,460","1.8%","3.6%","24.8%","21.1%","8.9%","28.8%","11.0%","96.4%","94.9%"
"Fayetteville city, Arkansas","","","","","","","","","","","","","","","",""
"    Estimate","2.19","N","N","N","N","N","49,749","1,284","2,105","10,646","8,135","3,378","13,675","10,526","35,448","31,220"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","49,749","2.6%","4.2%","21.4%","16.4%","6.8%","27.5%","21.2%","96.6%","85.1%"
"Fort Smith city, Arkansas","","","","","","","","","","","","","","","",""
"    Estimate","2.39","N","N","N","N","N","58,414","3,380","6,676","15,866","13,383","4,057","10,036","5,016","31,185","27,278"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","58,414","5.8%","11.4%","27.2%","22.9%","6.9%","17.2%","8.6%","86.1%","75.3%"
"Jonesboro city, Arkansas","","","","","","","","","","","","","","","",""
"    Estimate","2.52","N","N","N","N","N","49,187","2,464","2,754","14,362","11,010","4,061","8,668","5,868","27,688","26,072"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","49,187","5.0%","5.6%","29.2%","22.4%","8.3%","17.6%","11.9%","93.3%","87.8%"
"Little Rock city, Arkansas","","","","","","","","","","","","","","","",""
"    Estimate","2.42","1,993","21","30","75","9","134,842","3,321","7,366","29,623","29,644","7,266","31,573","26,049","74,065","68,888"
"    Percent","(X)","1,993","(X)","(X)","(X)","(X)","134,842","2.5%","5.5%","22.0%","22.0%","5.4%","23.4%","19.3%","92.5%","86.0%"
"North Little Rock city, Arkansas","","","","","","","","","","","","","","","",""
"    Estimate","2.33","885","0","0","95","20","44,059","1,629","2,967","13,233","8,403","5,197","8,762","3,868","25,615","21,951"
"    Percent","(X)","885","(X)","(X)","(X)","(X)","44,059","3.7%","6.7%","30.0%","19.1%","11.8%","19.9%","8.8%","91.8%","78.7%"
"Rogers city, Arkansas","","","","","","","","","","","","","","","",""
"    Estimate","2.80","895","10","0","79","34","43,049","3,964","2,422","13,157","6,119","2,709","10,022","4,656","22,748","21,309"
"    Percent","(X)","895","(X)","(X)","(X)","(X)","43,049","9.2%","5.6%","30.6%","14.2%","6.3%","23.3%","10.8%","93.6%","87.7%"
"Springdale city, Arkansas","","","","","","","","","","","","","","","",""
"    Estimate","3.01","2,082","80","0","179","76","47,353","7,155","6,575","12,183","10,702","2,371","6,049","2,318","24,694","21,752"
"    Percent","(X)","2,082","(X)","(X)","(X)","(X)","47,353","15.1%","13.9%","25.7%","22.6%","5.0%","12.8%","4.9%","93.4%","82.3%"
"Alameda city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.49","1,216","47","0","71","82","56,365","1,682","3,315","7,109","9,065","2,965","19,910","12,319","30,071","28,438"
"    Percent","(X)","1,216","(X)","(X)","(X)","(X)","56,365","3.0%","5.9%","12.6%","16.1%","5.3%","35.3%","21.9%","97.7%","92.4%"
"Alhambra city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.88","1,087","31","0","103","18","62,028","5,503","4,684","14,697","9,426","4,119","14,668","8,931","27,431","26,609"
"    Percent","(X)","1,087","(X)","(X)","(X)","(X)","62,028","8.9%","7.6%","23.7%","15.2%","6.6%","23.6%","14.4%","95.3%","92.5%"
"Anaheim city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.28","4,867","28","35","74","31","236,324","29,256","23,276","56,179","50,771","15,649","39,645","21,548","100,747","96,532"
"    Percent","(X)","4,867","(X)","(X)","(X)","(X)","236,324","12.4%","9.8%","23.8%","21.5%","6.6%","16.8%","9.1%","95.7%","91.7%"
"Antioch city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.07","N","N","N","N","N","77,737","5,207","6,111","22,135","19,723","8,679","10,053","5,829","35,080","34,081"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","77,737","6.7%","7.9%","28.5%","25.4%","11.2%","12.9%","7.5%","97.1%","94.3%"
"Apple Valley town, California","","","","","","","","","","","","","","","",""
"    Estimate","3.06","N","N","N","N","N","47,086","2,170","3,760","14,478","13,054","5,006","4,799","3,819","22,655","21,235"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","47,086","4.6%","8.0%","30.7%","27.7%","10.6%","10.2%","8.1%","95.3%","89.3%"
"Arden-Arcade CDP, California","","","","","","","","","","","","","","","",""
"    Estimate","2.53","N","N","N","N","N","74,294","3,380","4,189","18,446","15,071","7,440","15,893","9,875","40,140","39,421"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","74,294","4.5%","5.6%","24.8%","20.3%","10.0%","21.4%","13.3%","94.9%","93.2%"
"Bakersfield city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.26","7,500","70","14","141","29","232,621","24,274","19,864","58,738","55,740","21,941","34,067","17,997","110,544","103,160"
"    Percent","(X)","7,500","(X)","(X)","(X)","(X)","232,621","10.4%","8.5%","25.3%","24.0%","9.4%","14.6%","7.7%","94.8%","88.5%"
"Baldwin Park city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.87","1,005","13","0","89","30","50,227","10,151","5,925","15,994","9,237","2,203","5,327","1,390","18,039","17,499"
"    Percent","(X)","1,005","(X)","(X)","(X)","(X)","50,227","20.2%","11.8%","31.8%","18.4%","4.4%","10.6%","2.8%","93.2%","90.4%"
"Bellflower city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.24","867","49","0","117","9","52,548","5,870","7,521","11,557","13,167","5,516","6,205","2,712","22,104","19,437"
"    Percent","(X)","867","(X)","(X)","(X)","(X)","52,548","11.2%","14.3%","22.0%","25.1%","10.5%","11.8%","5.2%","94.6%","83.2%"
"Berkeley city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.44","283","0","0","5","18","76,114","1,361","1,388","4,460","8,171","2,474","26,811","31,449","43,286","42,159"
"    Percent","(X)","283","(X)","(X)","(X)","(X)","76,114","1.8%","1.8%","5.9%","10.7%","3.3%","35.2%","41.3%","97.2%","94.6%"
"Buena Park city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.19","N","N","N","N","N","60,671","5,813","3,087","12,811","14,616","4,618","14,385","5,341","24,533","23,994"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","60,671","9.6%","5.1%","21.1%","24.1%","7.6%","23.7%","8.8%","96.7%","94.6%"
"Burbank city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.36","985","0","0","46","32","78,172","2,199","3,128","10,915","17,299","9,112","24,957","10,562","39,781","37,450"
"    Percent","(X)","985","(X)","(X)","(X)","(X)","78,172","2.8%","4.0%","14.0%","22.1%","11.7%","31.9%","13.5%","92.2%","86.8%"
"Camarillo city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.54","N","N","N","N","N","50,531","1,240","1,613","7,143","13,046","4,268","14,384","8,837","26,244","25,711"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","50,531","2.5%","3.2%","14.1%","25.8%","8.4%","28.5%","17.5%","96.2%","94.3%"
"Carlsbad city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.55","601","0","0","47","18","84,026","1,140","1,661","6,911","16,049","6,954","30,192","21,119","44,088","42,652"
"    Percent","(X)","601","(X)","(X)","(X)","(X)","84,026","1.4%","2.0%","8.2%","19.1%","8.3%","35.9%","25.1%","98.0%","94.9%"
"Carmichael CDP, California","","","","","","","","","","","","","","","",""
"    Estimate","2.48","N","N","N","N","N","48,474","2,111","2,230","9,033","11,323","6,559","11,685","5,533","25,694","24,234"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","48,474","4.4%","4.6%","18.6%","23.4%","13.5%","24.1%","11.4%","96.7%","91.2%"
"Carson city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.54","827","18","88","49","6","66,788","6,184","5,635","13,006","16,542","5,499","15,429","4,493","24,500","23,768"
"    Percent","(X)","827","(X)","(X)","(X)","(X)","66,788","9.3%","8.4%","19.5%","24.8%","8.2%","23.1%","6.7%","95.8%","92.9%"
"Chico city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.69","1,527","12","0","52","84","60,740","1,944","3,319","10,041","14,242","6,408","15,861","8,925","35,870","33,898"
"    Percent","(X)","1,527","(X)","(X)","(X)","(X)","60,740","3.2%","5.5%","16.5%","23.4%","10.5%","26.1%","14.7%","96.8%","91.5%"
"Chino city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.35","2,274","41","0","173","28","69,001","5,040","7,421","15,394","16,435","5,998","13,463","5,250","24,788","23,513"
"    Percent","(X)","2,274","(X)","(X)","(X)","(X)","69,001","7.3%","10.8%","22.3%","23.8%","8.7%","19.5%","7.6%","95.0%","90.2%"
"Chino Hills city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.12","890","18","0","53","47","58,807","1,054","1,685","7,332","11,960","5,943","20,858","9,975","26,734","26,396"
"    Percent","(X)","890","(X)","(X)","(X)","(X)","58,807","1.8%","2.9%","12.5%","20.3%","10.1%","35.5%","17.0%","99.5%","98.3%"
"Chula Vista city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.29","2,657","27","0","53","35","183,522","11,349","19,435","37,664","40,510","21,041","38,169","15,354","78,674","77,161"
"    Percent","(X)","2,657","(X)","(X)","(X)","(X)","183,522","6.2%","10.6%","20.5%","22.1%","11.5%","20.8%","8.4%","94.9%","93.1%"
"Citrus Heights city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.39","910","3","0","75","15","65,085","1,217","4,050","16,946","24,122","7,116","7,945","3,689","35,087","32,559"
"    Percent","(X)","910","(X)","(X)","(X)","(X)","65,085","1.9%","6.2%","26.0%","37.1%","10.9%","12.2%","5.7%","96.2%","89.3%"
"Clovis city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.90","1,521","14","0","105","39","73,577","1,283","3,671","12,527","22,843","7,202","16,465","9,586","36,722","35,598"
"    Percent","(X)","1,521","(X)","(X)","(X)","(X)","73,577","1.7%","5.0%","17.0%","31.0%","9.8%","22.4%","13.0%","93.5%","90.7%"
"Compton city, California","","","","","","","","","","","","","","","",""
"    Estimate","4.37","N","N","N","N","N","60,107","14,645","10,242","16,904","10,674","2,550","3,456","1,636","20,526","18,130"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","60,107","24.4%","17.0%","28.1%","17.8%","4.2%","5.7%","2.7%","94.3%","83.3%"
"Concord city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.84","2,361","54","0","122","48","90,544","5,813","4,030","16,882","20,904","9,501","21,906","11,508","44,104","42,935"
"    Percent","(X)","2,361","(X)","(X)","(X)","(X)","90,544","6.4%","4.5%","18.6%","23.1%","10.5%","24.2%","12.7%","97.9%","95.3%"
"Corona city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.54","1,632","13","0","60","28","112,966","6,820","7,783","29,364","26,927","10,634","20,303","11,135","46,221","41,481"
"    Percent","(X)","1,632","(X)","(X)","(X)","(X)","112,966","6.0%","6.9%","26.0%","23.8%","9.4%","18.0%","9.9%","96.7%","86.8%"
"Costa Mesa city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.87","2,585","35","118","105","56","79,196","4,668","6,472","14,451","17,054","6,060","21,638","8,853","37,830","37,156"
"    Percent","(X)","2,585","(X)","(X)","(X)","(X)","79,196","5.9%","8.2%","18.2%","21.5%","7.7%","27.3%","11.2%","97.6%","95.9%"
"Daly City city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.37","675","10","0","26","32","78,656","4,641","4,814","17,866","14,772","7,178","23,885","5,500","30,234","28,275"
"    Percent","(X)","675","(X)","(X)","(X)","(X)","78,656","5.9%","6.1%","22.7%","18.8%","9.1%","30.4%","7.0%","96.6%","90.4%"
"Davis city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.55","N","N","N","N","N","36,186","1,261","773","3,368","5,137","1,623","11,211","12,813","25,825","24,111"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","36,186","3.5%","2.1%","9.3%","14.2%","4.5%","31.0%","35.4%","97.9%","91.4%"
"Downey city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.44","922","24","0","41","36","74,450","7,285","5,010","21,578","15,151","7,618","12,851","4,957","31,122","29,889"
"    Percent","(X)","922","(X)","(X)","(X)","(X)","74,450","9.8%","6.7%","29.0%","20.4%","10.2%","17.3%","6.7%","97.0%","93.2%"
"East Los Angeles CDP, California","","","","","","","","","","","","","","","",""
"    Estimate","3.90","1,854","62","0","80","52","75,195","21,600","13,110","17,412","13,135","3,849","4,682","1,407","27,154","22,911"
"    Percent","(X)","1,854","(X)","(X)","(X)","(X)","75,195","28.7%","17.4%","23.2%","17.5%","5.1%","6.2%","1.9%","88.5%","74.7%"
"El Cajon city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.12","N","N","N","N","N","69,222","6,864","4,119","16,232","19,333","6,408","11,097","5,169","30,975","29,587"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","69,222","9.9%","6.0%","23.4%","27.9%","9.3%","16.0%","7.5%","96.4%","92.1%"
"Elk Grove city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.05","1,300","5","0","58","24","119,270","5,550","5,900","22,699","29,058","12,285","28,602","15,176","55,500","53,719"
"    Percent","(X)","1,300","(X)","(X)","(X)","(X)","119,270","4.7%","4.9%","19.0%","24.4%","10.3%","24.0%","12.7%","97.3%","94.2%"
"El Monte city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.62","913","8","0","32","37","79,675","18,536","10,742","23,500","11,701","4,419","9,223","1,554","28,653","26,288"
"    Percent","(X)","913","(X)","(X)","(X)","(X)","79,675","23.3%","13.5%","29.5%","14.7%","5.5%","11.6%","2.0%","90.9%","83.4%"
"Escondido city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.90","2,156","35","15","83","56","102,358","14,623","6,882","19,914","26,528","6,908","18,321","9,182","48,956","47,138"
"    Percent","(X)","2,156","(X)","(X)","(X)","(X)","102,358","14.3%","6.7%","19.5%","25.9%","6.7%","17.9%","9.0%","95.3%","91.8%"
"Fairfield city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.10","1,870","65","0","123","21","78,520","4,599","2,690","18,253","19,473","8,499","17,970","7,036","36,612","35,440"
"    Percent","(X)","1,870","(X)","(X)","(X)","(X)","78,520","5.9%","3.4%","23.2%","24.8%","10.8%","22.9%","9.0%","98.1%","95.0%"
"Florence-Graham CDP, California","","","","","","","","","","","","","","","",""
"    Estimate","4.68","1,396","62","78","88","63","43,081","14,315","8,928","9,243","5,858","1,397","2,630","710","14,051","12,807"
"    Percent","(X)","1,396","(X)","(X)","(X)","(X)","43,081","33.2%","20.7%","21.5%","13.6%","3.2%","6.1%","1.6%","93.8%","85.5%"
"Folsom city, California","","","","","","","","","","","","","","","",""
"    Estimate","2.79","N","N","N","N","N","57,110","704","1,732","7,597","10,386","6,381","18,349","11,961","26,921","25,686"
"    Percent","(X)","N","(X)","(X)","(X)","(X)","57,110","1.2%","3.0%","13.3%","18.2%","11.2%","32.1%","20.9%","98.7%","94.1%"
"Fontana city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.79","2,562","37","0","84","28","129,706","14,654","15,706","37,151","28,833","7,885","19,244","6,233","54,474","50,664"
"    Percent","(X)","2,562","(X)","(X)","(X)","(X)","129,706","11.3%","12.1%","28.6%","22.2%","6.1%","14.8%","4.8%","96.5%","89.7%"
"Fremont city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.08","2,646","3","0","78","27","172,527","5,175","6,813","30,117","21,508","8,377","55,632","44,905","76,032","73,985"
"    Percent","(X)","2,646","(X)","(X)","(X)","(X)","172,527","3.0%","3.9%","17.5%","12.5%","4.9%","32.2%","26.0%","97.7%","95.0%"
"Fresno city, California","","","","","","","","","","","","","","","",""
"    Estimate","3.02","8,715","41","7","103","40","327,864","36,201","38,000","75,199","73,827","33,284","48,846","22,507","160,219","145,806"
"    Percent","(X)","8,715","(X)","(X)","(X)","(X)","327,864","11.0%","11.6%","22.9%","22.5%","10.2%","14.9%","6.9%","92.7%","84.4%"
"Fullerton city, California","","","","","","","","","","","","","","","",""
