"Label (Grouping)","Total:","Total:!!9th to 12th grade, no diploma","Total:!!High school graduate (includes equivalency)","Total:!!Bachelor's degree","Total:!!Graduate or professional degree"
"    Estimate","19,865","1,039","5,714","3,289","2,198"
"Ann Arbor city, Michigan","","","","",""
"    Estimate","66,431","1,094","4,647","19,812","30,745"
"Auburn Hills city, Michigan","","","","",""
"    Estimate","17,051","651","4,007","4,247","2,995"
"Battle Creek city, Michigan","","","","",""
"    Estimate","34,584","2,765","12,839","4,381","2,632"
"Bay City city, Michigan","","","","",""
"    Estimate","21,324","1,503","7,638","2,548","1,038"
"Birmingham city, Michigan","","","","",""
"    Estimate","15,063","37","1,053","6,278","5,786"
"Burton city, Michigan","","","","",""
"    Estimate","19,424","2,732","6,613","1,946","759"
"Dearborn city, Michigan","","","","",""
"    Estimate","55,039","4,063","12,707","9,350","7,339"
"Dearborn Heights city, Michigan","","","","",""
"    Estimate","36,831","3,081","12,091","5,678","2,325"
"Detroit city, Michigan","","","","",""
"    Estimate","441,647","52,626","154,232","42,762","30,825"
"East Lansing city, Michigan","","","","",""
"    Estimate","14,694","25","713","5,605","5,626"
"Eastpointe city, Michigan","","","","",""
"    Estimate","23,808","2,630","10,146","2,045","1,596"
"Farmington Hills city, Michigan","","","","",""
"    Estimate","58,335","1,212","6,840","18,262","17,934"
"Ferndale city, Michigan","","","","",""
"    Estimate","15,717","596","2,844","5,000","3,351"
"Flint city, Michigan","","","","",""
"    Estimate","62,742","7,061","22,475","5,061","3,396"
"Forest Hills CDP, Michigan","","","","",""
"    Estimate","18,346","118","793","7,663","6,450"
"Garden City city, Michigan","","","","",""
"    Estimate","18,219","1,609","6,692","1,545","717"
"Grand Rapids city, Michigan","","","","",""
"    Estimate","131,079","7,883","29,507","32,973","14,782"
"Hamtramck city, Michigan","","","","",""
"    Estimate","13,796","1,634","3,702","1,928","688"
"Holland city, Michigan","","","","",""
"    Estimate","21,443","1,980","5,104","4,607","3,047"
"Holt CDP, Michigan","","","","",""
"    Estimate","17,164","1,087","4,231","3,856","2,396"
"Inkster city, Michigan","","","","",""
"    Estimate","15,600","2,456","5,727","733","429"
"Jackson city, Michigan","","","","",""
"    Estimate","21,488","2,521","7,232","2,411","1,213"
"Kalamazoo city, Michigan","","","","",""
"    Estimate","42,472","2,844","8,968","8,306","4,936"
"Kentwood city, Michigan","","","","",""
"    Estimate","34,142","2,465","8,563","7,214","2,660"
"Lansing city, Michigan","","","","",""
"    Estimate","78,088","3,566","19,725","14,738","7,527"
"Lincoln Park city, Michigan","","","","",""
"    Estimate","24,822","3,741","8,899","1,906","893"
"Livonia city, Michigan","","","","",""
"    Estimate","68,855","2,190","15,096","18,028","9,236"
"Madison Heights city, Michigan","","","","",""
"    Estimate","21,989","1,202","7,012","3,843","1,707"
"Marquette city, Michigan","","","","",""
"    Estimate","12,398","467","3,102","3,775","1,915"
"Midland city, Michigan","","","","",""
"    Estimate","28,729","907","6,946","7,760","5,112"
"Monroe city, Michigan","","","","",""
"    Estimate","13,485","899","4,153","2,091","1,170"
"Mount Pleasant city, Michigan","","","","",""
"    Estimate","11,472","684","1,709","2,373","2,996"
"Muskegon city, Michigan","","","","",""
"    Estimate","24,225","1,771","8,661","2,501","1,377"
"Norton Shores city, Michigan","","","","",""
"    Estimate","16,821","540","3,455","4,373","1,693"
"Novi city, Michigan","","","","",""
"    Estimate","40,654","743","4,373","12,790","10,664"
"Oak Park city, Michigan","","","","",""
"    Estimate","19,651","1,047","3,520","5,227","2,866"
"Okemos CDP, Michigan","","","","",""
"    Estimate","15,852","130","990","5,187","7,036"
"Pontiac city, Michigan","","","","",""
"    Estimate","36,085","4,058","13,555","3,834","1,895"
"Portage city, Michigan","","","","",""
"    Estimate","30,718","719","4,990","8,373","6,353"
"Port Huron city, Michigan","","","","",""
"    Estimate","18,664","1,558","6,237","2,407","1,320"
"Rochester Hills city, Michigan","","","","",""
"    Estimate","52,452","1,403","8,861","17,152","12,696"
"Romulus city, Michigan","","","","",""
"    Estimate","16,648","1,442","5,765","2,556","545"
"Roseville city, Michigan","","","","",""
"    Estimate","34,141","2,508","12,139","3,480","1,184"
"Royal Oak city, Michigan","","","","",""
"    Estimate","46,046","1,235","7,916","16,572","10,174"
"Saginaw city, Michigan","","","","",""
"    Estimate","31,707","4,371","11,201","2,152","1,184"
"St. Clair Shores city, Michigan","","","","",""
"    Estimate","46,266","1,809","14,364","8,322","4,550"
"Southfield city, Michigan","","","","",""
"    Estimate","54,846","1,694","13,628","11,424","9,352"
"Southgate city, Michigan","","","","",""
"    Estimate","21,939","1,289","9,895","2,329","1,396"
"Sterling Heights city, Michigan","","","","",""
"    Estimate","99,370","5,517","32,045","17,908","9,903"
"Taylor city, Michigan","","","","",""
"    Estimate","42,460","4,234","18,604","3,284","781"
"Troy city, Michigan","","","","",""
"    Estimate","60,212","775","6,873","18,986","19,743"
"Walker city, Michigan","","","","",""
"    Estimate","16,828","419","4,460","3,033","1,604"
"Warren city, Michigan","","","","",""
"    Estimate","93,772","7,358","31,264","12,357","6,094"
"Waverly CDP, Michigan","","","","",""
"    Estimate","20,506","269","4,471","4,043","3,466"
"Westland city, Michigan","","","","",""
"    Estimate","58,827","4,826","20,263","7,683","5,133"
"Wyandotte city, Michigan","","","","",""
"    Estimate","18,503","1,246","6,412","2,573","1,360"
"Wyoming city, Michigan","","","","",""
"    Estimate","49,601","3,522","14,222","8,652","3,468"
"Ypsilanti city, Michigan","","","","",""
"    Estimate","11,057","609","1,492","2,464","2,302"
"Andover city, Minnesota","","","","",""
"    Estimate","23,287","888","3,040","7,234","2,205"
"Apple Valley city, Minnesota","","","","",""
"    Estimate","37,289","145","6,391","12,594","5,335"
"Austin city, Minnesota","","","","",""
"    Estimate","16,331","1,153","6,003","2,667","1,027"
"Blaine city, Minnesota","","","","",""
"    Estimate","42,420","1,448","11,492","11,187","4,189"
"Bloomington city, Minnesota","","","","",""
"    Estimate","62,821","2,172","11,205","18,687","7,757"
"Brooklyn Center city, Minnesota","","","","",""
"    Estimate","21,578","1,226","7,770","3,415","1,364"
"Brooklyn Park city, Minnesota","","","","",""
"    Estimate","50,138","2,010","13,481","10,650","3,517"
"Burnsville city, Minnesota","","","","",""
"    Estimate","42,044","1,812","8,557","11,153","5,154"
"Champlin city, Minnesota","","","","",""
"    Estimate","18,290","303","3,217","5,313","2,556"
"Chanhassen city, Minnesota","","","","",""
"    Estimate","16,755","417","1,141","7,285","4,488"
"Chaska city, Minnesota","","","","",""
"    Estimate","18,068","581","2,710","6,560","2,711"
"Columbia Heights city, Minnesota","","","","",""
"    Estimate","16,081","1,322","5,236","4,176","690"
"Coon Rapids city, Minnesota","","","","",""
"    Estimate","45,077","1,923","16,336","8,277","2,567"
"Cottage Grove city, Minnesota","","","","",""
"    Estimate","24,933","439","5,090","5,736","3,272"
"Crystal city, Minnesota","","","","",""
"    Estimate","17,314","703","4,348","4,545","1,080"
"Duluth city, Minnesota","","","","",""
"    Estimate","54,361","1,873","11,950","12,378","8,276"
"Eagan city, Minnesota","","","","",""
"    Estimate","43,162","775","7,494","12,595","8,190"
"Eden Prairie city, Minnesota","","","","",""
"    Estimate","43,354","368","5,183","17,236","9,517"
"Edina city, Minnesota","","","","",""
"    Estimate","36,354","287","3,419","13,896","11,583"
"Elk River city, Minnesota","","","","",""
"    Estimate","16,745","450","4,378","3,392","1,326"
"Faribault city, Minnesota","","","","",""
"    Estimate","14,515","1,310","5,737","1,366","891"
"Farmington city, Minnesota","","","","",""
"    Estimate","12,087","657","2,609","3,234","949"
"Forest Lake city, Minnesota","","","","",""
"    Estimate","14,471","715","3,435","4,284","1,325"
"Fridley city, Minnesota","","","","",""
"    Estimate","20,060","767","4,467","5,155","1,347"
"Golden Valley city, Minnesota","","","","",""
"    Estimate","15,777","190","2,002","5,847","4,102"
"Hastings city, Minnesota","","","","",""
"    Estimate","17,319","550","6,717","2,574","1,408"
"Inver Grove Heights city, Minnesota","","","","",""
"    Estimate","26,275","848","6,107","7,147","3,476"
"Lakeville city, Minnesota","","","","",""
"    Estimate","43,020","329","6,243","15,705","6,361"
"Lino Lakes city, Minnesota","","","","",""
"    Estimate","14,515","163","3,434","5,018","1,966"
"Mankato city, Minnesota","","","","",""
"    Estimate","22,136","764","4,633","6,327","2,877"
"Maple Grove city, Minnesota","","","","",""
"    Estimate","50,710","550","7,595","17,412","10,382"
"Maplewood city, Minnesota","","","","",""
"    Estimate","30,300","1,748","8,457","6,690","3,505"
"Minneapolis city, Minnesota","","","","",""
"    Estimate","288,610","11,578","42,217","90,937","59,622"
"Minnetonka city, Minnesota","","","","",""
"    Estimate","40,026","581","4,638","15,292","9,028"
"Moorhead city, Minnesota","","","","",""
"    Estimate","25,373","695","4,554","7,392","3,587"
"New Brighton city, Minnesota","","","","",""
"    Estimate","14,583","401","2,972","4,193","2,841"
"New Hope city, Minnesota","","","","",""
"    Estimate","16,053","685","3,689","4,288","1,230"
"Northfield city, Minnesota","","","","",""
"    Estimate","10,689","317","1,678","2,778","2,980"
"Oakdale city, Minnesota","","","","",""
"    Estimate","20,420","924","7,649","4,260","1,593"
"Owatonna city, Minnesota","","","","",""
"    Estimate","16,656","427","4,659","4,066","2,131"
"Plymouth city, Minnesota","","","","",""
"    Estimate","55,238","353","5,771","20,910","13,354"
"Prior Lake city, Minnesota","","","","",""
"    Estimate","18,074","101","2,329","6,258","2,986"
"Ramsey city, Minnesota","","","","",""
"    Estimate","18,040","221","4,912","3,512","1,955"
"Richfield city, Minnesota","","","","",""
"    Estimate","25,770","993","4,906","7,764","3,417"
"Rochester city, Minnesota","","","","",""
"    Estimate","81,451","1,319","15,737","20,166","20,491"
"Rosemount city, Minnesota","","","","",""
"    Estimate","15,677","192","3,160","4,740","2,827"
"Roseville city, Minnesota","","","","",""
"    Estimate","28,014","841","5,895","9,197","4,537"
"St. Cloud city, Minnesota","","","","",""
"    Estimate","42,752","3,065","11,060","9,747","4,227"
"St. Louis Park city, Minnesota","","","","",""
"    Estimate","37,018","486","5,435","14,149","7,602"
"St. Michael city, Minnesota","","","","",""
"    Estimate","13,570","169","3,557","4,403","1,706"
"St. Paul city, Minnesota","","","","",""
"    Estimate","198,766","9,507","42,368","51,731","34,974"
"Savage city, Minnesota","","","","",""
"    Estimate","21,455","338","2,541","8,439","3,711"
"Shakopee city, Minnesota","","","","",""
"    Estimate","26,963","1,673","7,006","6,030","3,011"
"Shoreview city, Minnesota","","","","",""
"    Estimate","20,048","315","3,223","7,505","3,558"
"South St. Paul city, Minnesota","","","","",""
"    Estimate","15,208","426","6,101","2,868","1,221"
"Stillwater city, Minnesota","","","","",""
"    Estimate","13,919","310","2,633","3,742","3,145"
"West St. Paul city, Minnesota","","","","",""
"    Estimate","14,808","1,006","3,298","3,693","2,073"
"White Bear Lake city, Minnesota","","","","",""
"    Estimate","17,102","584","3,963","4,256","1,582"
"Willmar city, Minnesota","","","","",""
"    Estimate","12,059","1,118","3,543","1,360","896"
"Winona city, Minnesota","","","","",""
"    Estimate","15,729","883","3,872","3,232","2,014"
"Woodbury city, Minnesota","","","","",""
"    Estimate","47,077","645","6,756","18,456","10,939"
"Biloxi city, Mississippi","","","","",""
"    Estimate","28,114","2,287","6,807","3,942","3,420"
"Brandon city, Mississippi","","","","",""
"    Estimate","16,047","616","2,890","5,453","1,866"
"Clinton city, Mississippi","","","","",""
"    Estimate","16,657","918","2,547","4,016","3,144"
"Columbus city, Mississippi","","","","",""
"    Estimate","13,924","2,609","3,919","1,403","1,897"
"Greenville city, Mississippi","","","","",""
"    Estimate","18,076","2,870","6,164","1,571","1,274"
"Gulfport city, Mississippi","","","","",""
"    Estimate","46,538","3,659","15,946","6,639","3,017"
"Hattiesburg city, Mississippi","","","","",""
"    Estimate","27,473","2,078","6,863","5,115","3,596"
"Horn Lake city, Mississippi","","","","",""
"    Estimate","16,187","2,034","5,318","2,503","446"
"Jackson city, Mississippi","","","","",""
"    Estimate","101,868","9,542","28,214","15,869","11,674"
"Madison city, Mississippi","","","","",""
"    Estimate","17,226","151","1,761","7,192","4,853"
"Meridian city, Mississippi","","","","",""
"    Estimate","24,702","5,375","5,490","3,206","1,713"
"Olive Branch city, Mississippi","","","","",""
"    Estimate","27,172","1,749","7,316","4,590","4,041"
"Oxford city, Mississippi","","","","",""
"    Estimate","16,086","354","4,017","3,658","4,584"
"Pascagoula city, Mississippi","","","","",""
"    Estimate","16,187","1,259","5,558","1,705","813"
"Pearl city, Mississippi","","","","",""
"    Estimate","18,378","1,208","4,722","2,236","1,282"
"Ridgeland city, Mississippi","","","","",""
"    Estimate","17,314","76","3,314","5,448","3,090"
"Southaven city, Mississippi","","","","",""
"    Estimate","34,741","1,911","9,954","6,158","4,171"
"Starkville city, Mississippi","","","","",""
"    Estimate","11,976","1,186","2,132","1,889","3,694"
"Tupelo city, Mississippi","","","","",""
"    Estimate","24,466","1,970","5,621","4,327","3,109"
"Vicksburg city, Mississippi","","","","",""
"    Estimate","17,587","2,121","4,010","2,054","1,398"
"Affton CDP, Missouri","","","","",""
"    Estimate","15,907","673","4,110","2,923","2,114"
"Arnold city, Missouri","","","","",""
"    Estimate","15,502","1,047","5,568","1,395","1,047"
"Ballwin city, Missouri","","","","",""
"    Estimate","21,721","226","2,569","6,945","6,027"
"Belton city, Missouri","","","","",""
"    Estimate","13,716","468","5,267","1,823","927"
"Blue Springs city, Missouri","","","","",""
"    Estimate","35,616","1,274","10,651","7,784","4,136"
"Cape Girardeau city, Missouri","","","","",""
"    Estimate","26,132","1,862","5,936","5,716","4,561"
"Chesterfield city, Missouri","","","","",""
"    Estimate","35,987","84","3,627","12,822","12,733"
"Columbia city, Missouri","","","","",""
"    Estimate","69,232","2,355","10,625","18,858","18,195"
"Florissant city, Missouri","","","","",""
"    Estimate","34,836","2,422","11,144","4,723","3,240"
"Gladstone city, Missouri","","","","",""
"    Estimate","19,811","986","6,875","4,214","1,227"
"Grandview city, Missouri","","","","",""
"    Estimate","16,218","1,626","6,268","1,907","1,051"
"Hazelwood city, Missouri","","","","",""
"    Estimate","17,428","1,143","4,967","2,978","1,696"
"Independence city, Missouri","","","","",""
"    Estimate","78,333","4,881","30,165","9,281","5,343"
"Jefferson City city, Missouri","","","","",""
"    Estimate","32,302","2,372","9,105","5,938","3,978"
"Joplin city, Missouri","","","","",""
"    Estimate","34,004","3,098","10,888","5,288","3,017"
"Kansas City city, Missouri","","","","",""
"    Estimate","340,306","19,685","89,858","79,700","43,640"
"Kirkwood city, Missouri","","","","",""
"    Estimate","19,719","157","1,723","7,575","5,657"
"Lee's Summit city, Missouri","","","","",""
"    Estimate","65,465","611","11,972","19,717","13,198"
"Liberty city, Missouri","","","","",""
"    Estimate","21,221","291","6,411","5,940","2,916"
"Maryland Heights city, Missouri","","","","",""
"    Estimate","18,873","892","3,429","5,339","4,794"
"Mehlville CDP, Missouri","","","","",""
"    Estimate","19,261","1,030","6,125","4,077","2,147"
"Nixa city, Missouri","","","","",""
"    Estimate","15,906","1,402","3,268","3,188","977"
"Oakville CDP, Missouri","","","","",""
"    Estimate","25,088","875","4,559","6,339","4,821"
"O'Fallon city, Missouri","","","","",""
"    Estimate","59,925","2,518","13,085","15,079","8,980"
"Old Jamestown CDP, Missouri","","","","",""
"    Estimate","13,760","405","3,137","2,763","2,391"
"Ozark city, Missouri","","","","",""
"    Estimate","12,083","665","3,575","2,562","1,625"
"Raytown city, Missouri","","","","",""
"    Estimate","20,835","1,290","7,296","2,735","1,633"
"St. Charles city, Missouri","","","","",""
"    Estimate","49,776","2,464","11,651","12,854","7,131"
"St. Joseph city, Missouri","","","","",""
"    Estimate","52,043","2,952","22,335","7,361","2,448"
"St. Louis city, Missouri","","","","",""
"    Estimate","218,004","15,404","53,754","44,504","39,549"
"St. Peters city, Missouri","","","","",""
"    Estimate","41,914","1,595","9,178","11,278","6,008"
"Sedalia city, Missouri","","","","",""
"    Estimate","14,835","1,486","4,665","1,890","717"
"Springfield city, Missouri","","","","",""
"    Estimate","105,719","6,539","32,675","17,057","10,603"
"University City city, Missouri","","","","",""
"    Estimate","24,131","1,456","3,937","7,506","5,958"
"Warrensburg city, Missouri","","","","",""
"    Estimate","10,224","490","3,337","1,688","1,610"
"Webster Groves city, Missouri","","","","",""
"    Estimate","16,753","266","2,023","5,627","6,650"
"Wentzville city, Missouri","","","","",""
"    Estimate","24,987","844","4,767","6,820","2,801"
"Wildwood city, Missouri","","","","",""
"    Estimate","24,384","142","1,999","9,505","6,453"
"Billings city, Montana","","","","",""
"    Estimate","75,259","2,989","22,032","17,751","8,572"
"Bozeman city, Montana","","","","",""
"    Estimate","27,700","199","4,210","11,709","5,674"
"Butte-Silver Bow (balance), Montana","","","","",""
"    Estimate","23,410","877","6,453","5,514","2,618"
"Great Falls city, Montana","","","","",""
"    Estimate","39,182","2,188","13,440","6,622","2,650"
"Helena city, Montana","","","","",""
"    Estimate","24,193","301","3,464","8,511","5,320"
"Kalispell city, Montana","","","","",""
"    Estimate","15,804","807","3,758","3,180","2,015"
"Missoula city, Montana","","","","",""
"    Estimate","50,221","1,161","11,250","16,379","8,133"
"Bellevue city, Nebraska","","","","",""
"    Estimate","37,446","1,029","11,514","6,345","3,256"
"Columbus city, Nebraska","","","","",""
"    Estimate","14,191","1,190","3,400","2,315","1,188"
"Fremont city, Nebraska","","","","",""
"    Estimate","16,407","1,311","5,512","1,730","1,503"
"Grand Island city, Nebraska","","","","",""
"    Estimate","32,436","3,114","9,943","4,588","2,330"
"Hastings city, Nebraska","","","","",""
"    Estimate","16,841","672","5,240","3,250","1,186"
"Kearney city, Nebraska","","","","",""
"    Estimate","18,548","720","4,194","4,937","2,597"
"Lincoln city, Nebraska","","","","",""
"    Estimate","178,745","7,661","35,783","45,687","26,536"
"Norfolk city, Nebraska","","","","",""
"    Estimate","15,211","475","5,187","2,839","1,075"
"North Platte city, Nebraska","","","","",""
"    Estimate","15,151","539","4,544","1,461","1,542"
"Omaha city, Nebraska","","","","",""
"    Estimate","311,417","15,185","70,609","78,550","44,938"
"Papillion city, Nebraska","","","","",""
"    Estimate","14,123","327","2,891","3,826","1,413"
"Carson City, Nevada","","","","",""
"    Estimate","40,577","4,151","10,260","6,092","2,546"
"Elko city, Nevada","","","","",""
"    Estimate","14,727","1,041","5,341","1,231","1,041"
"Enterprise CDP, Nevada","","","","",""
"    Estimate","132,424","4,981","30,363","27,544","15,630"
"Fernley city, Nevada","","","","",""
"    Estimate","14,635","1,909","4,827","1,149","595"
"Henderson city, Nevada","","","","",""
"    Estimate","238,697","9,506","58,388","54,227","29,926"
"Las Vegas city, Nevada","","","","",""
"    Estimate","440,508","41,415","122,046","71,326","39,343"
"Mesquite city, Nevada","","","","",""
"    Estimate","16,728","887","5,253","2,262","1,292"
"North Las Vegas city, Nevada","","","","",""
"    Estimate","157,303","16,025","52,175","18,941","7,869"
"Pahrump CDP, Nevada","","","","",""
"    Estimate","31,965","2,684","12,226","1,867","1,596"
"Paradise CDP, Nevada","","","","",""
"    Estimate","169,773","15,175","50,462","26,743","14,764"
"Reno city, Nevada","","","","",""
"    Estimate","176,934","10,410","37,314","37,177","24,221"
"Sparks city, Nevada","","","","",""
"    Estimate","69,273","5,699","19,451","10,602","5,548"
"Spring Valley CDP, Nevada","","","","",""
"    Estimate","157,802","11,553","44,559","32,563","12,235"
"Summerlin South CDP, Nevada","","","","",""
"    Estimate","21,534","720","3,881","5,703","4,129"
"Sunrise Manor CDP, Nevada","","","","",""
"    Estimate","122,749","18,967","38,912","8,490","4,457"
"Sun Valley CDP, Nevada","","","","",""
"    Estimate","14,674","2,791","4,311","1,264","252"
"Whitney CDP, Nevada","","","","",""
"    Estimate","27,073","3,627","9,409","3,200","2,027"
"Winchester CDP, Nevada","","","","",""
"    Estimate","17,636","1,519","4,156","2,883","1,270"
"Concord city, New Hampshire","","","","",""
"    Estimate","32,313","1,495","9,862","6,981","5,264"
"Derry CDP, New Hampshire","","","","",""
"    Estimate","15,625","854","5,213","2,696","1,373"
"Dover city, New Hampshire","","","","",""
"    Estimate","22,956","1,110","4,281","5,735","4,614"
"Keene city, New Hampshire","","","","",""
"    Estimate","13,842","439","3,022","4,161","1,868"
"Manchester city, New Hampshire","","","","",""
"    Estimate","82,293","6,810","24,221","18,055","7,994"
"Nashua city, New Hampshire","","","","",""
"    Estimate","64,062","3,360","17,064","14,393","9,158"
"Portsmouth city, New Hampshire","","","","",""
"    Estimate","19,392","414","3,993","7,412","4,240"
"Rochester city, New Hampshire","","","","",""
"    Estimate","21,428","1,105","8,363","3,690","1,118"
"Atlantic City city, New Jersey","","","","",""
"    Estimate","23,012","3,258","8,299","3,209","836"
"Bayonne city, New Jersey","","","","",""
"    Estimate","46,365","1,367","13,936","12,181","6,029"
"Bergenfield borough, New Jersey","","","","",""
"    Estimate","18,434","865","5,968","6,327","1,482"
"Bridgeton city, New Jersey","","","","",""
"    Estimate","15,339","4,082","5,105","669","304"
"Camden city, New Jersey","","","","",""
"    Estimate","42,430","5,894","15,531","3,307","531"
"Carteret borough, New Jersey","","","","",""
"    Estimate","18,128","2,717","4,808","3,396","1,222"
"Cliffside Park borough, New Jersey","","","","",""
"    Estimate","18,532","1,657","3,793","5,053","2,185"
"Clifton city, New Jersey","","","","",""
"    Estimate","58,320","3,746","21,130","11,878","6,779"
"East Orange city, New Jersey","","","","",""
"    Estimate","44,662","3,193","15,095","8,847","3,298"
"Elizabeth city, New Jersey","","","","",""
"    Estimate","80,534","5,999","33,092","6,552","3,396"
"Elmwood Park borough, New Jersey","","","","",""
"    Estimate","15,385","605","5,178","4,238","1,302"
"Englewood city, New Jersey","","","","",""
"    Estimate","21,493","1,050","5,747","4,014","5,146"
"Fair Lawn borough, New Jersey","","","","",""
"    Estimate","23,217","360","3,396","8,317","7,109"
"Fort Lee borough, New Jersey","","","","",""
"    Estimate","31,661","954","5,274","10,841","7,626"
"Garfield city, New Jersey","","","","",""
"    Estimate","21,942","1,179","9,424","2,969","1,859"
"Glassboro borough, New Jersey","","","","",""
"    Estimate","12,884","600","3,565","3,091","1,811"
"Hackensack city, New Jersey","","","","",""
"    Estimate","36,329","2,223","8,839","11,605","5,383"
"Hawthorne borough, New Jersey","","","","",""
"    Estimate","17,395","398","5,428","4,790","1,850"
"Hoboken city, New Jersey","","","","",""
"    Estimate","37,895","428","3,466","18,162","12,522"
"Jersey City city, New Jersey","","","","",""
"    Estimate","193,444","9,497","38,954","58,165","43,944"
"Kearny town, New Jersey","","","","",""
"    Estimate","29,676","2,208","10,636","3,826","3,039"
"Lakewood CDP, New Jersey","","","","",""
"    Estimate","18,929","826","5,086","3,118","3,358"
"Linden city, New Jersey","","","","",""
"    Estimate","29,561","2,907","9,632","4,728","2,397"
"Lodi borough, New Jersey","","","","",""
"    Estimate","15,068","1,125","3,891","2,698","2,119"
"Long Branch city, New Jersey","","","","",""
"    Estimate","19,372","1,062","5,738","3,405","2,597"
"Millville city, New Jersey","","","","",""
"    Estimate","19,264","1,685","8,104","2,013","1,555"
"Morristown town, New Jersey","","","","",""
"    Estimate","15,315","544","2,814","4,866","4,316"
"Newark city, New Jersey","","","","",""
"    Estimate","183,362","21,353","71,692","18,760","7,160"
"New Brunswick city, New Jersey","","","","",""
"    Estimate","26,776","4,390","6,617","2,754","3,174"
"North Plainfield borough, New Jersey","","","","",""
"    Estimate","13,654","796","3,645","2,792","1,006"
"Old Bridge CDP, New Jersey","","","","",""
"    Estimate","19,228","775","6,289","4,584","2,488"
"Palisades Park borough, New Jersey","","","","",""
"    Estimate","15,610","179","2,739","6,331","1,905"
"Paramus borough, New Jersey","","","","",""
"    Estimate","19,429","850","4,628","6,242","2,631"
"Passaic city, New Jersey","","","","",""
"    Estimate","40,113","4,582","15,224","4,121","1,909"
"Paterson city, New Jersey","","","","",""
"    Estimate","90,893","6,716","43,403","9,566","1,642"
"Perth Amboy city, New Jersey","","","","",""
"    Estimate","32,886","4,383","12,580","3,443","739"
"Plainfield city, New Jersey","","","","",""
"    Estimate","34,099","2,168","12,164","5,078","3,019"
"Point Pleasant borough, New Jersey","","","","",""
"    Estimate","16,480","428","3,602","5,420","2,372"
"Princeton, New Jersey","","","","",""
"    Estimate","17,943","117","842","4,983","10,387"
"Rahway city, New Jersey","","","","",""
"    Estimate","21,640","1,213","7,301","4,261","3,194"
"Ridgewood village, New Jersey","","","","",""
"    Estimate","15,003","0","1,075","6,086","5,949"
"Roselle borough, New Jersey","","","","",""
"    Estimate","16,289","991","4,941","2,824","1,457"
"Rutherford borough, New Jersey","","","","",""
"    Estimate","15,022","441","2,266","5,196","3,091"
"Sayreville borough, New Jersey","","","","",""
"    Estimate","31,159","1,645","6,796","8,717","4,334"
"Secaucus town, New Jersey","","","","",""
"    Estimate","15,162","610","2,250","4,981","3,694"
"Somerset CDP, New Jersey","","","","",""
"    Estimate","18,859","288","3,627","6,426","3,856"
"South Plainfield borough, New Jersey","","","","",""
"    Estimate","17,544","1,047","5,565","3,474","2,368"
"Summit city, New Jersey","","","","",""
"    Estimate","13,354","169","2,694","3,772","4,923"
"Toms River CDP, New Jersey","","","","",""
"    Estimate","65,184","2,658","23,612","14,440","6,259"
"Trenton city, New Jersey","","","","",""
"    Estimate","54,038","9,776","18,480","4,789","2,864"
"Union City city, New Jersey","","","","",""
"    Estimate","46,104","3,224","14,178","7,864","4,547"
"Vineland city, New Jersey","","","","",""
"    Estimate","40,152","4,931","14,025","5,189","3,038"
"Westfield town, New Jersey","","","","",""
"    Estimate","19,133","449","2,271","7,389","6,803"
"West New York town, New Jersey","","","","",""
"    Estimate","36,335","2,187","10,004","6,261","4,113"
"Woodbridge CDP, New Jersey","","","","",""
"    Estimate","13,636","290","3,801","3,553","1,590"
"Alamogordo city, New Mexico","","","","",""
"    Estimate","22,332","977","7,392","2,223","1,438"
"Albuquerque city, New Mexico","","","","",""
"    Estimate","387,982","26,778","89,396","80,519","59,965"
"Carlsbad city, New Mexico","","","","",""
"    Estimate","20,390","2,602","7,486","1,918","1,501"
"Clovis city, New Mexico","","","","",""
"    Estimate","23,336","3,637","5,420","2,855","1,608"
"Farmington city, New Mexico","","","","",""
"    Estimate","27,695","3,402","7,177","2,424","2,951"
"Gallup city, New Mexico","","","","",""
"    Estimate","14,021","1,426","4,420","1,600","1,572"
"Hobbs city, New Mexico","","","","",""
"    Estimate","22,327","2,533","5,505","2,165","1,342"
"Las Cruces city, New Mexico","","","","",""
"    Estimate","63,605","3,630","12,573","11,757","9,583"
"Rio Rancho city, New Mexico","","","","",""
"    Estimate","67,089","2,314","16,686","13,981","7,812"
"Roswell city, New Mexico","","","","",""
"    Estimate","30,659","4,046","6,719","3,543","2,159"
"Santa Fe city, New Mexico","","","","",""
"    Estimate","61,653","3,369","11,692","12,093","12,487"
"South Valley CDP, New Mexico","","","","",""
"    Estimate","27,288","3,164","10,400","2,290","2,019"
"Albany city, New York","","","","",""
"    Estimate","58,381","5,139","10,968","14,076","11,555"
"Auburn city, New York","","","","",""
"    Estimate","18,937","2,231","4,992","2,897","983"
"Baldwin CDP, New York","","","","",""
"    Estimate","19,449","191","5,257","4,673","3,548"
"Bay Shore CDP, New York","","","","",""
"    Estimate","16,870","1,409","5,049","1,877","1,716"
"Binghamton city, New York","","","","",""
"    Estimate","27,918","2,742","7,098","3,150","4,516"
"Brentwood CDP, New York","","","","",""
"    Estimate","41,888","5,124","15,132","3,483","2,508"
"Brighton CDP, New York","","","","",""
"    Estimate","25,046","1,062","2,945","6,633","10,024"
"Buffalo city, New York","","","","",""
"    Estimate","164,432","14,087","44,310","27,843","19,368"
"Centereach CDP, New York","","","","",""
"    Estimate","19,647","754","6,593","3,105","2,296"
"Central Islip CDP, New York","","","","",""
