"Label (Grouping)","HOUSEHOLDS BY TYPE!!Total households!!Average household size","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","COMPUTERS AND INTERNET USE!!Total households!!With a computer","COMPUTERS AND INTERNET USE!!Total households!!With a broadband Internet subscription"
"Goodyear city, Arizona","","","","","","",""
"    Estimate","3.14","3,688","11,815","9,055","7,604","25,688","25,048"
"    Percent","(X)","6.5%","20.8%","16.0%","13.4%","98.2%","95.8%"
"Mesa city, Arizona","","","","","","",""
"    Estimate","2.75","20,255","80,510","67,760","32,755","177,870","169,499"
"    Percent","(X)","5.9%","23.4%","19.7%","9.5%","95.1%","90.6%"
"Peoria city, Arizona","","","","","","",""
"    Estimate","2.64","6,043","26,973","27,488","15,810","63,946","61,048"
"    Percent","(X)","4.7%","21.2%","21.6%","12.4%","96.4%","92.1%"
"Phoenix city, Arizona","","","","","","",""
"    Estimate","2.83","102,302","265,129","199,100","114,799","563,522","498,255"
"    Percent","(X)","9.3%","24.1%","18.1%","10.4%","96.0%","84.9%"
"San Tan Valley CDP, Arizona","","","","","","",""
"    Estimate","3.31","2,671","19,670","11,034","3,590","29,989","29,132"
"    Percent","(X)","4.3%","31.5%","17.7%","5.8%","98.7%","95.9%"
"Scottsdale city, Arizona","","","","","","",""
"    Estimate","2.07","4,054","25,120","72,190","52,007","119,114","115,670"
"    Percent","(X)","2.0%","12.3%","35.2%","25.4%","96.2%","93.4%"
"Surprise city, Arizona","","","","","","",""
"    Estimate","2.88","4,170","24,046","19,801","10,491","47,833","46,933"
"    Percent","(X)","4.4%","25.6%","21.1%","11.2%","97.4%","95.5%"
"Tempe city, Arizona","","","","","","",""
"    Estimate","2.40","3,564","14,015","37,809","25,475","75,713","71,966"
"    Percent","(X)","2.8%","11.1%","30.0%","20.2%","98.8%","93.9%"
"Tucson city, Arizona","","","","","","",""
"    Estimate","2.39","34,823","82,862","59,204","37,920","204,988","190,503"
"    Percent","(X)","9.8%","23.3%","16.7%","10.7%","94.0%","87.4%"
"Yuma city, Arizona","","","","","","",""
"    Estimate","2.71","4,639","15,377","6,301","3,443","32,913","29,509"
"    Percent","(X)","7.9%","26.1%","10.7%","5.8%","94.1%","84.4%"
"Conway city, Arkansas","","","","","","",""
"    Estimate","2.38","1,332","9,283","10,782","4,120","25,377","24,980"
"    Percent","(X)","3.6%","24.8%","28.8%","11.0%","96.4%","94.9%"
"Fayetteville city, Arkansas","","","","","","",""
"    Estimate","2.19","2,105","10,646","13,675","10,526","35,448","31,220"
"    Percent","(X)","4.2%","21.4%","27.5%","21.2%","96.6%","85.1%"
"Fort Smith city, Arkansas","","","","","","",""
"    Estimate","2.39","6,676","15,866","10,036","5,016","31,185","27,278"
"    Percent","(X)","11.4%","27.2%","17.2%","8.6%","86.1%","75.3%"
"Jonesboro city, Arkansas","","","","","","",""
"    Estimate","2.52","2,754","14,362","8,668","5,868","27,688","26,072"
"    Percent","(X)","5.6%","29.2%","17.6%","11.9%","93.3%","87.8%"
"Little Rock city, Arkansas","","","","","","",""
"    Estimate","2.42","7,366","29,623","31,573","26,049","74,065","68,888"
"    Percent","(X)","5.5%","22.0%","23.4%","19.3%","92.5%","86.0%"
"North Little Rock city, Arkansas","","","","","","",""
"    Estimate","2.33","2,967","13,233","8,762","3,868","25,615","21,951"
"    Percent","(X)","6.7%","30.0%","19.9%","8.8%","91.8%","78.7%"
"Rogers city, Arkansas","","","","","","",""
"    Estimate","2.80","2,422","13,157","10,022","4,656","22,748","21,309"
"    Percent","(X)","5.6%","30.6%","23.3%","10.8%","93.6%","87.7%"
"Springdale city, Arkansas","","","","","","",""
"    Estimate","3.01","6,575","12,183","6,049","2,318","24,694","21,752"
"    Percent","(X)","13.9%","25.7%","12.8%","4.9%","93.4%","82.3%"
"Alameda city, California","","","","","","",""
"    Estimate","2.49","3,315","7,109","19,910","12,319","30,071","28,438"
"    Percent","(X)","5.9%","12.6%","35.3%","21.9%","97.7%","92.4%"
"Alhambra city, California","","","","","","",""
"    Estimate","2.88","4,684","14,697","14,668","8,931","27,431","26,609"
"    Percent","(X)","7.6%","23.7%","23.6%","14.4%","95.3%","92.5%"
"Anaheim city, California","","","","","","",""
"    Estimate","3.28","23,276","56,179","39,645","21,548","100,747","96,532"
"    Percent","(X)","9.8%","23.8%","16.8%","9.1%","95.7%","91.7%"
"Antioch city, California","","","","","","",""
"    Estimate","3.07","6,111","22,135","10,053","5,829","35,080","34,081"
"    Percent","(X)","7.9%","28.5%","12.9%","7.5%","97.1%","94.3%"
"Apple Valley town, California","","","","","","",""
"    Estimate","3.06","3,760","14,478","4,799","3,819","22,655","21,235"
"    Percent","(X)","8.0%","30.7%","10.2%","8.1%","95.3%","89.3%"
"Arden-Arcade CDP, California","","","","","","",""
"    Estimate","2.53","4,189","18,446","15,893","9,875","40,140","39,421"
"    Percent","(X)","5.6%","24.8%","21.4%","13.3%","94.9%","93.2%"
"Bakersfield city, California","","","","","","",""
"    Estimate","3.26","19,864","58,738","34,067","17,997","110,544","103,160"
"    Percent","(X)","8.5%","25.3%","14.6%","7.7%","94.8%","88.5%"
"Baldwin Park city, California","","","","","","",""
"    Estimate","3.87","5,925","15,994","5,327","1,390","18,039","17,499"
"    Percent","(X)","11.8%","31.8%","10.6%","2.8%","93.2%","90.4%"
"Bellflower city, California","","","","","","",""
"    Estimate","3.24","7,521","11,557","6,205","2,712","22,104","19,437"
"    Percent","(X)","14.3%","22.0%","11.8%","5.2%","94.6%","83.2%"
"Berkeley city, California","","","","","","",""
"    Estimate","2.44","1,388","4,460","26,811","31,449","43,286","42,159"
"    Percent","(X)","1.8%","5.9%","35.2%","41.3%","97.2%","94.6%"
"Buena Park city, California","","","","","","",""
"    Estimate","3.19","3,087","12,811","14,385","5,341","24,533","23,994"
"    Percent","(X)","5.1%","21.1%","23.7%","8.8%","96.7%","94.6%"
"Burbank city, California","","","","","","",""
"    Estimate","2.36","3,128","10,915","24,957","10,562","39,781","37,450"
"    Percent","(X)","4.0%","14.0%","31.9%","13.5%","92.2%","86.8%"
"Camarillo city, California","","","","","","",""
"    Estimate","2.54","1,613","7,143","14,384","8,837","26,244","25,711"
"    Percent","(X)","3.2%","14.1%","28.5%","17.5%","96.2%","94.3%"
"Carlsbad city, California","","","","","","",""
"    Estimate","2.55","1,661","6,911","30,192","21,119","44,088","42,652"
"    Percent","(X)","2.0%","8.2%","35.9%","25.1%","98.0%","94.9%"
"Carmichael CDP, California","","","","","","",""
"    Estimate","2.48","2,230","9,033","11,685","5,533","25,694","24,234"
"    Percent","(X)","4.6%","18.6%","24.1%","11.4%","96.7%","91.2%"
"Carson city, California","","","","","","",""
"    Estimate","3.54","5,635","13,006","15,429","4,493","24,500","23,768"
"    Percent","(X)","8.4%","19.5%","23.1%","6.7%","95.8%","92.9%"
"Chico city, California","","","","","","",""
"    Estimate","2.69","3,319","10,041","15,861","8,925","35,870","33,898"
"    Percent","(X)","5.5%","16.5%","26.1%","14.7%","96.8%","91.5%"
"Chino city, California","","","","","","",""
"    Estimate","3.35","7,421","15,394","13,463","5,250","24,788","23,513"
"    Percent","(X)","10.8%","22.3%","19.5%","7.6%","95.0%","90.2%"
"Chino Hills city, California","","","","","","",""
"    Estimate","3.12","1,685","7,332","20,858","9,975","26,734","26,396"
"    Percent","(X)","2.9%","12.5%","35.5%","17.0%","99.5%","98.3%"
"Chula Vista city, California","","","","","","",""
"    Estimate","3.29","19,435","37,664","38,169","15,354","78,674","77,161"
"    Percent","(X)","10.6%","20.5%","20.8%","8.4%","94.9%","93.1%"
"Citrus Heights city, California","","","","","","",""
"    Estimate","2.39","4,050","16,946","7,945","3,689","35,087","32,559"
"    Percent","(X)","6.2%","26.0%","12.2%","5.7%","96.2%","89.3%"
"Clovis city, California","","","","","","",""
"    Estimate","2.90","3,671","12,527","16,465","9,586","36,722","35,598"
"    Percent","(X)","5.0%","17.0%","22.4%","13.0%","93.5%","90.7%"
"Compton city, California","","","","","","",""
"    Estimate","4.37","10,242","16,904","3,456","1,636","20,526","18,130"
"    Percent","(X)","17.0%","28.1%","5.7%","2.7%","94.3%","83.3%"
"Concord city, California","","","","","","",""
"    Estimate","2.84","4,030","16,882","21,906","11,508","44,104","42,935"
"    Percent","(X)","4.5%","18.6%","24.2%","12.7%","97.9%","95.3%"
"Corona city, California","","","","","","",""
"    Estimate","3.54","7,783","29,364","20,303","11,135","46,221","41,481"
"    Percent","(X)","6.9%","26.0%","18.0%","9.9%","96.7%","86.8%"
"Costa Mesa city, California","","","","","","",""
"    Estimate","2.87","6,472","14,451","21,638","8,853","37,830","37,156"
"    Percent","(X)","8.2%","18.2%","27.3%","11.2%","97.6%","95.9%"
"Daly City city, California","","","","","","",""
"    Estimate","3.37","4,814","17,866","23,885","5,500","30,234","28,275"
"    Percent","(X)","6.1%","22.7%","30.4%","7.0%","96.6%","90.4%"
"Davis city, California","","","","","","",""
"    Estimate","2.55","773","3,368","11,211","12,813","25,825","24,111"
"    Percent","(X)","2.1%","9.3%","31.0%","35.4%","97.9%","91.4%"
"Downey city, California","","","","","","",""
"    Estimate","3.44","5,010","21,578","12,851","4,957","31,122","29,889"
"    Percent","(X)","6.7%","29.0%","17.3%","6.7%","97.0%","93.2%"
"East Los Angeles CDP, California","","","","","","",""
"    Estimate","3.90","13,110","17,412","4,682","1,407","27,154","22,911"
"    Percent","(X)","17.4%","23.2%","6.2%","1.9%","88.5%","74.7%"
"El Cajon city, California","","","","","","",""
"    Estimate","3.12","4,119","16,232","11,097","5,169","30,975","29,587"
"    Percent","(X)","6.0%","23.4%","16.0%","7.5%","96.4%","92.1%"
"Elk Grove city, California","","","","","","",""
"    Estimate","3.05","5,900","22,699","28,602","15,176","55,500","53,719"
"    Percent","(X)","4.9%","19.0%","24.0%","12.7%","97.3%","94.2%"
"El Monte city, California","","","","","","",""
"    Estimate","3.62","10,742","23,500","9,223","1,554","28,653","26,288"
"    Percent","(X)","13.5%","29.5%","11.6%","2.0%","90.9%","83.4%"
"Escondido city, California","","","","","","",""
"    Estimate","2.90","6,882","19,914","18,321","9,182","48,956","47,138"
"    Percent","(X)","6.7%","19.5%","17.9%","9.0%","95.3%","91.8%"
"Fairfield city, California","","","","","","",""
"    Estimate","3.10","2,690","18,253","17,970","7,036","36,612","35,440"
"    Percent","(X)","3.4%","23.2%","22.9%","9.0%","98.1%","95.0%"
"Florence-Graham CDP, California","","","","","","",""
"    Estimate","4.68","8,928","9,243","2,630","710","14,051","12,807"
"    Percent","(X)","20.7%","21.5%","6.1%","1.6%","93.8%","85.5%"
"Folsom city, California","","","","","","",""
"    Estimate","2.79","1,732","7,597","18,349","11,961","26,921","25,686"
"    Percent","(X)","3.0%","13.3%","32.1%","20.9%","98.7%","94.1%"
"Fontana city, California","","","","","","",""
"    Estimate","3.79","15,706","37,151","19,244","6,233","54,474","50,664"
"    Percent","(X)","12.1%","28.6%","14.8%","4.8%","96.5%","89.7%"
"Fremont city, California","","","","","","",""
"    Estimate","3.08","6,813","30,117","55,632","44,905","76,032","73,985"
"    Percent","(X)","3.9%","17.5%","32.2%","26.0%","97.7%","95.0%"
"Fresno city, California","","","","","","",""
"    Estimate","3.02","38,000","75,199","48,846","22,507","160,219","145,806"
"    Percent","(X)","11.6%","22.9%","14.9%","6.9%","92.7%","84.4%"
"Fullerton city, California","","","","","","",""
"    Estimate","3.05","4,422","15,801","23,846","16,318","43,419","41,399"
"    Percent","(X)","4.8%","17.3%","26.2%","17.9%","97.9%","93.3%"
"Garden Grove city, California","","","","","","",""
"    Estimate","3.58","14,344","32,193","24,066","6,112","45,228","42,576"
"    Percent","(X)","11.7%","26.4%","19.7%","5.0%","95.5%","89.9%"
"Glendale city, California","","","","","","",""
"    Estimate","2.66","7,739","36,787","38,842","21,024","67,502","63,341"
"    Percent","(X)","5.2%","24.9%","26.3%","14.2%","91.0%","85.4%"
"Hawthorne city, California","","","","","","",""
"    Estimate","3.11","6,227","12,379","9,187","4,249","26,198","24,960"
"    Percent","(X)","11.3%","22.5%","16.7%","7.7%","95.3%","90.8%"
"Hayward city, California","","","","","","",""
"    Estimate","3.26","10,696","30,699","22,654","8,455","45,476","42,706"
"    Percent","(X)","9.6%","27.6%","20.3%","7.6%","95.1%","89.3%"
"Hemet city, California","","","","","","",""
"    Estimate","2.98","6,282","19,487","3,591","2,382","25,568","23,535"
"    Percent","(X)","11.0%","34.0%","6.3%","4.2%","90.0%","82.8%"
"Hesperia city, California","","","","","","",""
"    Estimate","3.52","8,270","20,541","5,990","2,657","26,173","25,707"
"    Percent","(X)","14.1%","35.1%","10.2%","4.5%","96.3%","94.6%"
"Huntington Beach city, California","","","","","","",""
"    Estimate","2.63","5,882","26,988","36,361","24,115","73,872","69,125"
"    Percent","(X)","4.0%","18.3%","24.6%","16.3%","98.1%","91.8%"
"Indio city, California","","","","","","",""
"    Estimate","2.86","7,314","15,033","10,350","6,065","30,753","29,823"
"    Percent","(X)","11.5%","23.7%","16.3%","9.6%","96.8%","93.9%"
"Inglewood city, California","","","","","","",""
"    Estimate","3.06","7,432","17,823","12,925","4,526","32,580","30,561"
"    Percent","(X)","10.2%","24.3%","17.7%","6.2%","94.6%","88.7%"
"Irvine city, California","","","","","","",""
"    Estimate","2.68","3,804","12,768","73,060","56,663","102,940","99,879"
"    Percent","(X)","2.0%","6.8%","39.1%","30.4%","98.5%","95.6%"
"Jurupa Valley city, California","","","","","","",""
"    Estimate","4.42","6,868","19,580","7,383","2,723","23,280","22,251"
"    Percent","(X)","10.6%","30.2%","11.4%","4.2%","94.8%","90.6%"
"Laguna Niguel city, California","","","","","","",""
"    Estimate","2.67","1,226","4,626","16,372","10,066","24,507","23,820"
"    Percent","(X)","2.6%","9.6%","34.1%","21.0%","99.1%","96.4%"
"Lake Elsinore city, California","","","","","","",""
"    Estimate","3.72","1,697","12,896","7,297","2,201","18,221","16,869"
"    Percent","(X)","4.1%","31.2%","17.7%","5.3%","97.7%","90.5%"
"Lake Forest city, California","","","","","","",""
"    Estimate","2.99","1,628","7,679","19,843","10,562","27,417","27,346"
"    Percent","(X)","2.7%","12.9%","33.2%","17.7%","96.3%","96.1%"
"Lakewood city, California","","","","","","",""
"    Estimate","3.14","2,116","11,072","12,059","5,309","24,382","22,741"
"    Percent","(X)","4.0%","20.8%","22.6%","10.0%","96.8%","90.2%"
"Lancaster city, California","","","","","","",""
"    Estimate","3.06","10,060","29,330","11,943","6,296","43,877","41,432"
"    Percent","(X)","10.2%","29.6%","12.1%","6.4%","89.1%","84.2%"
"Livermore city, California","","","","","","",""
"    Estimate","2.94","1,098","10,194","18,711","10,895","29,871","29,017"
"    Percent","(X)","1.7%","16.2%","29.7%","17.3%","97.8%","95.0%"
"Lodi city, California","","","","","","",""
"    Estimate","2.94","2,623","12,355","5,321","2,600","21,460","20,960"
"    Percent","(X)","6.1%","28.6%","12.3%","6.0%","94.4%","92.2%"
"Long Beach city, California","","","","","","",""
"    Estimate","2.74","26,465","59,280","70,284","34,329","158,856","146,663"
"    Percent","(X)","8.3%","18.7%","22.1%","10.8%","95.9%","88.5%"
"Los Angeles city, California","","","","","","",""
"    Estimate","2.78","231,555","528,710","661,928","334,223","1,320,222","1,227,084"
"    Percent","(X)","8.3%","19.0%","23.8%","12.0%","94.4%","87.7%"
"Lynwood city, California","","","","","","",""
"    Estimate","4.39","8,678","12,083","3,078","388","14,682","10,064"
"    Percent","(X)","20.5%","28.6%","7.3%","0.9%","97.0%","66.5%"
"Madera city, California","","","","","","",""
"    Estimate","3.95","4,384","6,802","1,601","1,037","15,657","14,686"
"    Percent","(X)","12.4%","19.3%","4.5%","2.9%","94.2%","88.3%"
"Manteca city, California","","","","","","",""
"    Estimate","3.16","3,399","16,346","8,028","3,392","24,987","23,454"
"    Percent","(X)","6.2%","29.6%","14.5%","6.1%","95.9%","90.0%"
"Menifee city, California","","","","","","",""
"    Estimate","3.22","2,952","18,947","8,463","4,563","27,696","26,891"
"    Percent","(X)","4.7%","30.5%","13.6%","7.3%","94.3%","91.6%"
"Merced city, California","","","","","","",""
"    Estimate","3.30","6,088","12,383","4,502","2,567","23,614","23,314"
"    Percent","(X)","12.6%","25.6%","9.3%","5.3%","94.4%","93.2%"
"Milpitas city, California","","","","","","",""
"    Estimate","3.13","3,983","8,690","22,055","13,485","25,442","25,088"
"    Percent","(X)","6.2%","13.5%","34.3%","21.0%","97.7%","96.3%"
"Mission Viejo city, California","","","","","","",""
"    Estimate","2.73","2,289","9,393","22,185","12,903","33,371","32,836"
"    Percent","(X)","3.2%","13.3%","31.5%","18.3%","98.1%","96.5%"
"Modesto city, California","","","","","","",""
"    Estimate","2.98","11,233","45,444","18,076","7,299","68,142","65,308"
"    Percent","(X)","7.9%","31.9%","12.7%","5.1%","95.5%","91.6%"
"Moreno Valley city, California","","","","","","",""
"    Estimate","4.07","16,563","36,660","12,437","5,864","50,590","48,006"
"    Percent","(X)","13.0%","28.7%","9.7%","4.6%","96.9%","91.9%"
"Mountain View city, California","","","","","","",""
"    Estimate","2.32","2,176","5,202","19,949","24,652","34,407","32,656"
"    Percent","(X)","3.5%","8.4%","32.2%","39.7%","97.0%","92.1%"
"Murrieta city, California","","","","","","",""
"    Estimate","3.42","4,349","16,615","14,621","7,551","32,925","32,324"
"    Percent","(X)","5.8%","22.3%","19.7%","10.2%","97.4%","95.7%"
"Napa city, California","","","","","","",""
"    Estimate","2.67","3,439","11,051","12,474","7,548","27,823","25,892"
"    Percent","(X)","6.1%","19.5%","22.0%","13.3%","96.5%","89.8%"
"Newport Beach city, California","","","","","","",""
"    Estimate","2.27","1,446","4,709","22,744","17,620","36,174","36,027"
"    Percent","(X)","2.3%","7.5%","36.0%","27.9%","97.7%","97.3%"
"Norwalk city, California","","","","","","",""
"    Estimate","3.85","6,663","20,095","12,625","2,930","25,488","24,340"
"    Percent","(X)","9.5%","28.6%","17.9%","4.2%","97.1%","92.7%"
"Oakland city, California","","","","","","",""
"    Estimate","2.54","21,641","53,150","87,799","66,316","153,091","141,338"
"    Percent","(X)","6.9%","16.9%","27.9%","21.0%","90.9%","83.9%"
"Oceanside city, California","","","","","","",""
"    Estimate","2.90","7,332","24,167","23,407","13,442","57,789","56,452"
"    Percent","(X)","6.0%","19.7%","19.1%","11.0%","95.9%","93.7%"
"Ontario city, California","","","","","","",""
"    Estimate","3.69","15,735","29,815","14,973","5,828","48,562","44,800"
"    Percent","(X)","13.3%","25.2%","12.6%","4.9%","97.3%","89.8%"
"Orange city, California","","","","","","",""
"    Estimate","3.01","7,748","15,040","24,739","12,289","41,661","40,514"
"    Percent","(X)","8.3%","16.0%","26.4%","13.1%","95.8%","93.2%"
"Oxnard city, California","","","","","","",""
"    Estimate","4.09","8,393","40,143","19,004","7,208","47,512","42,721"
"    Percent","(X)","6.3%","30.2%","14.3%","5.4%","93.6%","84.2%"
"Palmdale city, California","","","","","","",""
"    Estimate","3.73","10,484","27,505","11,979","3,308","39,083","37,088"
"    Percent","(X)","11.3%","29.8%","13.0%","3.6%","94.1%","89.3%"
"Palo Alto city, California","","","","","","",""
"    Estimate","2.57","586","1,396","14,118","24,595","24,582","24,123"
"    Percent","(X)","1.3%","3.1%","30.9%","53.8%","97.7%","95.8%"
"Pasadena city, California","","","","","","",""
"    Estimate","2.42","4,419","15,602","33,701","28,194","54,231","51,126"
"    Percent","(X)","4.1%","14.3%","30.9%","25.9%","95.7%","90.2%"
"Perris city, California","","","","","","",""
"    Estimate","4.49","3,737","15,418","4,011","1,200","16,606","15,566"
"    Percent","(X)","7.9%","32.5%","8.4%","2.5%","94.4%","88.5%"
"Pittsburg city, California","","","","","","",""
"    Estimate","3.39","4,888","13,864","7,407","3,536","19,952","19,640"
"    Percent","(X)","10.0%","28.3%","15.1%","7.2%","93.8%","92.3%"
"Pleasanton city, California","","","","","","",""
"    Estimate","2.81","995","5,442","21,175","17,266","28,523","28,055"
"    Percent","(X)","1.7%","9.4%","36.6%","29.8%","98.4%","96.8%"
"Pomona city, California","","","","","","",""
"    Estimate","3.62","12,452","23,700","13,684","4,386","38,671","34,788"
"    Percent","(X)","12.8%","24.4%","14.1%","4.5%","95.3%","85.7%"
"Rancho Cordova city, California","","","","","","",""
"    Estimate","3.00","3,939","10,668","9,615","4,222","23,919","23,187"
"    Percent","(X)","8.3%","22.4%","20.2%","8.9%","96.0%","93.1%"
"Rancho Cucamonga city, California","","","","","","",""
"    Estimate","2.93","5,701","22,399","27,515","16,774","57,397","54,694"
"    Percent","(X)","4.7%","18.3%","22.5%","13.7%","96.5%","91.9%"
"Redding city, California","","","","","","",""
"    Estimate","2.39","2,909","14,769","10,935","4,493","34,666","31,726"
"    Percent","(X)","4.5%","23.1%","17.1%","7.0%","91.8%","84.0%"
"Redlands city, California","","","","","","",""
"    Estimate","2.63","3,356","6,831","12,390","14,800","24,541","22,699"
"    Percent","(X)","6.5%","13.3%","24.2%","28.9%","94.0%","86.9%"
"Redondo Beach city, California","","","","","","",""
"    Estimate","2.53","851","2,960","20,339","9,901","26,104","25,445"
"    Percent","(X)","1.8%","6.3%","43.2%","21.0%","99.0%","96.5%"
"Redwood City city, California","","","","","","",""
"    Estimate","2.62","1,863","9,711","17,558","16,564","30,820","29,115"
"    Percent","(X)","3.0%","15.4%","27.8%","26.3%","95.7%","90.4%"
"Rialto city, California","","","","","","",""
"    Estimate","4.16","9,378","18,676","5,601","2,222","23,893","21,489"
"    Percent","(X)","15.1%","30.0%","9.0%","3.6%","96.5%","86.8%"
"Richmond city, California","","","","","","",""
"    Estimate","2.98","9,346","14,766","14,824","8,400","34,445","33,092"
"    Percent","(X)","12.5%","19.7%","19.8%","11.2%","94.0%","90.3%"
"Riverside city, California","","","","","","",""
"    Estimate","3.62","16,410","56,299","25,536","19,364","83,792","79,308"
"    Percent","(X)","8.1%","27.7%","12.6%","9.5%","96.1%","91.0%"
"Rocklin city, California","","","","","","",""
"    Estimate","2.90","1,118","6,464","14,990","6,981","22,971","22,795"
"    Percent","(X)","2.5%","14.5%","33.6%","15.6%","97.3%","96.5%"
"Roseville city, California","","","","","","",""
"    Estimate","2.65","3,459","15,394","29,752","13,265","50,948","49,178"
"    Percent","(X)","3.5%","15.6%","30.1%","13.4%","96.0%","92.6%"
"Sacramento city, California","","","","","","",""
"    Estimate","2.63","21,558","78,509","77,336","40,523","181,704","173,324"
"    Percent","(X)","6.2%","22.5%","22.1%","11.6%","94.7%","90.3%"
"Salinas city, California","","","","","","",""
"    Estimate","3.86","11,338","21,879","7,454","3,045","39,095","35,958"
"    Percent","(X)","12.5%","24.2%","8.2%","3.4%","98.1%","90.2%"
"San Bernardino city, California","","","","","","",""
"    Estimate","3.39","21,704","42,236","11,535","5,182","55,803","48,771"
"    Percent","(X)","16.7%","32.4%","8.9%","4.0%","92.5%","80.9%"
"San Buenaventura (Ventura) city, California","","","","","","",""
"    Estimate","2.64","4,146","15,291","18,656","10,801","36,264","35,438"
"    Percent","(X)","5.2%","19.2%","23.4%","13.6%","89.5%","87.5%"
"San Clemente city, California","","","","","","",""
"    Estimate","2.77","819","6,342","13,797","11,946","22,894","22,398"
"    Percent","(X)","1.8%","13.9%","30.3%","26.3%","98.8%","96.6%"
"San Diego city, California","","","","","","",""
"    Estimate","2.71","47,552","154,539","277,682","191,280","492,899","475,412"
"    Percent","(X)","4.8%","15.6%","28.1%","19.3%","96.2%","92.8%"
"San Francisco city, California","","","","","","",""
"    Estimate","2.36","33,872","83,279","245,885","169,239","347,877","328,178"
"    Percent","(X)","4.8%","11.9%","35.1%","24.1%","95.1%","89.7%"
"San Jose city, California","","","","","","",""
"    Estimate","3.07","41,424","117,419","183,254","136,515","314,572","304,814"
"    Percent","(X)","5.8%","16.5%","25.8%","19.2%","95.9%","93.0%"
"San Leandro city, California","","","","","","",""
"    Estimate","2.79","3,330","14,598","17,354","8,972","30,249","28,866"
