"Label (Grouping)","Total:","Total:!!With private health insurance","Total:!!No private health insurance"
"Brockton city, Massachusetts","","",""
"    Estimate","94,254","46,536","47,718"
"Brookline CDP, Massachusetts","","",""
"    Estimate","58,780","51,972","6,808"
"Burlington CDP, Massachusetts","","",""
"    Estimate","28,470","24,278","4,192"
"Cambridge city, Massachusetts","","",""
"    Estimate","118,590","103,732","14,858"
"Chelsea city, Massachusetts","","",""
"    Estimate","39,140","14,773","24,367"
"Chicopee city, Massachusetts","","",""
"    Estimate","54,295","37,359","16,936"
"Danvers CDP, Massachusetts","","",""
"    Estimate","27,114","21,571","5,543"
"Dedham CDP, Massachusetts","","",""
"    Estimate","24,253","20,592","3,661"
"Everett city, Massachusetts","","",""
"    Estimate","46,324","26,045","20,279"
"Fall River city, Massachusetts","","",""
"    Estimate","88,486","41,128","47,358"
"Fitchburg city, Massachusetts","","",""
"    Estimate","40,179","23,978","16,201"
"Framingham city, Massachusetts","","",""
"    Estimate","72,749","44,568","28,181"
"Franklin Town city, Massachusetts","","",""
"    Estimate","33,997","31,322","2,675"
"Gardner city, Massachusetts","","",""
"    Estimate","18,773","11,559","7,214"
"Gloucester city, Massachusetts","","",""
"    Estimate","30,220","21,774","8,446"
"Haverhill city, Massachusetts","","",""
"    Estimate","63,373","41,116","22,257"
"Holyoke city, Massachusetts","","",""
"    Estimate","39,185","19,867","19,318"
"Lawrence city, Massachusetts","","",""
"    Estimate","78,921","28,147","50,774"
"Leominster city, Massachusetts","","",""
"    Estimate","41,504","29,749","11,755"
"Lexington CDP, Massachusetts","","",""
"    Estimate","32,908","29,954","2,954"
"Lowell city, Massachusetts","","",""
"    Estimate","109,954","65,520","44,434"
"Lynn city, Massachusetts","","",""
"    Estimate","94,013","47,635","46,378"
"Malden city, Massachusetts","","",""
"    Estimate","60,380","37,802","22,578"
"Marblehead CDP, Massachusetts","","",""
"    Estimate","25,326","19,808","5,518"
"Marlborough city, Massachusetts","","",""
"    Estimate","39,162","25,915","13,247"
"Medford city, Massachusetts","","",""
"    Estimate","56,846","45,960","10,886"
"Melrose city, Massachusetts","","",""
"    Estimate","27,740","24,751","2,989"
"Methuen Town city, Massachusetts","","",""
"    Estimate","50,390","34,406","15,984"
"Milford CDP, Massachusetts","","",""
"    Estimate","27,372","15,255","12,117"
"Milton CDP, Massachusetts","","",""
"    Estimate","27,450","23,849","3,601"
"Needham CDP, Massachusetts","","",""
"    Estimate","30,974","28,224","2,750"
"New Bedford city, Massachusetts","","",""
"    Estimate","93,979","45,573","48,406"
"Newburyport city, Massachusetts","","",""
"    Estimate","20,923","18,581","2,342"
"Newton city, Massachusetts","","",""
"    Estimate","87,788","77,107","10,681"
"Northampton city, Massachusetts","","",""
"    Estimate","27,538","20,101","7,437"
"Norwood CDP, Massachusetts","","",""
"    Estimate","29,339","23,349","5,990"
"Peabody city, Massachusetts","","",""
"    Estimate","52,683","39,491","13,192"
"Pittsfield city, Massachusetts","","",""
"    Estimate","41,499","26,391","15,108"
"Quincy city, Massachusetts","","",""
"    Estimate","93,937","67,804","26,133"
"Randolph Town city, Massachusetts","","",""
"    Estimate","33,989","23,292","10,697"
"Reading CDP, Massachusetts","","",""
"    Estimate","25,253","22,477","2,776"
"Revere city, Massachusetts","","",""
"    Estimate","52,870","33,885","18,985"
"Salem city, Massachusetts","","",""
"    Estimate","43,079","31,210","11,869"
"Saugus CDP, Massachusetts","","",""
"    Estimate","28,133","22,983","5,150"
"Somerville city, Massachusetts","","",""
"    Estimate","81,280","66,045","15,235"
"Springfield city, Massachusetts","","",""
"    Estimate","152,778","73,342","79,436"
"Stoneham CDP, Massachusetts","","",""
"    Estimate","24,054","19,770","4,284"
"Taunton city, Massachusetts","","",""
"    Estimate","57,086","37,334","19,752"
"Wakefield CDP, Massachusetts","","",""
"    Estimate","26,680","21,796","4,884"
"Waltham city, Massachusetts","","",""
"    Estimate","62,280","47,621","14,659"
"Watertown Town city, Massachusetts","","",""
"    Estimate","35,923","31,357","4,566"
"Wellesley CDP, Massachusetts","","",""
"    Estimate","28,479","25,956","2,523"
"Westfield city, Massachusetts","","",""
"    Estimate","40,409","26,034","14,375"
"West Springfield Town city, Massachusetts","","",""
"    Estimate","28,323","19,580","8,743"
"Weymouth Town city, Massachusetts","","",""
"    Estimate","57,380","46,004","11,376"
"Wilmington CDP, Massachusetts","","",""
"    Estimate","19,536","18,465","1,071"
"Winchester CDP, Massachusetts","","",""
"    Estimate","23,108","21,721","1,387"
"Woburn city, Massachusetts","","",""
"    Estimate","39,989","30,810","9,179"
"Worcester city, Massachusetts","","",""
"    Estimate","183,634","109,212","74,422"
"Adrian city, Michigan","","",""
"    Estimate","19,975","11,610","8,365"
"Allendale CDP, Michigan","","",""
"    Estimate","22,872","20,873","1,999"
"Allen Park city, Michigan","","",""
"    Estimate","26,806","22,404","4,402"
"Ann Arbor city, Michigan","","",""
"    Estimate","119,341","103,335","16,006"
"Auburn Hills city, Michigan","","",""
"    Estimate","24,683","18,429","6,254"
"Battle Creek city, Michigan","","",""
"    Estimate","50,194","32,974","17,220"
"Bay City city, Michigan","","",""
"    Estimate","32,477","20,355","12,122"
"Birmingham city, Michigan","","",""
"    Estimate","21,945","19,606","2,339"
"Burton city, Michigan","","",""
"    Estimate","28,484","16,535","11,949"
"Dearborn city, Michigan","","",""
"    Estimate","93,599","46,659","46,940"
"Dearborn Heights city, Michigan","","",""
"    Estimate","54,967","29,139","25,828"
"Detroit city, Michigan","","",""
"    Estimate","664,745","291,762","372,983"
"East Lansing city, Michigan","","",""
"    Estimate","49,571","42,439","7,132"
"Eastpointe city, Michigan","","",""
"    Estimate","32,079","20,235","11,844"
"Farmington Hills city, Michigan","","",""
"    Estimate","80,268","68,170","12,098"
"Ferndale city, Michigan","","",""
"    Estimate","19,447","15,988","3,459"
"Flint city, Michigan","","",""
"    Estimate","94,852","37,658","57,194"
"Forest Hills CDP, Michigan","","",""
"    Estimate","28,669","25,768","2,901"
"Garden City city, Michigan","","",""
"    Estimate","26,394","19,072","7,322"
"Grand Rapids city, Michigan","","",""
"    Estimate","197,499","116,313","81,186"
"Hamtramck city, Michigan","","",""
"    Estimate","24,335","6,687","17,648"
"Holland city, Michigan","","",""
"    Estimate","32,989","23,934","9,055"
"Holt CDP, Michigan","","",""
"    Estimate","26,884","21,399","5,485"
"Inkster city, Michigan","","",""
"    Estimate","24,136","10,284","13,852"
"Jackson city, Michigan","","",""
"    Estimate","31,981","14,274","17,707"
"Kalamazoo city, Michigan","","",""
"    Estimate","75,034","48,355","26,679"
"Kentwood city, Michigan","","",""
"    Estimate","51,698","38,998","12,700"
"Lansing city, Michigan","","",""
"    Estimate","116,321","68,103","48,218"
"Lincoln Park city, Michigan","","",""
"    Estimate","36,270","19,812","16,458"
"Livonia city, Michigan","","",""
"    Estimate","92,724","77,841","14,883"
"Madison Heights city, Michigan","","",""
"    Estimate","29,755","21,248","8,507"
"Marquette city, Michigan","","",""
"    Estimate","19,652","14,645","5,007"
"Midland city, Michigan","","",""
"    Estimate","40,995","32,739","8,256"
"Monroe city, Michigan","","",""
"    Estimate","19,378","11,479","7,899"
"Mount Pleasant city, Michigan","","",""
"    Estimate","24,352","16,782","7,570"
"Muskegon city, Michigan","","",""
"    Estimate","32,901","16,261","16,640"
"Norton Shores city, Michigan","","",""
"    Estimate","24,660","20,598","4,062"
"Novi city, Michigan","","",""
"    Estimate","60,628","52,838","7,790"
"Oak Park city, Michigan","","",""
"    Estimate","29,331","18,243","11,088"
"Okemos CDP, Michigan","","",""
"    Estimate","23,849","20,004","3,845"
"Pontiac city, Michigan","","",""
"    Estimate","57,904","27,964","29,940"
"Portage city, Michigan","","",""
"    Estimate","49,243","38,658","10,585"
"Port Huron city, Michigan","","",""
"    Estimate","28,529","14,430","14,099"
"Rochester Hills city, Michigan","","",""
"    Estimate","73,978","64,226","9,752"
"Romulus city, Michigan","","",""
"    Estimate","26,399","16,486","9,913"
"Roseville city, Michigan","","",""
"    Estimate","46,924","32,255","14,669"
"Royal Oak city, Michigan","","",""
"    Estimate","58,901","50,559","8,342"
"Saginaw city, Michigan","","",""
"    Estimate","47,348","20,630","26,718"
"St. Clair Shores city, Michigan","","",""
"    Estimate","58,623","48,390","10,233"
"Southfield city, Michigan","","",""
"    Estimate","71,906","51,722","20,184"
"Southgate city, Michigan","","",""
"    Estimate","28,896","22,354","6,542"
"Sterling Heights city, Michigan","","",""
"    Estimate","131,783","92,679","39,104"
"Taylor city, Michigan","","",""
"    Estimate","60,298","42,718","17,580"
"Troy city, Michigan","","",""
"    Estimate","83,929","72,310","11,619"
"Walker city, Michigan","","",""
"    Estimate","24,741","18,680","6,061"
"Warren city, Michigan","","",""
"    Estimate","132,841","85,976","46,865"
"Waverly CDP, Michigan","","",""
"    Estimate","25,209","20,842","4,367"
"Westland city, Michigan","","",""
"    Estimate","80,890","57,537","23,353"
"Wyandotte city, Michigan","","",""
"    Estimate","24,675","18,190","6,485"
"Wyoming city, Michigan","","",""
"    Estimate","75,294","54,750","20,544"
"Ypsilanti city, Michigan","","",""
"    Estimate","23,518","13,591","9,927"
"Andover city, Minnesota","","",""
"    Estimate","33,142","30,162","2,980"
"Apple Valley city, Minnesota","","",""
"    Estimate","54,876","44,515","10,361"
"Austin city, Minnesota","","",""
"    Estimate","25,094","16,172","8,922"
"Blaine city, Minnesota","","",""
"    Estimate","65,502","50,666","14,836"
"Bloomington city, Minnesota","","",""
"    Estimate","84,142","65,245","18,897"
"Brooklyn Center city, Minnesota","","",""
"    Estimate","30,549","16,750","13,799"
"Brooklyn Park city, Minnesota","","",""
"    Estimate","80,370","56,384","23,986"
"Burnsville city, Minnesota","","",""
"    Estimate","61,055","43,474","17,581"
"Champlin city, Minnesota","","",""
"    Estimate","25,215","21,313","3,902"
"Chanhassen city, Minnesota","","",""
"    Estimate","26,387","24,014","2,373"
"Chaska city, Minnesota","","",""
"    Estimate","26,870","22,437","4,433"
"Columbia Heights city, Minnesota","","",""
"    Estimate","21,620","12,902","8,718"
"Coon Rapids city, Minnesota","","",""
"    Estimate","62,677","44,113","18,564"
"Cottage Grove city, Minnesota","","",""
"    Estimate","37,580","31,156","6,424"
"Crystal city, Minnesota","","",""
"    Estimate","23,749","17,386","6,363"
"Duluth city, Minnesota","","",""
"    Estimate","84,233","62,418","21,815"
"Eagan city, Minnesota","","",""
"    Estimate","66,142","49,751","16,391"
"Eden Prairie city, Minnesota","","",""
"    Estimate","64,845","54,109","10,736"
"Edina city, Minnesota","","",""
"    Estimate","52,637","48,793","3,844"
"Elk River city, Minnesota","","",""
"    Estimate","24,426","20,559","3,867"
"Faribault city, Minnesota","","",""
"    Estimate","19,282","10,780","8,502"
"Farmington city, Minnesota","","",""
"    Estimate","19,713","17,326","2,387"
"Forest Lake city, Minnesota","","",""
"    Estimate","21,480","16,577","4,903"
"Fridley city, Minnesota","","",""
"    Estimate","27,773","19,103","8,670"
"Golden Valley city, Minnesota","","",""
"    Estimate","20,649","17,354","3,295"
"Hastings city, Minnesota","","",""
"    Estimate","23,706","19,807","3,899"
"Inver Grove Heights city, Minnesota","","",""
"    Estimate","35,545","26,663","8,882"
"Lakeville city, Minnesota","","",""
"    Estimate","67,175","57,565","9,610"
"Lino Lakes city, Minnesota","","",""
"    Estimate","19,662","17,357","2,305"
"Mankato city, Minnesota","","",""
"    Estimate","42,424","29,700","12,724"
"Maple Grove city, Minnesota","","",""
"    Estimate","72,605","62,395","10,210"
"Maplewood city, Minnesota","","",""
"    Estimate","40,343","28,045","12,298"
"Minneapolis city, Minnesota","","",""
"    Estimate","425,939","285,236","140,703"
"Minnetonka city, Minnesota","","",""
"    Estimate","53,762","47,023","6,739"
"Moorhead city, Minnesota","","",""
"    Estimate","43,080","35,570","7,510"
"New Brighton city, Minnesota","","",""
"    Estimate","21,363","14,698","6,665"
"New Hope city, Minnesota","","",""
"    Estimate","19,847","14,477","5,370"
"Northfield city, Minnesota","","",""
"    Estimate","21,092","18,097","2,995"
"Oakdale city, Minnesota","","",""
"    Estimate","27,950","19,889","8,061"
"Owatonna city, Minnesota","","",""
"    Estimate","24,527","19,118","5,409"
"Plymouth city, Minnesota","","",""
"    Estimate","79,237","67,795","11,442"
"Prior Lake city, Minnesota","","",""
"    Estimate","27,082","24,253","2,829"
"Ramsey city, Minnesota","","",""
"    Estimate","27,704","22,801","4,903"
"Richfield city, Minnesota","","",""
"    Estimate","36,080","24,334","11,746"
"Rochester city, Minnesota","","",""
"    Estimate","117,236","94,059","23,177"
"Rosemount city, Minnesota","","",""
"    Estimate","25,195","22,970","2,225"
"Roseville city, Minnesota","","",""
"    Estimate","36,086","28,955","7,131"
"St. Cloud city, Minnesota","","",""
"    Estimate","64,529","41,005","23,524"
"St. Louis Park city, Minnesota","","",""
"    Estimate","48,102","39,233","8,869"
"St. Michael city, Minnesota","","",""
"    Estimate","23,644","21,247","2,397"
"St. Paul city, Minnesota","","",""
"    Estimate","305,974","196,531","109,443"
"Savage city, Minnesota","","",""
"    Estimate","32,367","29,433","2,934"
"Shakopee city, Minnesota","","",""
"    Estimate","40,355","30,541","9,814"
"Shoreview city, Minnesota","","",""
"    Estimate","27,122","22,911","4,211"
"South St. Paul city, Minnesota","","",""
"    Estimate","22,095","17,023","5,072"
"Stillwater city, Minnesota","","",""
"    Estimate","19,533","17,251","2,282"
"West St. Paul city, Minnesota","","",""
"    Estimate","19,289","14,455","4,834"
"White Bear Lake city, Minnesota","","",""
"    Estimate","25,404","18,813","6,591"
"Willmar city, Minnesota","","",""
"    Estimate","18,416","10,782","7,634"
"Winona city, Minnesota","","",""
"    Estimate","25,567","21,041","4,526"
"Woodbury city, Minnesota","","",""
"    Estimate","72,453","63,087","9,366"
"Biloxi city, Mississippi","","",""
"    Estimate","41,158","24,828","16,330"
"Brandon city, Mississippi","","",""
"    Estimate","23,558","20,046","3,512"
"Clinton city, Mississippi","","",""
"    Estimate","24,373","16,099","8,274"
"Columbus city, Mississippi","","",""
"    Estimate","19,760","12,585","7,175"
"Greenville city, Mississippi","","",""
"    Estimate","27,309","9,929","17,380"
"Gulfport city, Mississippi","","",""
"    Estimate","69,165","35,203","33,962"
"Hattiesburg city, Mississippi","","",""
"    Estimate","44,673","24,943","19,730"
"Horn Lake city, Mississippi","","",""
"    Estimate","27,121","17,541","9,580"
"Jackson city, Mississippi","","",""
"    Estimate","159,138","75,742","83,396"
"Madison city, Mississippi","","",""
"    Estimate","25,655","22,155","3,500"
"Meridian city, Mississippi","","",""
"    Estimate","34,351","16,503","17,848"
"Olive Branch city, Mississippi","","",""
"    Estimate","38,924","29,225","9,699"
"Oxford city, Mississippi","","",""
"    Estimate","27,471","19,969","7,502"
"Pascagoula city, Mississippi","","",""
"    Estimate","25,148","12,322","12,826"
"Pearl city, Mississippi","","",""
"    Estimate","26,456","15,038","11,418"
"Ridgeland city, Mississippi","","",""
"    Estimate","23,866","17,987","5,879"
"Southaven city, Mississippi","","",""
"    Estimate","55,185","39,853","15,332"
"Starkville city, Mississippi","","",""
"    Estimate","18,689","14,798","3,891"
"Tupelo city, Mississippi","","",""
"    Estimate","37,583","24,275","13,308"
"Vicksburg city, Mississippi","","",""
"    Estimate","25,992","11,493","14,499"
"Affton CDP, Missouri","","",""
"    Estimate","21,267","14,326","6,941"
"Arnold city, Missouri","","",""
"    Estimate","20,037","13,882","6,155"
"Ballwin city, Missouri","","",""
"    Estimate","30,092","25,484","4,608"
"Belton city, Missouri","","",""
"    Estimate","23,694","17,379","6,315"
"Blue Springs city, Missouri","","",""
"    Estimate","55,526","46,342","9,184"
"Cape Girardeau city, Missouri","","",""
"    Estimate","39,752","28,617","11,135"
"Chesterfield city, Missouri","","",""
"    Estimate","46,685","40,444","6,241"
"Columbia city, Missouri","","",""
"    Estimate","122,153","97,060","25,093"
"Florissant city, Missouri","","",""
"    Estimate","50,282","36,254","14,028"
"Gladstone city, Missouri","","",""
"    Estimate","27,417","16,681","10,736"
"Grandview city, Missouri","","",""
"    Estimate","24,757","14,431","10,326"
"Hazelwood city, Missouri","","",""
"    Estimate","24,999","18,737","6,262"
"Independence city, Missouri","","",""
"    Estimate","115,509","71,958","43,551"
"Jefferson City city, Missouri","","",""
"    Estimate","37,430","25,378","12,052"
"Joplin city, Missouri","","",""
"    Estimate","50,907","27,400","23,507"
"Kansas City city, Missouri","","",""
"    Estimate","490,666","337,400","153,266"
"Kirkwood city, Missouri","","",""
"    Estimate","27,566","23,486","4,080"
"Lee's Summit city, Missouri","","",""
"    Estimate","98,415","84,385","14,030"
"Liberty city, Missouri","","",""
"    Estimate","31,607","24,552","7,055"
"Maryland Heights city, Missouri","","",""
"    Estimate","26,413","22,839","3,574"
"Mehlville CDP, Missouri","","",""
"    Estimate","25,010","16,148","8,862"
"Nixa city, Missouri","","",""
"    Estimate","23,615","17,900","5,715"
"Oakville CDP, Missouri","","",""
"    Estimate","33,429","30,220","3,209"
"O'Fallon city, Missouri","","",""
"    Estimate","88,164","74,994","13,170"
"Old Jamestown CDP, Missouri","","",""
"    Estimate","22,919","18,817","4,102"
"Ozark city, Missouri","","",""
"    Estimate","20,584","13,513","7,071"
"Raytown city, Missouri","","",""
"    Estimate","28,569","19,320","9,249"
"St. Charles city, Missouri","","",""
"    Estimate","69,890","56,763","13,127"
"St. Joseph city, Missouri","","",""
"    Estimate","71,924","44,607","27,317"
"St. Louis city, Missouri","","",""
"    Estimate","296,219","187,701","108,518"
"St. Peters city, Missouri","","",""
"    Estimate","57,995","48,909","9,086"
"Sedalia city, Missouri","","",""
"    Estimate","22,438","13,744","8,694"
"Springfield city, Missouri","","",""
"    Estimate","164,578","98,119","66,459"
"University City city, Missouri","","",""
"    Estimate","33,960","25,037","8,923"
"Warrensburg city, Missouri","","",""
"    Estimate","17,985","13,453","4,532"
"Webster Groves city, Missouri","","",""
"    Estimate","24,065","20,772","3,293"
"Wentzville city, Missouri","","",""
"    Estimate","41,640","37,073","4,567"
"Wildwood city, Missouri","","",""
"    Estimate","35,366","31,803","3,563"
"Billings city, Montana","","",""
"    Estimate","107,714","73,771","33,943"
"Bozeman city, Montana","","",""
"    Estimate","49,514","37,432","12,082"
"Butte-Silver Bow (balance), Montana","","",""
"    Estimate","33,381","21,746","11,635"
"Great Falls city, Montana","","",""
"    Estimate","55,581","33,898","21,683"
"Helena city, Montana","","",""
"    Estimate","32,628","25,471","7,157"
"Kalispell city, Montana","","",""
"    Estimate","24,292","17,492","6,800"
"Missoula city, Montana","","",""
"    Estimate","75,016","56,111","18,905"
"Bellevue city, Nebraska","","",""
"    Estimate","52,097","38,581","13,516"
"Columbus city, Nebraska","","",""
"    Estimate","22,664","16,936","5,728"
"Fremont city, Nebraska","","",""
"    Estimate","24,563","18,349","6,214"
"Grand Island city, Nebraska","","",""
"    Estimate","49,668","33,964","15,704"
"Hastings city, Nebraska","","",""
"    Estimate","25,773","16,638","9,135"
"Kearney city, Nebraska","","",""
"    Estimate","31,882","22,829","9,053"
"Lincoln city, Nebraska","","",""
"    Estimate","284,423","223,501","60,922"
"Norfolk city, Nebraska","","",""
"    Estimate","22,839","15,236","7,603"
"North Platte city, Nebraska","","",""
"    Estimate","22,469","14,839","7,630"
"Omaha city, Nebraska","","",""
"    Estimate","472,042","336,826","135,216"
"Papillion city, Nebraska","","",""
"    Estimate","21,780","18,480","3,300"
"Carson City, Nevada","","",""
"    Estimate","53,883","33,843","20,040"
"Elko city, Nevada","","",""
"    Estimate","21,034","16,789","4,245"
"Enterprise CDP, Nevada","","",""
"    Estimate","191,668","151,607","40,061"
"Fernley city, Nevada","","",""
"    Estimate","23,598","16,466","7,132"
"Henderson city, Nevada","","",""
"    Estimate","318,199","237,007","81,192"
"Las Vegas city, Nevada","","",""
"    Estimate","642,696","392,979","249,717"
"Mesquite city, Nevada","","",""
"    Estimate","20,899","12,503","8,396"
"North Las Vegas city, Nevada","","",""
"    Estimate","247,573","155,814","91,759"
"Pahrump CDP, Nevada","","",""
"    Estimate","40,307","15,728","24,579"
"Paradise CDP, Nevada","","",""
"    Estimate","236,942","141,678","95,264"
"Reno city, Nevada","","",""
"    Estimate","253,193","180,249","72,944"
"Sparks city, Nevada","","",""
"    Estimate","104,680","75,112","29,568"
"Spring Valley CDP, Nevada","","",""
"    Estimate","222,342","144,287","78,055"
"Summerlin South CDP, Nevada","","",""
"    Estimate","29,857","23,618","6,239"
"Sunrise Manor CDP, Nevada","","",""
"    Estimate","192,592","81,487","111,105"
"Sun Valley CDP, Nevada","","",""
"    Estimate","21,272","10,131","11,141"
"Whitney CDP, Nevada","","",""
"    Estimate","37,733","22,768","14,965"
"Winchester CDP, Nevada","","",""
"    Estimate","25,075","10,292","14,783"
"Concord city, New Hampshire","","",""
"    Estimate","41,326","30,781","10,545"
"Derry CDP, New Hampshire","","",""
"    Estimate","20,827","15,050","5,777"
"Dover city, New Hampshire","","",""
"    Estimate","31,316","26,855","4,461"
"Keene city, New Hampshire","","",""
"    Estimate","21,818","18,022","3,796"
"Manchester city, New Hampshire","","",""
"    Estimate","110,694","69,861","40,833"
"Nashua city, New Hampshire","","",""
"    Estimate","88,785","65,415","23,370"
"Portsmouth city, New Hampshire","","",""
"    Estimate","25,410","20,770","4,640"
"Rochester city, New Hampshire","","",""
"    Estimate","31,172","20,208","10,964"
"Atlantic City city, New Jersey","","",""
"    Estimate","37,626","12,780","24,846"
"Bayonne city, New Jersey","","",""
"    Estimate","64,722","40,198","24,524"
"Bergenfield borough, New Jersey","","",""
"    Estimate","27,320","22,210","5,110"
"Bridgeton city, New Jersey","","",""
"    Estimate","19,940","6,340","13,600"
"Camden city, New Jersey","","",""
"    Estimate","71,771","22,919","48,852"
"Carteret borough, New Jersey","","",""
"    Estimate","27,274","15,571","11,703"
"Cliffside Park borough, New Jersey","","",""
"    Estimate","26,138","12,009","14,129"
"Clifton city, New Jersey","","",""
"    Estimate","84,857","52,407","32,450"
"East Orange city, New Jersey","","",""
"    Estimate","63,663","32,042","31,621"
"Elizabeth city, New Jersey","","",""
"    Estimate","127,612","52,844","74,768"
"Elmwood Park borough, New Jersey","","",""
"    Estimate","22,842","16,471","6,371"
"Englewood city, New Jersey","","",""
"    Estimate","28,182","18,908","9,274"
"Fair Lawn borough, New Jersey","","",""
"    Estimate","32,757","28,841","3,916"
"Fort Lee borough, New Jersey","","",""
"    Estimate","38,439","25,865","12,574"
"Garfield city, New Jersey","","",""
"    Estimate","31,804","14,890","16,914"
"Glassboro borough, New Jersey","","",""
"    Estimate","22,080","14,387","7,693"
"Hackensack city, New Jersey","","",""
"    Estimate","43,868","31,862","12,006"
"Hawthorne borough, New Jersey","","",""
"    Estimate","20,790","15,345","5,445"
"Hoboken city, New Jersey","","",""
"    Estimate","52,671","46,964","5,707"
"Jersey City city, New Jersey","","",""
"    Estimate","260,773","169,928","90,845"
"Kearny town, New Jersey","","",""
"    Estimate","38,763","22,501","16,262"
"Lakewood CDP, New Jersey","","",""
"    Estimate","58,088","24,812","33,276"
"Linden city, New Jersey","","",""
"    Estimate","42,043","26,771","15,272"
"Lodi borough, New Jersey","","",""
"    Estimate","24,302","12,290","12,012"
"Long Branch city, New Jersey","","",""
"    Estimate","30,172","17,679","12,493"
"Millville city, New Jersey","","",""
"    Estimate","27,201","17,186","10,015"
"Morristown town, New Jersey","","",""
"    Estimate","20,136","17,355","2,781"
"Newark city, New Jersey","","",""
"    Estimate","273,656","113,609","160,047"
"New Brunswick city, New Jersey","","",""
"    Estimate","55,467","27,457","28,010"
"North Plainfield borough, New Jersey","","",""
"    Estimate","21,037","14,177","6,860"
"Old Bridge CDP, New Jersey","","",""
"    Estimate","26,982","20,539","6,443"
"Palisades Park borough, New Jersey","","",""
"    Estimate","20,989","11,358","9,631"
"Paramus borough, New Jersey","","",""
"    Estimate","24,533","20,854","3,679"
"Passaic city, New Jersey","","",""
"    Estimate","69,555","23,013","46,542"
"Paterson city, New Jersey","","",""
"    Estimate","144,313","49,452","94,861"
"Perth Amboy city, New Jersey","","",""
"    Estimate","51,029","25,519","25,510"
"Plainfield city, New Jersey","","",""
"    Estimate","49,970","19,335","30,635"
"Point Pleasant borough, New Jersey","","",""
"    Estimate","23,844","20,021","3,823"
"Princeton, New Jersey","","",""
"    Estimate","30,953","28,194","2,759"
"Rahway city, New Jersey","","",""
"    Estimate","29,780","23,285","6,495"
"Ridgewood village, New Jersey","","",""
"    Estimate","24,873","22,571","2,302"
"Roselle borough, New Jersey","","",""
"    Estimate","23,368","15,566","7,802"
"Rutherford borough, New Jersey","","",""
"    Estimate","21,385","18,015","3,370"
"Sayreville borough, New Jersey","","",""
"    Estimate","44,173","36,100","8,073"
"Secaucus town, New Jersey","","",""
"    Estimate","19,533","15,307","4,226"
"Somerset CDP, New Jersey","","",""
"    Estimate","25,156","19,805","5,351"
"South Plainfield borough, New Jersey","","",""
"    Estimate","23,881","20,318","3,563"
"Summit city, New Jersey","","",""
"    Estimate","20,718","16,697","4,021"
"Toms River CDP, New Jersey","","",""
"    Estimate","89,932","70,714","19,218"
"Trenton city, New Jersey","","",""
"    Estimate","79,929","34,436","45,493"
"Union City city, New Jersey","","",""
"    Estimate","67,555","32,817","34,738"
"Vineland city, New Jersey","","",""
"    Estimate","58,133","37,266","20,867"
"Westfield town, New Jersey","","",""
"    Estimate","29,258","24,902","4,356"
"West New York town, New Jersey","","",""
"    Estimate","52,732","19,824","32,908"
"Woodbridge CDP, New Jersey","","",""
"    Estimate","19,359","14,048","5,311"
"Alamogordo city, New Mexico","","",""
"    Estimate","29,242","14,492","14,750"
"Albuquerque city, New Mexico","","",""
"    Estimate","556,669","336,707","219,962"
"Carlsbad city, New Mexico","","",""
"    Estimate","29,348","17,068","12,280"
"Clovis city, New Mexico","","",""
"    Estimate","35,548","18,610","16,938"
"Farmington city, New Mexico","","",""
"    Estimate","43,244","23,300","19,944"
"Gallup city, New Mexico","","",""
"    Estimate","23,200","7,327","15,873"
"Hobbs city, New Mexico","","",""
"    Estimate","37,457","21,050","16,407"
"Las Cruces city, New Mexico","","",""
"    Estimate","101,666","56,835","44,831"
"Rio Rancho city, New Mexico","","",""
"    Estimate","98,769","71,332","27,437"
"Roswell city, New Mexico","","",""
"    Estimate","47,033","24,151","22,882"
"Santa Fe city, New Mexico","","",""
"    Estimate","84,437","45,262","39,175"
"South Valley CDP, New Mexico","","",""
"    Estimate","39,124","17,081","22,043"
"Albany city, New York","","",""
"    Estimate","95,164","63,701","31,463"
"Auburn city, New York","","",""
"    Estimate","24,036","12,522","11,514"
"Baldwin CDP, New York","","",""
"    Estimate","26,118","20,929","5,189"
"Bay Shore CDP, New York","","",""
"    Estimate","24,786","19,131","5,655"
"Binghamton city, New York","","",""
"    Estimate","43,250","23,903","19,347"
"Brentwood CDP, New York","","",""
"    Estimate","60,973","36,874","24,099"
"Brighton CDP, New York","","",""
"    Estimate","34,822","27,670","7,152"
"Buffalo city, New York","","",""
"    Estimate","252,920","131,560","121,360"
"Centereach CDP, New York","","",""
"    Estimate","27,121","22,931","4,190"
"Central Islip CDP, New York","","",""
"    Estimate","34,597","19,193","15,404"
"Cheektowaga CDP, New York","","",""
"    Estimate","73,751","54,414","19,337"
"Cohoes city, New York","","",""
"    Estimate","19,567","12,252","7,315"
"Commack CDP, New York","","",""
"    Estimate","40,261","36,148","4,113"
"Copiague CDP, New York","","",""
"    Estimate","21,407","15,056","6,351"
"Coram CDP, New York","","",""
"    Estimate","39,443","30,204","9,239"
"Cortland city, New York","","",""
"    Estimate","20,036","14,038","5,998"
"Deer Park CDP, New York","","",""
"    Estimate","24,699","20,400","4,299"
"Dix Hills CDP, New York","","",""
"    Estimate","22,797","19,124","3,673"
"Eastchester CDP, New York","","",""
"    Estimate","21,713","19,667","2,046"
