"Label (Grouping)","Total:","Total:!!With public coverage","Total:!!No public coverage"
"Chelsea city, Massachusetts","","",""
"    Estimate","39,140","24,052","15,088"
"Chicopee city, Massachusetts","","",""
"    Estimate","54,295","23,685","30,610"
"Danvers CDP, Massachusetts","","",""
"    Estimate","27,114","9,480","17,634"
"Dedham CDP, Massachusetts","","",""
"    Estimate","24,253","6,063","18,190"
"Everett city, Massachusetts","","",""
"    Estimate","46,324","22,543","23,781"
"Fall River city, Massachusetts","","",""
"    Estimate","88,486","55,853","32,633"
"Fitchburg city, Massachusetts","","",""
"    Estimate","40,179","21,751","18,428"
"Framingham city, Massachusetts","","",""
"    Estimate","72,749","31,845","40,904"
"Franklin Town city, Massachusetts","","",""
"    Estimate","33,997","6,941","27,056"
"Gardner city, Massachusetts","","",""
"    Estimate","18,773","9,002","9,771"
"Gloucester city, Massachusetts","","",""
"    Estimate","30,220","13,016","17,204"
"Haverhill city, Massachusetts","","",""
"    Estimate","63,373","27,593","35,780"
"Holyoke city, Massachusetts","","",""
"    Estimate","39,185","22,301","16,884"
"Lawrence city, Massachusetts","","",""
"    Estimate","78,921","49,306","29,615"
"Leominster city, Massachusetts","","",""
"    Estimate","41,504","16,500","25,004"
"Lexington CDP, Massachusetts","","",""
"    Estimate","32,908","6,545","26,363"
"Lowell city, Massachusetts","","",""
"    Estimate","109,954","48,391","61,563"
"Lynn city, Massachusetts","","",""
"    Estimate","94,013","52,439","41,574"
"Malden city, Massachusetts","","",""
"    Estimate","60,380","25,038","35,342"
"Marblehead CDP, Massachusetts","","",""
"    Estimate","25,326","7,569","17,757"
"Marlborough city, Massachusetts","","",""
"    Estimate","39,162","16,723","22,439"
"Medford city, Massachusetts","","",""
"    Estimate","56,846","16,062","40,784"
"Melrose city, Massachusetts","","",""
"    Estimate","27,740","6,468","21,272"
"Methuen Town city, Massachusetts","","",""
"    Estimate","50,390","23,433","26,957"
"Milford CDP, Massachusetts","","",""
"    Estimate","27,372","11,957","15,415"
"Milton CDP, Massachusetts","","",""
"    Estimate","27,450","7,113","20,337"
"Needham CDP, Massachusetts","","",""
"    Estimate","30,974","5,962","25,012"
"New Bedford city, Massachusetts","","",""
"    Estimate","93,979","52,790","41,189"
"Newburyport city, Massachusetts","","",""
"    Estimate","20,923","4,017","16,906"
"Newton city, Massachusetts","","",""
"    Estimate","87,788","20,779","67,009"
"Northampton city, Massachusetts","","",""
"    Estimate","27,538","10,811","16,727"
"Norwood CDP, Massachusetts","","",""
"    Estimate","29,339","10,978","18,361"
"Peabody city, Massachusetts","","",""
"    Estimate","52,683","21,390","31,293"
"Pittsfield city, Massachusetts","","",""
"    Estimate","41,499","23,353","18,146"
"Quincy city, Massachusetts","","",""
"    Estimate","93,937","37,345","56,592"
"Randolph Town city, Massachusetts","","",""
"    Estimate","33,989","13,378","20,611"
"Reading CDP, Massachusetts","","",""
"    Estimate","25,253","6,957","18,296"
"Revere city, Massachusetts","","",""
"    Estimate","52,870","24,798","28,072"
"Salem city, Massachusetts","","",""
"    Estimate","43,079","15,996","27,083"
"Saugus CDP, Massachusetts","","",""
"    Estimate","28,133","10,945","17,188"
"Somerville city, Massachusetts","","",""
"    Estimate","81,280","17,956","63,324"
"Springfield city, Massachusetts","","",""
"    Estimate","152,778","88,287","64,491"
"Stoneham CDP, Massachusetts","","",""
"    Estimate","24,054","7,812","16,242"
"Taunton city, Massachusetts","","",""
"    Estimate","57,086","30,083","27,003"
"Wakefield CDP, Massachusetts","","",""
"    Estimate","26,680","8,750","17,930"
"Waltham city, Massachusetts","","",""
"    Estimate","62,280","17,891","44,389"
"Watertown Town city, Massachusetts","","",""
"    Estimate","35,923","8,567","27,356"
"Wellesley CDP, Massachusetts","","",""
"    Estimate","28,479","5,088","23,391"
"Westfield city, Massachusetts","","",""
"    Estimate","40,409","20,051","20,358"
"West Springfield Town city, Massachusetts","","",""
"    Estimate","28,323","12,384","15,939"
"Weymouth Town city, Massachusetts","","",""
"    Estimate","57,380","17,349","40,031"
"Wilmington CDP, Massachusetts","","",""
"    Estimate","19,536","4,580","14,956"
"Winchester CDP, Massachusetts","","",""
"    Estimate","23,108","3,780","19,328"
"Woburn city, Massachusetts","","",""
"    Estimate","39,989","13,396","26,593"
"Worcester city, Massachusetts","","",""
"    Estimate","183,634","86,390","97,244"
"Adrian city, Michigan","","",""
"    Estimate","19,975","10,418","9,557"
"Allendale CDP, Michigan","","",""
"    Estimate","22,872","3,202","19,670"
"Allen Park city, Michigan","","",""
"    Estimate","26,806","8,629","18,177"
"Ann Arbor city, Michigan","","",""
"    Estimate","119,341","22,716","96,625"
"Auburn Hills city, Michigan","","",""
"    Estimate","24,683","7,115","17,568"
"Battle Creek city, Michigan","","",""
"    Estimate","50,194","21,077","29,117"
"Bay City city, Michigan","","",""
"    Estimate","32,477","14,745","17,732"
"Birmingham city, Michigan","","",""
"    Estimate","21,945","4,430","17,515"
"Burton city, Michigan","","",""
"    Estimate","28,484","15,103","13,381"
"Dearborn city, Michigan","","",""
"    Estimate","93,599","51,571","42,028"
"Dearborn Heights city, Michigan","","",""
"    Estimate","54,967","28,275","26,692"
"Detroit city, Michigan","","",""
"    Estimate","664,745","392,610","272,135"
"East Lansing city, Michigan","","",""
"    Estimate","49,571","7,307","42,264"
"Eastpointe city, Michigan","","",""
"    Estimate","32,079","13,440","18,639"
"Farmington Hills city, Michigan","","",""
"    Estimate","80,268","21,009","59,259"
"Ferndale city, Michigan","","",""
"    Estimate","19,447","4,735","14,712"
"Flint city, Michigan","","",""
"    Estimate","94,852","64,841","30,011"
"Forest Hills CDP, Michigan","","",""
"    Estimate","28,669","5,036","23,633"
"Garden City city, Michigan","","",""
"    Estimate","26,394","9,279","17,115"
"Grand Rapids city, Michigan","","",""
"    Estimate","197,499","78,236","119,263"
"Hamtramck city, Michigan","","",""
"    Estimate","24,335","16,082","8,253"
"Holland city, Michigan","","",""
"    Estimate","32,989","11,165","21,824"
"Holt CDP, Michigan","","",""
"    Estimate","26,884","8,123","18,761"
"Inkster city, Michigan","","",""
"    Estimate","24,136","14,997","9,139"
"Jackson city, Michigan","","",""
"    Estimate","31,981","18,760","13,221"
"Kalamazoo city, Michigan","","",""
"    Estimate","75,034","30,290","44,744"
"Kentwood city, Michigan","","",""
"    Estimate","51,698","15,437","36,261"
"Lansing city, Michigan","","",""
"    Estimate","116,321","53,340","62,981"
"Lincoln Park city, Michigan","","",""
"    Estimate","36,270","18,188","18,082"
"Livonia city, Michigan","","",""
"    Estimate","92,724","30,093","62,631"
"Madison Heights city, Michigan","","",""
"    Estimate","29,755","11,449","18,306"
"Marquette city, Michigan","","",""
"    Estimate","19,652","6,652","13,000"
"Midland city, Michigan","","",""
"    Estimate","40,995","12,500","28,495"
"Monroe city, Michigan","","",""
"    Estimate","19,378","9,490","9,888"
"Mount Pleasant city, Michigan","","",""
"    Estimate","24,352","8,098","16,254"
"Muskegon city, Michigan","","",""
"    Estimate","32,901","18,502","14,399"
"Norton Shores city, Michigan","","",""
"    Estimate","24,660","7,082","17,578"
"Novi city, Michigan","","",""
"    Estimate","60,628","11,477","49,151"
"Oak Park city, Michigan","","",""
"    Estimate","29,331","13,147","16,184"
"Okemos CDP, Michigan","","",""
"    Estimate","23,849","6,822","17,027"
"Pontiac city, Michigan","","",""
"    Estimate","57,904","25,895","32,009"
"Portage city, Michigan","","",""
"    Estimate","49,243","13,161","36,082"
"Port Huron city, Michigan","","",""
"    Estimate","28,529","16,602","11,927"
"Rochester Hills city, Michigan","","",""
"    Estimate","73,978","18,270","55,708"
"Romulus city, Michigan","","",""
"    Estimate","26,399","10,197","16,202"
"Roseville city, Michigan","","",""
"    Estimate","46,924","18,665","28,259"
"Royal Oak city, Michigan","","",""
"    Estimate","58,901","13,487","45,414"
"Saginaw city, Michigan","","",""
"    Estimate","47,348","31,525","15,823"
"St. Clair Shores city, Michigan","","",""
"    Estimate","58,623","18,622","40,001"
"Southfield city, Michigan","","",""
"    Estimate","71,906","29,083","42,823"
"Southgate city, Michigan","","",""
"    Estimate","28,896","11,404","17,492"
"Sterling Heights city, Michigan","","",""
"    Estimate","131,783","52,978","78,805"
"Taylor city, Michigan","","",""
"    Estimate","60,298","23,614","36,684"
"Troy city, Michigan","","",""
"    Estimate","83,929","19,439","64,490"
"Walker city, Michigan","","",""
"    Estimate","24,741","9,229","15,512"
"Warren city, Michigan","","",""
"    Estimate","132,841","58,995","73,846"
"Waverly CDP, Michigan","","",""
"    Estimate","25,209","8,674","16,535"
"Westland city, Michigan","","",""
"    Estimate","80,890","30,483","50,407"
"Wyandotte city, Michigan","","",""
"    Estimate","24,675","10,099","14,576"
"Wyoming city, Michigan","","",""
"    Estimate","75,294","23,966","51,328"
"Ypsilanti city, Michigan","","",""
"    Estimate","23,518","9,995","13,523"
"Andover city, Minnesota","","",""
"    Estimate","33,142","6,313","26,829"
"Apple Valley city, Minnesota","","",""
"    Estimate","54,876","16,037","38,839"
"Austin city, Minnesota","","",""
"    Estimate","25,094","12,356","12,738"
"Blaine city, Minnesota","","",""
"    Estimate","65,502","18,794","46,708"
"Bloomington city, Minnesota","","",""
"    Estimate","84,142","29,135","55,007"
"Brooklyn Center city, Minnesota","","",""
"    Estimate","30,549","12,998","17,551"
"Brooklyn Park city, Minnesota","","",""
"    Estimate","80,370","27,698","52,672"
"Burnsville city, Minnesota","","",""
"    Estimate","61,055","23,877","37,178"
"Champlin city, Minnesota","","",""
"    Estimate","25,215","5,939","19,276"
"Chanhassen city, Minnesota","","",""
"    Estimate","26,387","4,309","22,078"
"Chaska city, Minnesota","","",""
"    Estimate","26,870","6,263","20,607"
"Columbia Heights city, Minnesota","","",""
"    Estimate","21,620","10,883","10,737"
"Coon Rapids city, Minnesota","","",""
"    Estimate","62,677","23,059","39,618"
"Cottage Grove city, Minnesota","","",""
"    Estimate","37,580","9,808","27,772"
"Crystal city, Minnesota","","",""
"    Estimate","23,749","8,449","15,300"
"Duluth city, Minnesota","","",""
"    Estimate","84,233","28,969","55,264"
"Eagan city, Minnesota","","",""
"    Estimate","66,142","20,607","45,535"
"Eden Prairie city, Minnesota","","",""
"    Estimate","64,845","16,026","48,819"
"Edina city, Minnesota","","",""
"    Estimate","52,637","11,633","41,004"
"Elk River city, Minnesota","","",""
"    Estimate","24,426","5,157","19,269"
"Faribault city, Minnesota","","",""
"    Estimate","19,282","7,721","11,561"
"Farmington city, Minnesota","","",""
"    Estimate","19,713","5,250","14,463"
"Forest Lake city, Minnesota","","",""
"    Estimate","21,480","6,866","14,614"
"Fridley city, Minnesota","","",""
"    Estimate","27,773","10,415","17,358"
"Golden Valley city, Minnesota","","",""
"    Estimate","20,649","5,947","14,702"
"Hastings city, Minnesota","","",""
"    Estimate","23,706","7,219","16,487"
"Inver Grove Heights city, Minnesota","","",""
"    Estimate","35,545","11,039","24,506"
"Lakeville city, Minnesota","","",""
"    Estimate","67,175","13,084","54,091"
"Lino Lakes city, Minnesota","","",""
"    Estimate","19,662","3,768","15,894"
"Mankato city, Minnesota","","",""
"    Estimate","42,424","14,134","28,290"
"Maple Grove city, Minnesota","","",""
"    Estimate","72,605","15,318","57,287"
"Maplewood city, Minnesota","","",""
"    Estimate","40,343","16,066","24,277"
"Minneapolis city, Minnesota","","",""
"    Estimate","425,939","142,787","283,152"
"Minnetonka city, Minnesota","","",""
"    Estimate","53,762","12,769","40,993"
"Moorhead city, Minnesota","","",""
"    Estimate","43,080","14,755","28,325"
"New Brighton city, Minnesota","","",""
"    Estimate","21,363","8,496","12,867"
"New Hope city, Minnesota","","",""
"    Estimate","19,847","7,451","12,396"
"Northfield city, Minnesota","","",""
"    Estimate","21,092","4,929","16,163"
"Oakdale city, Minnesota","","",""
"    Estimate","27,950","10,774","17,176"
"Owatonna city, Minnesota","","",""
"    Estimate","24,527","8,786","15,741"
"Plymouth city, Minnesota","","",""
"    Estimate","79,237","21,366","57,871"
"Prior Lake city, Minnesota","","",""
"    Estimate","27,082","5,043","22,039"
"Ramsey city, Minnesota","","",""
"    Estimate","27,704","7,456","20,248"
"Richfield city, Minnesota","","",""
"    Estimate","36,080","13,142","22,938"
"Rochester city, Minnesota","","",""
"    Estimate","117,236","33,168","84,068"
"Rosemount city, Minnesota","","",""
"    Estimate","25,195","4,342","20,853"
"Roseville city, Minnesota","","",""
"    Estimate","36,086","13,206","22,880"
"St. Cloud city, Minnesota","","",""
"    Estimate","64,529","28,238","36,291"
"St. Louis Park city, Minnesota","","",""
"    Estimate","48,102","13,255","34,847"
"St. Michael city, Minnesota","","",""
"    Estimate","23,644","1,967","21,677"
"St. Paul city, Minnesota","","",""
"    Estimate","305,974","116,945","189,029"
"Savage city, Minnesota","","",""
"    Estimate","32,367","4,384","27,983"
"Shakopee city, Minnesota","","",""
"    Estimate","40,355","8,919","31,436"
"Shoreview city, Minnesota","","",""
"    Estimate","27,122","8,639","18,483"
"South St. Paul city, Minnesota","","",""
"    Estimate","22,095","6,684","15,411"
"Stillwater city, Minnesota","","",""
"    Estimate","19,533","4,132","15,401"
"West St. Paul city, Minnesota","","",""
"    Estimate","19,289","6,240","13,049"
"White Bear Lake city, Minnesota","","",""
"    Estimate","25,404","9,029","16,375"
"Willmar city, Minnesota","","",""
"    Estimate","18,416","8,748","9,668"
"Winona city, Minnesota","","",""
"    Estimate","25,567","7,194","18,373"
"Woodbury city, Minnesota","","",""
"    Estimate","72,453","15,615","56,838"
"Biloxi city, Mississippi","","",""
"    Estimate","41,158","14,882","26,276"
"Brandon city, Mississippi","","",""
"    Estimate","23,558","4,435","19,123"
"Clinton city, Mississippi","","",""
"    Estimate","24,373","7,954","16,419"
"Columbus city, Mississippi","","",""
"    Estimate","19,760","7,020","12,740"
"Greenville city, Mississippi","","",""
"    Estimate","27,309","17,187","10,122"
"Gulfport city, Mississippi","","",""
"    Estimate","69,165","29,226","39,939"
"Hattiesburg city, Mississippi","","",""
"    Estimate","44,673","16,786","27,887"
"Horn Lake city, Mississippi","","",""
"    Estimate","27,121","9,335","17,786"
"Jackson city, Mississippi","","",""
"    Estimate","159,138","70,597","88,541"
"Madison city, Mississippi","","",""
"    Estimate","25,655","5,701","19,954"
"Meridian city, Mississippi","","",""
"    Estimate","34,351","17,113","17,238"
"Olive Branch city, Mississippi","","",""
"    Estimate","38,924","11,227","27,697"
"Oxford city, Mississippi","","",""
"    Estimate","27,471","7,927","19,544"
"Pascagoula city, Mississippi","","",""
"    Estimate","25,148","11,237","13,911"
"Pearl city, Mississippi","","",""
"    Estimate","26,456","10,018","16,438"
"Ridgeland city, Mississippi","","",""
"    Estimate","23,866","5,500","18,366"
"Southaven city, Mississippi","","",""
"    Estimate","55,185","14,206","40,979"
"Starkville city, Mississippi","","",""
"    Estimate","18,689","4,841","13,848"
"Tupelo city, Mississippi","","",""
"    Estimate","37,583","13,326","24,257"
"Vicksburg city, Mississippi","","",""
"    Estimate","25,992","12,444","13,548"
"Affton CDP, Missouri","","",""
"    Estimate","21,267","7,531","13,736"
"Arnold city, Missouri","","",""
"    Estimate","20,037","7,508","12,529"
"Ballwin city, Missouri","","",""
"    Estimate","30,092","7,045","23,047"
"Belton city, Missouri","","",""
"    Estimate","23,694","7,077","16,617"
"Blue Springs city, Missouri","","",""
"    Estimate","55,526","13,115","42,411"
"Cape Girardeau city, Missouri","","",""
"    Estimate","39,752","13,180","26,572"
"Chesterfield city, Missouri","","",""
"    Estimate","46,685","13,378","33,307"
"Columbia city, Missouri","","",""
"    Estimate","122,153","26,984","95,169"
"Florissant city, Missouri","","",""
"    Estimate","50,282","13,604","36,678"
"Gladstone city, Missouri","","",""
"    Estimate","27,417","11,393","16,024"
"Grandview city, Missouri","","",""
"    Estimate","24,757","7,911","16,846"
"Hazelwood city, Missouri","","",""
"    Estimate","24,999","5,857","19,142"
"Independence city, Missouri","","",""
"    Estimate","115,509","40,334","75,175"
"Jefferson City city, Missouri","","",""
"    Estimate","37,430","13,234","24,196"
"Joplin city, Missouri","","",""
"    Estimate","50,907","20,389","30,518"
"Kansas City city, Missouri","","",""
"    Estimate","490,666","140,962","349,704"
"Kirkwood city, Missouri","","",""
"    Estimate","27,566","6,373","21,193"
"Lee's Summit city, Missouri","","",""
"    Estimate","98,415","20,034","78,381"
"Liberty city, Missouri","","",""
"    Estimate","31,607","8,903","22,704"
"Maryland Heights city, Missouri","","",""
"    Estimate","26,413","4,986","21,427"
"Mehlville CDP, Missouri","","",""
"    Estimate","25,010","9,850","15,160"
"Nixa city, Missouri","","",""
"    Estimate","23,615","7,150","16,465"
"Oakville CDP, Missouri","","",""
"    Estimate","33,429","7,913","25,516"
"O'Fallon city, Missouri","","",""
"    Estimate","88,164","17,949","70,215"
"Old Jamestown CDP, Missouri","","",""
"    Estimate","22,919","8,684","14,235"
"Ozark city, Missouri","","",""
"    Estimate","20,584","6,714","13,870"
"Raytown city, Missouri","","",""
"    Estimate","28,569","10,335","18,234"
"St. Charles city, Missouri","","",""
"    Estimate","69,890","18,148","51,742"
"St. Joseph city, Missouri","","",""
"    Estimate","71,924","24,939","46,985"
"St. Louis city, Missouri","","",""
"    Estimate","296,219","102,050","194,169"
"St. Peters city, Missouri","","",""
"    Estimate","57,995","13,092","44,903"
"Sedalia city, Missouri","","",""
"    Estimate","22,438","8,572","13,866"
"Springfield city, Missouri","","",""
"    Estimate","164,578","52,372","112,206"
"University City city, Missouri","","",""
"    Estimate","33,960","11,233","22,727"
"Warrensburg city, Missouri","","",""
"    Estimate","17,985","4,972","13,013"
"Webster Groves city, Missouri","","",""
"    Estimate","24,065","5,059","19,006"
"Wentzville city, Missouri","","",""
"    Estimate","41,640","6,362","35,278"
"Wildwood city, Missouri","","",""
"    Estimate","35,366","6,368","28,998"
"Billings city, Montana","","",""
"    Estimate","107,714","42,750","64,964"
"Bozeman city, Montana","","",""
"    Estimate","49,514","12,451","37,063"
"Butte-Silver Bow (balance), Montana","","",""
"    Estimate","33,381","15,026","18,355"
"Great Falls city, Montana","","",""
"    Estimate","55,581","27,030","28,551"
"Helena city, Montana","","",""
"    Estimate","32,628","12,595","20,033"
"Kalispell city, Montana","","",""
"    Estimate","24,292","8,694","15,598"
"Missoula city, Montana","","",""
"    Estimate","75,016","24,858","50,158"
"Bellevue city, Nebraska","","",""
"    Estimate","52,097","16,639","35,458"
"Columbus city, Nebraska","","",""
"    Estimate","22,664","7,228","15,436"
"Fremont city, Nebraska","","",""
"    Estimate","24,563","7,878","16,685"
"Grand Island city, Nebraska","","",""
"    Estimate","49,668","17,148","32,520"
"Hastings city, Nebraska","","",""
"    Estimate","25,773","9,675","16,098"
"Kearney city, Nebraska","","",""
"    Estimate","31,882","8,172","23,710"
"Lincoln city, Nebraska","","",""
"    Estimate","284,423","70,165","214,258"
"Norfolk city, Nebraska","","",""
"    Estimate","22,839","7,169","15,670"
"North Platte city, Nebraska","","",""
"    Estimate","22,469","9,946","12,523"
"Omaha city, Nebraska","","",""
"    Estimate","472,042","129,384","342,658"
"Papillion city, Nebraska","","",""
"    Estimate","21,780","6,536","15,244"
"Carson City, Nevada","","",""
"    Estimate","53,883","20,459","33,424"
"Elko city, Nevada","","",""
"    Estimate","21,034","4,250","16,784"
"Enterprise CDP, Nevada","","",""
"    Estimate","191,668","36,267","155,401"
"Fernley city, Nevada","","",""
"    Estimate","23,598","7,272","16,326"
"Henderson city, Nevada","","",""
"    Estimate","318,199","102,394","215,805"
"Las Vegas city, Nevada","","",""
"    Estimate","642,696","222,322","420,374"
"Mesquite city, Nevada","","",""
"    Estimate","20,899","11,370","9,529"
"North Las Vegas city, Nevada","","",""
"    Estimate","247,573","80,723","166,850"
"Pahrump CDP, Nevada","","",""
"    Estimate","40,307","29,733","10,574"
"Paradise CDP, Nevada","","",""
"    Estimate","236,942","75,513","161,429"
"Reno city, Nevada","","",""
"    Estimate","253,193","71,440","181,753"
"Sparks city, Nevada","","",""
"    Estimate","104,680","33,338","71,342"
"Spring Valley CDP, Nevada","","",""
"    Estimate","222,342","68,678","153,664"
"Summerlin South CDP, Nevada","","",""
"    Estimate","29,857","9,116","20,741"
"Sunrise Manor CDP, Nevada","","",""
"    Estimate","192,592","86,109","106,483"
"Sun Valley CDP, Nevada","","",""
"    Estimate","21,272","9,864","11,408"
"Whitney CDP, Nevada","","",""
"    Estimate","37,733","15,324","22,409"
"Winchester CDP, Nevada","","",""
"    Estimate","25,075","12,591","12,484"
"Concord city, New Hampshire","","",""
"    Estimate","41,326","12,513","28,813"
"Derry CDP, New Hampshire","","",""
"    Estimate","20,827","5,666","15,161"
"Dover city, New Hampshire","","",""
"    Estimate","31,316","7,054","24,262"
"Keene city, New Hampshire","","",""
"    Estimate","21,818","6,167","15,651"
"Manchester city, New Hampshire","","",""
"    Estimate","110,694","39,587","71,107"
"Nashua city, New Hampshire","","",""
"    Estimate","88,785","29,015","59,770"
"Portsmouth city, New Hampshire","","",""
"    Estimate","25,410","6,459","18,951"
"Rochester city, New Hampshire","","",""
"    Estimate","31,172","13,341","17,831"
"Atlantic City city, New Jersey","","",""
"    Estimate","37,626","22,302","15,324"
"Bayonne city, New Jersey","","",""
"    Estimate","64,722","22,742","41,980"
"Bergenfield borough, New Jersey","","",""
"    Estimate","27,320","5,549","21,771"
"Bridgeton city, New Jersey","","",""
"    Estimate","19,940","9,595","10,345"
"Camden city, New Jersey","","",""
"    Estimate","71,771","44,989","26,782"
"Carteret borough, New Jersey","","",""
"    Estimate","27,274","10,121","17,153"
"Cliffside Park borough, New Jersey","","",""
"    Estimate","26,138","10,733","15,405"
"Clifton city, New Jersey","","",""
"    Estimate","84,857","30,290","54,567"
"East Orange city, New Jersey","","",""
"    Estimate","63,663","30,812","32,851"
"Elizabeth city, New Jersey","","",""
"    Estimate","127,612","52,529","75,083"
"Elmwood Park borough, New Jersey","","",""
"    Estimate","22,842","5,943","16,899"
"Englewood city, New Jersey","","",""
"    Estimate","28,182","10,098","18,084"
"Fair Lawn borough, New Jersey","","",""
"    Estimate","32,757","7,669","25,088"
"Fort Lee borough, New Jersey","","",""
"    Estimate","38,439","14,028","24,411"
"Garfield city, New Jersey","","",""
"    Estimate","31,804","14,077","17,727"
"Glassboro borough, New Jersey","","",""
"    Estimate","22,080","8,461","13,619"
"Hackensack city, New Jersey","","",""
"    Estimate","43,868","11,574","32,294"
"Hawthorne borough, New Jersey","","",""
"    Estimate","20,790","6,702","14,088"
"Hoboken city, New Jersey","","",""
"    Estimate","52,671","5,887","46,784"
"Jersey City city, New Jersey","","",""
"    Estimate","260,773","75,512","185,261"
"Kearny town, New Jersey","","",""
"    Estimate","38,763","14,016","24,747"
"Lakewood CDP, New Jersey","","",""
"    Estimate","58,088","33,193","24,895"
"Linden city, New Jersey","","",""
"    Estimate","42,043","12,468","29,575"
"Lodi borough, New Jersey","","",""
"    Estimate","24,302","10,073","14,229"
"Long Branch city, New Jersey","","",""
"    Estimate","30,172","11,784","18,388"
"Millville city, New Jersey","","",""
"    Estimate","27,201","12,982","14,219"
"Morristown town, New Jersey","","",""
"    Estimate","20,136","3,427","16,709"
"Newark city, New Jersey","","",""
"    Estimate","273,656","121,471","152,185"
"New Brunswick city, New Jersey","","",""
"    Estimate","55,467","15,700","39,767"
"North Plainfield borough, New Jersey","","",""
"    Estimate","21,037","6,514","14,523"
"Old Bridge CDP, New Jersey","","",""
"    Estimate","26,982","7,311","19,671"
"Palisades Park borough, New Jersey","","",""
"    Estimate","20,989","6,583","14,406"
"Paramus borough, New Jersey","","",""
"    Estimate","24,533","6,958","17,575"
"Passaic city, New Jersey","","",""
"    Estimate","69,555","30,531","39,024"
"Paterson city, New Jersey","","",""
"    Estimate","144,313","67,691","76,622"
"Perth Amboy city, New Jersey","","",""
"    Estimate","51,029","17,657","33,372"
"Plainfield city, New Jersey","","",""
"    Estimate","49,970","19,429","30,541"
"Point Pleasant borough, New Jersey","","",""
"    Estimate","23,844","5,398","18,446"
"Princeton, New Jersey","","",""
"    Estimate","30,953","6,261","24,692"
"Rahway city, New Jersey","","",""
"    Estimate","29,780","7,610","22,170"
"Ridgewood village, New Jersey","","",""
"    Estimate","24,873","2,944","21,929"
"Roselle borough, New Jersey","","",""
"    Estimate","23,368","9,131","14,237"
"Rutherford borough, New Jersey","","",""
"    Estimate","21,385","3,653","17,732"
"Sayreville borough, New Jersey","","",""
"    Estimate","44,173","9,614","34,559"
"Secaucus town, New Jersey","","",""
"    Estimate","19,533","6,052","13,481"
"Somerset CDP, New Jersey","","",""
"    Estimate","25,156","7,126","18,030"
"South Plainfield borough, New Jersey","","",""
"    Estimate","23,881","5,200","18,681"
"Summit city, New Jersey","","",""
"    Estimate","20,718","3,136","17,582"
"Toms River CDP, New Jersey","","",""
"    Estimate","89,932","28,273","61,659"
"Trenton city, New Jersey","","",""
"    Estimate","79,929","39,771","40,158"
"Union City city, New Jersey","","",""
"    Estimate","67,555","22,485","45,070"
"Vineland city, New Jersey","","",""
"    Estimate","58,133","25,829","32,304"
"Westfield town, New Jersey","","",""
"    Estimate","29,258","5,321","23,937"
"West New York town, New Jersey","","",""
"    Estimate","52,732","22,301","30,431"
"Woodbridge CDP, New Jersey","","",""
"    Estimate","19,359","5,006","14,353"
"Alamogordo city, New Mexico","","",""
"    Estimate","29,242","17,809","11,433"
"Albuquerque city, New Mexico","","",""
"    Estimate","556,669","250,655","306,014"
"Carlsbad city, New Mexico","","",""
"    Estimate","29,348","11,176","18,172"
"Clovis city, New Mexico","","",""
"    Estimate","35,548","19,154","16,394"
"Farmington city, New Mexico","","",""
"    Estimate","43,244","23,295","19,949"
"Gallup city, New Mexico","","",""
"    Estimate","23,200","13,239","9,961"
"Hobbs city, New Mexico","","",""
"    Estimate","37,457","13,766","23,691"
"Las Cruces city, New Mexico","","",""
"    Estimate","101,666","52,909","48,757"
"Rio Rancho city, New Mexico","","",""
"    Estimate","98,769","42,076","56,693"
"Roswell city, New Mexico","","",""
"    Estimate","47,033","24,472","22,561"
"Santa Fe city, New Mexico","","",""
"    Estimate","84,437","42,142","42,295"
"South Valley CDP, New Mexico","","",""
"    Estimate","39,124","21,940","17,184"
"Albany city, New York","","",""
"    Estimate","95,164","37,687","57,477"
"Auburn city, New York","","",""
"    Estimate","24,036","13,306","10,730"
"Baldwin CDP, New York","","",""
"    Estimate","26,118","8,159","17,959"
"Bay Shore CDP, New York","","",""
"    Estimate","24,786","9,577","15,209"
"Binghamton city, New York","","",""
"    Estimate","43,250","22,318","20,932"
"Brentwood CDP, New York","","",""
"    Estimate","60,973","22,285","38,688"
"Brighton CDP, New York","","",""
"    Estimate","34,822","9,724","25,098"
"Buffalo city, New York","","",""
"    Estimate","252,920","141,234","111,686"
"Centereach CDP, New York","","",""
"    Estimate","27,121","8,146","18,975"
"Central Islip CDP, New York","","",""
"    Estimate","34,597","14,226","20,371"
"Cheektowaga CDP, New York","","",""
"    Estimate","73,751","29,926","43,825"
"Cohoes city, New York","","",""
"    Estimate","19,567","10,248","9,319"
"Commack CDP, New York","","",""
"    Estimate","40,261","9,396","30,865"
"Copiague CDP, New York","","",""
"    Estimate","21,407","7,971","13,436"
"Coram CDP, New York","","",""
"    Estimate","39,443","12,837","26,606"
"Cortland city, New York","","",""
"    Estimate","20,036","7,863","12,173"
"Deer Park CDP, New York","","",""
"    Estimate","24,699","7,142","17,557"
"Dix Hills CDP, New York","","",""
"    Estimate","22,797","6,026","16,771"
"Eastchester CDP, New York","","",""
"    Estimate","21,713","4,584","17,129"
"East Meadow CDP, New York","","",""
"    Estimate","37,153","12,406","24,747"
"East Northport CDP, New York","","",""
"    Estimate","23,189","6,081","17,108"
"Elmira city, New York","","",""
"    Estimate","24,721","13,544","11,177"
"Elmont CDP, New York","","",""
"    Estimate","36,289","11,096","25,193"
"Franklin Square CDP, New York","","",""
