"Label (Grouping)","Total:!!In labor force:!!Civilian labor force:","Total:!!In labor force:!!Civilian labor force:!!Employed","Total:!!In labor force:!!Civilian labor force:!!Unemployed"
"Brookline CDP, Massachusetts","","",""
"    Estimate","35,980","34,558","1,422"
"Burlington CDP, Massachusetts","","",""
"    Estimate","16,410","16,212","198"
"Cambridge city, Massachusetts","","",""
"    Estimate","74,728","72,255","2,473"
"Chelsea city, Massachusetts","","",""
"    Estimate","19,727","18,440","1,287"
"Chicopee city, Massachusetts","","",""
"    Estimate","30,207","28,695","1,512"
"Danvers CDP, Massachusetts","","",""
"    Estimate","16,111","15,055","1,056"
"Dedham CDP, Massachusetts","","",""
"    Estimate","14,920","14,619","301"
"Everett city, Massachusetts","","",""
"    Estimate","27,546","26,206","1,340"
"Fall River city, Massachusetts","","",""
"    Estimate","40,296","36,932","3,364"
"Fitchburg city, Massachusetts","","",""
"    Estimate","21,469","20,420","1,049"
"Framingham city, Massachusetts","","",""
"    Estimate","42,317","40,317","2,000"
"Franklin Town city, Massachusetts","","",""
"    Estimate","19,980","19,468","512"
"Gardner city, Massachusetts","","",""
"    Estimate","8,822","8,783","39"
"Gloucester city, Massachusetts","","",""
"    Estimate","17,398","16,694","704"
"Haverhill city, Massachusetts","","",""
"    Estimate","38,319","36,042","2,277"
"Holyoke city, Massachusetts","","",""
"    Estimate","20,094","19,443","651"
"Lawrence city, Massachusetts","","",""
"    Estimate","44,277","40,693","3,584"
"Leominster city, Massachusetts","","",""
"    Estimate","23,408","22,472","936"
"Lexington CDP, Massachusetts","","",""
"    Estimate","17,172","16,622","550"
"Lowell city, Massachusetts","","",""
"    Estimate","66,275","63,421","2,854"
"Lynn city, Massachusetts","","",""
"    Estimate","47,147","44,079","3,068"
"Malden city, Massachusetts","","",""
"    Estimate","35,132","34,056","1,076"
"Marblehead CDP, Massachusetts","","",""
"    Estimate","13,687","13,687","0"
"Marlborough city, Massachusetts","","",""
"    Estimate","22,460","21,329","1,131"
"Medford city, Massachusetts","","",""
"    Estimate","34,356","33,385","971"
"Melrose city, Massachusetts","","",""
"    Estimate","16,772","16,174","598"
"Methuen Town city, Massachusetts","","",""
"    Estimate","27,683","25,689","1,994"
"Milford CDP, Massachusetts","","",""
"    Estimate","15,284","14,694","590"
"Milton CDP, Massachusetts","","",""
"    Estimate","15,588","15,379","209"
"Needham CDP, Massachusetts","","",""
"    Estimate","15,988","15,388","600"
"New Bedford city, Massachusetts","","",""
"    Estimate","45,096","43,761","1,335"
"Newburyport city, Massachusetts","","",""
"    Estimate","11,404","10,700","704"
"Newton city, Massachusetts","","",""
"    Estimate","47,251","46,373","878"
"Northampton city, Massachusetts","","",""
"    Estimate","15,923","15,444","479"
"Norwood CDP, Massachusetts","","",""
"    Estimate","16,909","16,612","297"
"Peabody city, Massachusetts","","",""
"    Estimate","30,153","29,529","624"
"Pittsfield city, Massachusetts","","",""
"    Estimate","22,480","21,468","1,012"
"Quincy city, Massachusetts","","",""
"    Estimate","57,667","55,434","2,233"
"Randolph Town city, Massachusetts","","",""
"    Estimate","20,135","19,279","856"
"Reading CDP, Massachusetts","","",""
"    Estimate","13,689","13,333","356"
"Revere city, Massachusetts","","",""
"    Estimate","31,473","29,756","1,717"
"Salem city, Massachusetts","","",""
"    Estimate","26,034","24,936","1,098"
"Saugus CDP, Massachusetts","","",""
"    Estimate","16,571","16,254","317"
"Somerville city, Massachusetts","","",""
"    Estimate","56,826","55,391","1,435"
"Springfield city, Massachusetts","","",""
"    Estimate","70,782","67,217","3,565"
"Stoneham CDP, Massachusetts","","",""
"    Estimate","15,089","14,554","535"
"Taunton city, Massachusetts","","",""
"    Estimate","33,098","31,258","1,840"
"Wakefield CDP, Massachusetts","","",""
"    Estimate","14,275","13,818","457"
"Waltham city, Massachusetts","","",""
"    Estimate","39,932","38,740","1,192"
"Watertown Town city, Massachusetts","","",""
"    Estimate","23,843","23,258","585"
"Wellesley CDP, Massachusetts","","",""
"    Estimate","12,627","12,379","248"
"Westfield city, Massachusetts","","",""
"    Estimate","18,010","16,774","1,236"
"West Springfield Town city, Massachusetts","","",""
"    Estimate","15,028","14,664","364"
"Weymouth Town city, Massachusetts","","",""
"    Estimate","33,535","32,267","1,268"
"Wilmington CDP, Massachusetts","","",""
"    Estimate","11,705","11,156","549"
"Winchester CDP, Massachusetts","","",""
"    Estimate","10,881","10,699","182"
"Woburn city, Massachusetts","","",""
"    Estimate","23,547","22,888","659"
"Worcester city, Massachusetts","","",""
"    Estimate","99,460","95,696","3,764"
"Adrian city, Michigan","","",""
"    Estimate","8,958","8,798","160"
"Allendale CDP, Michigan","","",""
"    Estimate","13,460","12,043","1,417"
"Allen Park city, Michigan","","",""
"    Estimate","13,778","13,369","409"
"Ann Arbor city, Michigan","","",""
"    Estimate","64,161","63,117","1,044"
"Auburn Hills city, Michigan","","",""
"    Estimate","14,236","13,414","822"
"Battle Creek city, Michigan","","",""
"    Estimate","26,093","24,493","1,600"
"Bay City city, Michigan","","",""
"    Estimate","16,581","15,396","1,185"
"Birmingham city, Michigan","","",""
"    Estimate","11,906","11,571","335"
"Burton city, Michigan","","",""
"    Estimate","12,698","11,527","1,171"
"Dearborn city, Michigan","","",""
"    Estimate","39,110","37,098","2,012"
"Dearborn Heights city, Michigan","","",""
"    Estimate","25,857","24,804","1,053"
"Detroit city, Michigan","","",""
"    Estimate","294,011","261,192","32,819"
"East Lansing city, Michigan","","",""
"    Estimate","28,451","26,629","1,822"
"Eastpointe city, Michigan","","",""
"    Estimate","16,506","15,486","1,020"
"Farmington Hills city, Michigan","","",""
"    Estimate","44,616","43,287","1,329"
"Ferndale city, Michigan","","",""
"    Estimate","13,249","12,992","257"
"Flint city, Michigan","","",""
"    Estimate","41,611","34,399","7,212"
"Forest Hills CDP, Michigan","","",""
"    Estimate","13,985","13,643","342"
"Garden City city, Michigan","","",""
"    Estimate","13,681","13,127","554"
"Grand Rapids city, Michigan","","",""
"    Estimate","110,389","104,498","5,891"
"Hamtramck city, Michigan","","",""
"    Estimate","8,488","8,062","426"
"Holland city, Michigan","","",""
"    Estimate","17,600","17,244","356"
"Holt CDP, Michigan","","",""
"    Estimate","15,707","15,006","701"
"Inkster city, Michigan","","",""
"    Estimate","11,573","10,887","686"
"Jackson city, Michigan","","",""
"    Estimate","15,156","13,582","1,574"
"Kalamazoo city, Michigan","","",""
"    Estimate","42,911","41,505","1,406"
"Kentwood city, Michigan","","",""
"    Estimate","28,999","28,260","739"
"Lansing city, Michigan","","",""
"    Estimate","64,295","60,744","3,551"
"Lincoln Park city, Michigan","","",""
"    Estimate","17,732","17,128","604"
"Livonia city, Michigan","","",""
"    Estimate","50,112","48,481","1,631"
"Madison Heights city, Michigan","","",""
"    Estimate","17,859","17,575","284"
"Marquette city, Michigan","","",""
"    Estimate","12,301","11,762","539"
"Midland city, Michigan","","",""
"    Estimate","20,410","19,831","579"
"Monroe city, Michigan","","",""
"    Estimate","8,766","8,383","383"
"Mount Pleasant city, Michigan","","",""
"    Estimate","13,313","11,783","1,530"
"Muskegon city, Michigan","","",""
"    Estimate","16,449","15,328","1,121"
"Norton Shores city, Michigan","","",""
"    Estimate","12,776","12,259","517"
"Novi city, Michigan","","",""
"    Estimate","32,264","30,893","1,371"
"Oak Park city, Michigan","","",""
"    Estimate","15,425","15,022","403"
"Okemos CDP, Michigan","","",""
"    Estimate","11,560","11,195","365"
"Pontiac city, Michigan","","",""
"    Estimate","29,023","25,455","3,568"
"Portage city, Michigan","","",""
"    Estimate","28,136","25,782","2,354"
"Port Huron city, Michigan","","",""
"    Estimate","12,209","11,534","675"
"Rochester Hills city, Michigan","","",""
"    Estimate","38,906","37,887","1,019"
"Romulus city, Michigan","","",""
"    Estimate","14,121","12,096","2,025"
"Roseville city, Michigan","","",""
"    Estimate","24,718","22,918","1,800"
"Royal Oak city, Michigan","","",""
"    Estimate","38,201","37,392","809"
"Saginaw city, Michigan","","",""
"    Estimate","20,225","18,566","1,659"
"St. Clair Shores city, Michigan","","",""
"    Estimate","33,160","31,846","1,314"
"Southfield city, Michigan","","",""
"    Estimate","36,060","33,402","2,658"
"Southgate city, Michigan","","",""
"    Estimate","15,140","14,494","646"
"Sterling Heights city, Michigan","","",""
"    Estimate","71,075","67,136","3,939"
"Taylor city, Michigan","","",""
"    Estimate","31,583","29,987","1,596"
"Troy city, Michigan","","",""
"    Estimate","44,864","43,169","1,695"
"Walker city, Michigan","","",""
"    Estimate","13,109","12,984","125"
"Warren city, Michigan","","",""
"    Estimate","69,740","66,535","3,205"
"Waverly CDP, Michigan","","",""
"    Estimate","16,118","15,490","628"
"Westland city, Michigan","","",""
"    Estimate","43,618","42,198","1,420"
"Wyandotte city, Michigan","","",""
"    Estimate","12,283","11,619","664"
"Wyoming city, Michigan","","",""
"    Estimate","42,204","40,225","1,979"
"Ypsilanti city, Michigan","","",""
"    Estimate","13,266","12,148","1,118"
"Andover city, Minnesota","","",""
"    Estimate","18,780","18,555","225"
"Apple Valley city, Minnesota","","",""
"    Estimate","31,883","30,118","1,765"
"Austin city, Minnesota","","",""
"    Estimate","12,257","12,030","227"
"Blaine city, Minnesota","","",""
"    Estimate","35,938","33,284","2,654"
"Bloomington city, Minnesota","","",""
"    Estimate","48,012","46,603","1,409"
"Brooklyn Center city, Minnesota","","",""
"    Estimate","17,716","16,536","1,180"
"Brooklyn Park city, Minnesota","","",""
"    Estimate","45,995","45,178","817"
"Burnsville city, Minnesota","","",""
"    Estimate","36,651","35,045","1,606"
"Champlin city, Minnesota","","",""
"    Estimate","15,927","15,800","127"
"Chanhassen city, Minnesota","","",""
"    Estimate","14,159","13,937","222"
"Chaska city, Minnesota","","",""
"    Estimate","16,493","15,883","610"
"Columbia Heights city, Minnesota","","",""
"    Estimate","10,200","9,988","212"
"Coon Rapids city, Minnesota","","",""
"    Estimate","37,418","35,681","1,737"
"Cottage Grove city, Minnesota","","",""
"    Estimate","20,568","20,155","413"
"Crystal city, Minnesota","","",""
"    Estimate","15,289","14,687","602"
"Duluth city, Minnesota","","",""
"    Estimate","47,973","46,324","1,649"
"Eagan city, Minnesota","","",""
"    Estimate","38,656","37,118","1,538"
"Eden Prairie city, Minnesota","","",""
"    Estimate","34,213","33,387","826"
"Edina city, Minnesota","","",""
"    Estimate","27,233","26,303","930"
"Elk River city, Minnesota","","",""
"    Estimate","14,763","14,210","553"
"Faribault city, Minnesota","","",""
"    Estimate","9,030","8,826","204"
"Farmington city, Minnesota","","",""
"    Estimate","9,661","9,589","72"
"Forest Lake city, Minnesota","","",""
"    Estimate","11,751","10,827","924"
"Fridley city, Minnesota","","",""
"    Estimate","15,959","15,541","418"
"Golden Valley city, Minnesota","","",""
"    Estimate","11,518","11,349","169"
"Hastings city, Minnesota","","",""
"    Estimate","13,112","12,921","191"
"Inver Grove Heights city, Minnesota","","",""
"    Estimate","20,626","19,775","851"
"Lakeville city, Minnesota","","",""
"    Estimate","39,080","37,459","1,621"
"Lino Lakes city, Minnesota","","",""
"    Estimate","11,894","11,663","231"
"Mankato city, Minnesota","","",""
"    Estimate","24,490","24,159","331"
"Maple Grove city, Minnesota","","",""
"    Estimate","42,337","41,110","1,227"
"Maplewood city, Minnesota","","",""
"    Estimate","21,505","20,752","753"
"Minneapolis city, Minnesota","","",""
"    Estimate","261,193","249,700","11,493"
"Minnetonka city, Minnesota","","",""
"    Estimate","29,569","29,208","361"
"Moorhead city, Minnesota","","",""
"    Estimate","24,131","23,277","854"
"New Brighton city, Minnesota","","",""
"    Estimate","11,412","11,118","294"
"New Hope city, Minnesota","","",""
"    Estimate","11,135","10,693","442"
"Northfield city, Minnesota","","",""
"    Estimate","12,946","12,488","458"
"Oakdale city, Minnesota","","",""
"    Estimate","15,603","14,970","633"
"Owatonna city, Minnesota","","",""
"    Estimate","13,399","13,277","122"
"Plymouth city, Minnesota","","",""
"    Estimate","41,510","41,033","477"
"Prior Lake city, Minnesota","","",""
"    Estimate","14,546","14,386","160"
"Ramsey city, Minnesota","","",""
"    Estimate","15,994","15,560","434"
"Richfield city, Minnesota","","",""
"    Estimate","20,596","19,843","753"
"Rochester city, Minnesota","","",""
"    Estimate","66,244","64,589","1,655"
"Rosemount city, Minnesota","","",""
"    Estimate","14,212","14,093","119"
"Roseville city, Minnesota","","",""
"    Estimate","19,934","19,506","428"
"St. Cloud city, Minnesota","","",""
"    Estimate","36,421","34,957","1,464"
"St. Louis Park city, Minnesota","","",""
"    Estimate","29,571","28,599","972"
"St. Michael city, Minnesota","","",""
"    Estimate","13,587","13,587","0"
"St. Paul city, Minnesota","","",""
"    Estimate","169,079","162,799","6,280"
"Savage city, Minnesota","","",""
"    Estimate","19,762","19,463","299"
"Shakopee city, Minnesota","","",""
"    Estimate","25,961","24,686","1,275"
"Shoreview city, Minnesota","","",""
"    Estimate","12,874","12,691","183"
"South St. Paul city, Minnesota","","",""
"    Estimate","13,045","12,153","892"
"Stillwater city, Minnesota","","",""
"    Estimate","10,980","10,866","114"
"West St. Paul city, Minnesota","","",""
"    Estimate","11,341","10,743","598"
"White Bear Lake city, Minnesota","","",""
"    Estimate","13,461","12,728","733"
"Willmar city, Minnesota","","",""
"    Estimate","10,967","10,556","411"
"Winona city, Minnesota","","",""
"    Estimate","15,794","15,302","492"
"Woodbury city, Minnesota","","",""
"    Estimate","40,697","40,057","640"
"Biloxi city, Mississippi","","",""
"    Estimate","19,920","17,839","2,081"
"Brandon city, Mississippi","","",""
"    Estimate","11,817","11,427","390"
"Clinton city, Mississippi","","",""
"    Estimate","11,986","11,021","965"
"Columbus city, Mississippi","","",""
"    Estimate","8,686","7,609","1,077"
"Greenville city, Mississippi","","",""
"    Estimate","10,019","8,130","1,889"
"Gulfport city, Mississippi","","",""
"    Estimate","31,203","27,890","3,313"
"Hattiesburg city, Mississippi","","",""
"    Estimate","24,024","22,699","1,325"
"Horn Lake city, Mississippi","","",""
"    Estimate","13,762","12,330","1,432"
"Jackson city, Mississippi","","",""
"    Estimate","76,144","69,084","7,060"
"Madison city, Mississippi","","",""
"    Estimate","13,934","13,584","350"
"Meridian city, Mississippi","","",""
"    Estimate","15,375","14,688","687"
"Olive Branch city, Mississippi","","",""
"    Estimate","19,437","18,870","567"
"Oxford city, Mississippi","","",""
"    Estimate","11,713","11,522","191"
"Pascagoula city, Mississippi","","",""
"    Estimate","10,528","9,167","1,361"
"Pearl city, Mississippi","","",""
"    Estimate","14,072","12,847","1,225"
"Ridgeland city, Mississippi","","",""
"    Estimate","14,053","13,617","436"
"Southaven city, Mississippi","","",""
"    Estimate","29,054","27,863","1,191"
"Starkville city, Mississippi","","",""
"    Estimate","8,791","8,255","536"
"Tupelo city, Mississippi","","",""
"    Estimate","18,865","18,108","757"
"Vicksburg city, Mississippi","","",""
"    Estimate","12,653","10,933","1,720"
"Affton CDP, Missouri","","",""
"    Estimate","11,553","11,027","526"
"Arnold city, Missouri","","",""
"    Estimate","11,133","10,132","1,001"
"Ballwin city, Missouri","","",""
"    Estimate","15,955","15,816","139"
"Belton city, Missouri","","",""
"    Estimate","12,850","12,263","587"
"Blue Springs city, Missouri","","",""
"    Estimate","29,910","29,085","825"
"Cape Girardeau city, Missouri","","",""
"    Estimate","21,725","20,841","884"
"Chesterfield city, Missouri","","",""
"    Estimate","24,832","23,832","1,000"
"Columbia city, Missouri","","",""
"    Estimate","68,916","66,483","2,433"
"Florissant city, Missouri","","",""
"    Estimate","28,237","26,418","1,819"
"Gladstone city, Missouri","","",""
"    Estimate","13,933","13,426","507"
"Grandview city, Missouri","","",""
"    Estimate","13,138","12,322","816"
"Hazelwood city, Missouri","","",""
"    Estimate","13,704","13,411","293"
"Independence city, Missouri","","",""
"    Estimate","58,547","56,173","2,374"
"Jefferson City city, Missouri","","",""
"    Estimate","20,085","19,692","393"
"Joplin city, Missouri","","",""
"    Estimate","27,101","25,065","2,036"
"Kansas City city, Missouri","","",""
"    Estimate","272,033","261,825","10,208"
"Kirkwood city, Missouri","","",""
"    Estimate","13,764","13,564","200"
"Lee's Summit city, Missouri","","",""
"    Estimate","53,902","52,308","1,594"
"Liberty city, Missouri","","",""
"    Estimate","15,949","15,272","677"
"Maryland Heights city, Missouri","","",""
"    Estimate","15,355","14,954","401"
"Mehlville CDP, Missouri","","",""
"    Estimate","13,127","12,491","636"
"Nixa city, Missouri","","",""
"    Estimate","11,714","11,625","89"
"Oakville CDP, Missouri","","",""
"    Estimate","19,417","19,239","178"
"O'Fallon city, Missouri","","",""
"    Estimate","48,809","47,527","1,282"
"Old Jamestown CDP, Missouri","","",""
"    Estimate","10,074","9,770","304"
"Ozark city, Missouri","","",""
"    Estimate","9,852","9,721","131"
"Raytown city, Missouri","","",""
"    Estimate","15,058","14,659","399"
"St. Charles city, Missouri","","",""
"    Estimate","39,754","39,265","489"
"St. Joseph city, Missouri","","",""
"    Estimate","35,504","34,105","1,399"
"St. Louis city, Missouri","","",""
"    Estimate","164,456","155,959","8,497"
"St. Peters city, Missouri","","",""
"    Estimate","32,780","31,801","979"
"Sedalia city, Missouri","","",""
"    Estimate","10,557","10,246","311"
"Springfield city, Missouri","","",""
"    Estimate","79,997","76,921","3,076"
"University City city, Missouri","","",""
"    Estimate","16,925","16,794","131"
"Warrensburg city, Missouri","","",""
"    Estimate","8,729","8,001","728"
"Webster Groves city, Missouri","","",""
"    Estimate","13,005","12,984","21"
"Wentzville city, Missouri","","",""
"    Estimate","20,885","20,692","193"
"Wildwood city, Missouri","","",""
"    Estimate","18,527","18,099","428"
"Billings city, Montana","","",""
"    Estimate","59,799","57,620","2,179"
"Bozeman city, Montana","","",""
"    Estimate","31,888","30,371","1,517"
"Butte-Silver Bow (balance), Montana","","",""
"    Estimate","15,214","14,579","635"
"Great Falls city, Montana","","",""
"    Estimate","28,198","27,415","783"
"Helena city, Montana","","",""
"    Estimate","18,033","17,028","1,005"
"Kalispell city, Montana","","",""
"    Estimate","13,181","12,477","704"
"Missoula city, Montana","","",""
"    Estimate","45,724","42,895","2,829"
"Bellevue city, Nebraska","","",""
"    Estimate","28,534","27,694","840"
"Columbus city, Nebraska","","",""
"    Estimate","11,868","11,638","230"
"Fremont city, Nebraska","","",""
"    Estimate","12,805","12,545","260"
"Grand Island city, Nebraska","","",""
"    Estimate","26,665","25,816","849"
"Hastings city, Nebraska","","",""
"    Estimate","11,858","11,609","249"
"Kearney city, Nebraska","","",""
"    Estimate","18,374","17,708","666"
"Lincoln city, Nebraska","","",""
"    Estimate","165,786","159,806","5,980"
"Norfolk city, Nebraska","","",""
"    Estimate","13,088","12,703","385"
"North Platte city, Nebraska","","",""
"    Estimate","11,160","10,498","662"
"Omaha city, Nebraska","","",""
"    Estimate","261,020","248,631","12,389"
"Papillion city, Nebraska","","",""
"    Estimate","12,005","11,436","569"
"Carson City, Nevada","","",""
"    Estimate","26,311","25,609","702"
"Elko city, Nevada","","",""
"    Estimate","12,344","12,079","265"
"Enterprise CDP, Nevada","","",""
"    Estimate","113,795","109,176","4,619"
"Fernley city, Nevada","","",""
"    Estimate","10,701","10,489","212"
"Henderson city, Nevada","","",""
"    Estimate","159,237","149,643","9,594"
"Las Vegas city, Nevada","","",""
"    Estimate","318,313","299,406","18,907"
"Mesquite city, Nevada","","",""
"    Estimate","7,113","6,520","593"
"North Las Vegas city, Nevada","","",""
"    Estimate","122,704","116,826","5,878"
"Pahrump CDP, Nevada","","",""
"    Estimate","12,096","11,028","1,068"
"Paradise CDP, Nevada","","",""
"    Estimate","139,856","133,573","6,283"
"Reno city, Nevada","","",""
"    Estimate","146,865","140,387","6,478"
"Sparks city, Nevada","","",""
"    Estimate","53,995","50,230","3,765"
"Spring Valley CDP, Nevada","","",""
"    Estimate","123,393","118,356","5,037"
"Summerlin South CDP, Nevada","","",""
"    Estimate","13,112","12,676","436"
"Sunrise Manor CDP, Nevada","","",""
"    Estimate","85,718","79,521","6,197"
"Sun Valley CDP, Nevada","","",""
"    Estimate","10,536","10,006","530"
"Whitney CDP, Nevada","","",""
"    Estimate","19,559","18,774","785"
"Winchester CDP, Nevada","","",""
"    Estimate","10,867","10,368","499"
"Concord city, New Hampshire","","",""
"    Estimate","25,130","24,168","962"
"Derry CDP, New Hampshire","","",""
"    Estimate","13,219","12,135","1,084"
"Dover city, New Hampshire","","",""
"    Estimate","18,760","18,442","318"
"Keene city, New Hampshire","","",""
"    Estimate","10,876","10,701","175"
"Manchester city, New Hampshire","","",""
"    Estimate","67,038","63,499","3,539"
"Nashua city, New Hampshire","","",""
"    Estimate","55,156","52,512","2,644"
"Portsmouth city, New Hampshire","","",""
"    Estimate","16,529","16,344","185"
"Rochester city, New Hampshire","","",""
"    Estimate","17,232","16,553","679"
"Atlantic City city, New Jersey","","",""
"    Estimate","16,798","15,114","1,684"
"Bayonne city, New Jersey","","",""
"    Estimate","32,660","30,957","1,703"
"Bergenfield borough, New Jersey","","",""
"    Estimate","14,412","14,092","320"
"Bridgeton city, New Jersey","","",""
"    Estimate","8,329","7,981","348"
"Camden city, New Jersey","","",""
"    Estimate","28,706","24,447","4,259"
"Carteret borough, New Jersey","","",""
"    Estimate","13,173","12,871","302"
"Cliffside Park borough, New Jersey","","",""
"    Estimate","14,310","13,187","1,123"
"Clifton city, New Jersey","","",""
"    Estimate","44,824","42,454","2,370"
"East Orange city, New Jersey","","",""
"    Estimate","35,786","31,270","4,516"
"Elizabeth city, New Jersey","","",""
"    Estimate","62,690","60,159","2,531"
"Elmwood Park borough, New Jersey","","",""
"    Estimate","12,070","11,810","260"
"Englewood city, New Jersey","","",""
"    Estimate","17,699","17,235","464"
"Fair Lawn borough, New Jersey","","",""
"    Estimate","17,275","16,889","386"
"Fort Lee borough, New Jersey","","",""
"    Estimate","21,322","20,665","657"
"Garfield city, New Jersey","","",""
"    Estimate","16,304","16,227","77"
"Glassboro borough, New Jersey","","",""
"    Estimate","12,297","11,789","508"
"Hackensack city, New Jersey","","",""
"    Estimate","27,724","26,721","1,003"
"Hawthorne borough, New Jersey","","",""
"    Estimate","13,445","13,058","387"
"Hoboken city, New Jersey","","",""
"    Estimate","35,069","34,196","873"
"Jersey City city, New Jersey","","",""
"    Estimate","150,242","145,091","5,151"
"Kearny town, New Jersey","","",""
"    Estimate","20,524","20,344","180"
"Lakewood CDP, New Jersey","","",""
"    Estimate","15,350","14,828","522"
"Linden city, New Jersey","","",""
"    Estimate","23,108","21,656","1,452"
"Lodi borough, New Jersey","","",""
"    Estimate","11,837","11,617","220"
"Long Branch city, New Jersey","","",""
"    Estimate","17,285","16,111","1,174"
"Millville city, New Jersey","","",""
"    Estimate","13,019","11,938","1,081"
"Morristown town, New Jersey","","",""
"    Estimate","12,533","12,244","289"
"Newark city, New Jersey","","",""
"    Estimate","137,005","123,988","13,017"
"New Brunswick city, New Jersey","","",""
"    Estimate","26,693","25,901","792"
"North Plainfield borough, New Jersey","","",""
"    Estimate","12,913","11,411","1,502"
"Old Bridge CDP, New Jersey","","",""
"    Estimate","15,029","14,020","1,009"
"Palisades Park borough, New Jersey","","",""
"    Estimate","13,023","12,739","284"
"Paramus borough, New Jersey","","",""
"    Estimate","12,574","11,544","1,030"
"Passaic city, New Jersey","","",""
"    Estimate","34,190","32,925","1,265"
"Paterson city, New Jersey","","",""
"    Estimate","69,669","66,456","3,213"
"Perth Amboy city, New Jersey","","",""
"    Estimate","22,805","22,008","797"
"Plainfield city, New Jersey","","",""
"    Estimate","27,836","23,662","4,174"
"Point Pleasant borough, New Jersey","","",""
"    Estimate","13,747","13,113","634"
"Princeton, New Jersey","","",""
"    Estimate","14,152","13,462","690"
"Rahway city, New Jersey","","",""
"    Estimate","16,597","16,156","441"
"Ridgewood village, New Jersey","","",""
"    Estimate","11,518","11,144","374"
"Roselle borough, New Jersey","","",""
"    Estimate","12,503","11,740","763"
"Rutherford borough, New Jersey","","",""
"    Estimate","11,940","11,733","207"
"Sayreville borough, New Jersey","","",""
"    Estimate","25,160","24,610","550"
"Secaucus town, New Jersey","","",""
"    Estimate","10,572","10,313","259"
"Somerset CDP, New Jersey","","",""
"    Estimate","15,521","14,435","1,086"
"South Plainfield borough, New Jersey","","",""
"    Estimate","14,547","13,780","767"
"Summit city, New Jersey","","",""
"    Estimate","11,889","11,578","311"
"Toms River CDP, New Jersey","","",""
"    Estimate","47,484","45,159","2,325"
"Trenton city, New Jersey","","",""
"    Estimate","36,326","31,861","4,465"
"Union City city, New Jersey","","",""
"    Estimate","39,781","39,014","767"
"Vineland city, New Jersey","","",""
"    Estimate","28,993","26,674","2,319"
"Westfield town, New Jersey","","",""
"    Estimate","14,087","13,892","195"
"West New York town, New Jersey","","",""
"    Estimate","27,107","26,229","878"
"Woodbridge CDP, New Jersey","","",""
"    Estimate","10,855","9,931","924"
"Alamogordo city, New Mexico","","",""
"    Estimate","12,685","11,255","1,430"
"Albuquerque city, New Mexico","","",""
"    Estimate","291,159","276,360","14,799"
"Carlsbad city, New Mexico","","",""
"    Estimate","16,524","16,328","196"
"Clovis city, New Mexico","","",""
"    Estimate","15,539","14,489","1,050"
"Farmington city, New Mexico","","",""
"    Estimate","16,980","15,603","1,377"
"Gallup city, New Mexico","","",""
"    Estimate","9,736","9,118","618"
"Hobbs city, New Mexico","","",""
"    Estimate","17,388","16,708","680"
"Las Cruces city, New Mexico","","",""
"    Estimate","51,244","47,109","4,135"
"Rio Rancho city, New Mexico","","",""
"    Estimate","51,145","48,726","2,419"
"Roswell city, New Mexico","","",""
"    Estimate","21,096","19,936","1,160"
"Santa Fe city, New Mexico","","",""
"    Estimate","44,875","43,433","1,442"
"South Valley CDP, New Mexico","","",""
"    Estimate","19,342","17,848","1,494"
"Albany city, New York","","",""
"    Estimate","53,570","50,581","2,989"
"Auburn city, New York","","",""
"    Estimate","12,353","11,989","364"
"Baldwin CDP, New York","","",""
"    Estimate","15,617","14,591","1,026"
"Bay Shore CDP, New York","","",""
"    Estimate","12,020","11,805","215"
"Binghamton city, New York","","",""
"    Estimate","21,059","19,598","1,461"
"Brentwood CDP, New York","","",""
"    Estimate","36,003","34,976","1,027"
"Brighton CDP, New York","","",""
"    Estimate","19,288","18,124","1,164"
"Buffalo city, New York","","",""
"    Estimate","121,719","114,902","6,817"
"Centereach CDP, New York","","",""
"    Estimate","14,673","13,997","676"
"Central Islip CDP, New York","","",""
"    Estimate","19,803","19,389","414"
"Cheektowaga CDP, New York","","",""
"    Estimate","40,862","39,774","1,088"
"Cohoes city, New York","","",""
"    Estimate","9,986","9,715","271"
"Commack CDP, New York","","",""
"    Estimate","22,876","22,372","504"
"Copiague CDP, New York","","",""
"    Estimate","11,243","11,044","199"
"Coram CDP, New York","","",""
"    Estimate","21,099","20,787","312"
"Cortland city, New York","","",""
"    Estimate","12,251","11,084","1,167"
"Deer Park CDP, New York","","",""
"    Estimate","13,597","12,992","605"
"Dix Hills CDP, New York","","",""
"    Estimate","11,691","11,183","508"
"Eastchester CDP, New York","","",""
"    Estimate","11,888","11,190","698"
"East Meadow CDP, New York","","",""
"    Estimate","17,481","17,055","426"
"East Northport CDP, New York","","",""
"    Estimate","14,302","13,966","336"
"Elmira city, New York","","",""
"    Estimate","11,288","10,021","1,267"
"Elmont CDP, New York","","",""
"    Estimate","20,838","19,109","1,729"
"Franklin Square CDP, New York","","",""
"    Estimate","17,793","17,406","387"
"Freeport village, New York","","",""
"    Estimate","22,333","21,712","621"
"Garden City village, New York","","",""
"    Estimate","10,480","10,279","201"
"Glen Cove city, New York","","",""
"    Estimate","13,921","13,801","120"
"Harrison village, New York","","",""
"    Estimate","14,238","13,379","859"
"Hauppauge CDP, New York","","",""
"    Estimate","11,695","11,368","327"
"Hempstead village, New York","","",""
"    Estimate","27,342","25,125","2,217"
"Hicksville CDP, New York","","",""
"    Estimate","25,952","25,469","483"
